County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13758,11405,1088,657,2243,10427,1850,8898
Anson,12509,11208,228,137,3105,9176,2720,8351
Swain,9690,7892,4192,2969,1343,4155,1140,3783
Pender,35071,30014,1527,985,10909,22635,9251,19778
Mitchell,7867,6514,124,75,1297,6446,959,5480
Richmond,23917,20597,537,323,5667,17713,4686,15588
Haywood,38253,32262,1627,1026,8720,27906,7489,23747
Gaston,122341,105610,2026,1197,43436,76879,38935,65478
Craven,68833,60776,10123,7974,16796,41914,14492,38310
Franklin,40899,36340,1463,829,14583,24853,13027,22484
Iredell,102498,90997,2174,1455,42874,57450,38657,50885
Yadkin,19804,17439,193,131,5637,13974,5132,12176
Beaufort,27716,23982,714,460,5779,21223,4950,18572
Harnett,64633,54460,7466,5090,21261,35906,18442,30928
Polk,9097,8190,213,121,1881,7003,1707,6362
Dare,28414,23888,385,166,6065,21964,5511,18211
Forsyth,258107,214666,4315,2431,77659,176133,71262,140973
Onslow,133951,111135,61373,48594,31713,40865,27248,35293
Jones,5777,5075,581,398,1293,3903,1063,3614
Nash,58110,50698,1016,674,20359,36735,18307,31717
Jackson,25791,20979,4319,3098,3840,17632,3307,14574
Duplin,30102,25867,2268,1622,8774,19060,7772,16473
Alleghany,7010,5517,69,38,1418,5523,1152,4327
Missing,292296,232973,40358,43716,95788,156150,90054,99203
Cabarrus,129979,115423,4285,2515,49523,76171,45643,67265
Camden,6850,5348,2071,1231,908,3871,782,3335
Alexander,18013,15996,496,265,3058,14459,2583,13148
Mcdowell,25508,22042,640,380,3485,21383,2805,18857
Sampson,36144,30370,678,461,9201,26265,7983,21926
Lenoir,33462,29244,493,308,10938,22031,9542,19394
Rutherford,30417,26717,757,469,6053,23607,5431,20817
Montgomery,12821,11325,297,200,3139,9385,2582,8543
Stokes,23109,19816,358,212,7963,14788,7045,12559
Columbus,25840,22193,479,349,7439,17922,6407,15437
Wilson,46733,41088,654,417,14406,31673,12189,28482
Lincoln,45209,40147,416,249,17626,27167,15224,24674
New hanover,158638,136251,3430,2120,52770,102438,47827,86304
Davie,26069,22569,526,327,8108,17435,7293,14949
Northampton,9364,8334,194,97,1563,7607,1338,6899
Halifax,29082,25707,592,378,5525,22965,4613,20716
Robeson,62512,54219,1574,1024,16316,44622,13930,39265
Hoke,27029,21886,6446,4424,7189,13394,6006,11456
Yancey,9763,8628,180,134,1112,8471,923,7571
Lee,37462,32982,723,466,12399,24340,11141,21375
Buncombe,184760,158105,7436,4385,45535,131789,42320,111400
Hyde,3504,3183,12,,179,3313,156,3027
Edgecombe,27056,22910,943,555,7648,18465,6500,15855
Transylvania,19924,15458,392,256,3502,16030,2992,12210
Chatham,48873,42959,5096,3138,14070,29707,12645,27176
Durham,249135,216325,8458,5424,61329,179348,57049,153852
Tyrrell,2080,1816,,,183,1897,143,1673
Moore,63981,56535,5097,3252,17323,41561,15310,37973
Randolph,67644,59747,958,654,23494,43192,20783,38310
Rowan,67638,59383,4347,3248,23007,40284,20396,35739
Ashe,16288,13005,236,137,3464,12588,2932,9936
Henderson,73173,61218,1776,1060,15119,56278,12943,47215
Vance,28640,25100,510,344,7863,20267,6811,17945
Union,139131,125099,1425,775,55159,82547,51282,73042
Washington,6577,5696,66,41,1857,4654,1608,4047
Davidson,88977,76865,2237,1376,27063,59677,23869,51620
Granville,40897,36383,5563,4769,10973,24361,9782,21832
Watauga,33443,25922,223,108,4818,28402,4142,21672
Cleveland,52924,46895,728,404,16016,36180,13883,32608
Graham,4310,3687,457,337,907,2946,745,2605
Gates,4991,4415,149,69,586,4256,496,3850
Carteret,48916,42649,7167,5007,13550,28199,11925,25717
Alamance,107792,96184,2142,1334,28752,76898,25981,68869
Mecklenburg,757122,660301,10017,5634,270073,477032,248477,406190
Brunswick,95051,83727,3027,2021,25924,66100,23212,58494
Stanly,30033,26938,774,573,7624,21635,6684,19681
Perquimans,6721,5736,20,12,1209,5492,988,4736
Madison,12896,10399,246,138,1403,11247,1259,9002
Pasquotank,23272,19853,52,21,5830,17390,4977,14855
Catawba,91677,82293,1215,587,33339,57123,29412,52294
Caldwell,41584,35818,357,189,11976,29251,9688,25941
Wilkes,34735,30528,398,240,11048,23289,9822,20466
