Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
26254,66675,29137,6560,4724,Robeson
3931,9415,4505,554,425,Perquimans
54862,154197,62677,20052,16606,Johnston
32427,88559,35352,11594,9186,Randolph
2424,5365,2726,119,96,Hyde
3497,9573,4352,942,782,Alleghany
12377,33756,13932,4169,3278,Duplin
3073,7144,3514,317,240,Gates
19722,52881,22881,5563,4715,Haywood
15525,39315,16980,3825,2985,Stanly
83400,275401,99299,51550,41152,Missing / Out of State
22514,59193,25078,6706,4895,Wilson
1260,2835,1409,90,76,Tyrrell
28534,75795,30967,9292,7002,Wayne
7251,17966,7906,1627,1182,Montgomery
15657,43054,17558,5433,4406,Lenoir
10094,25175,10792,2538,1751,Scotland
56946,146980,62941,14995,12098,Alamance
2662,6466,3108,403,293,Camden
5985,15581,7197,1352,1047,Greene
30790,85286,33438,11718,9340,Rowan
6305,14547,6927,765,550,Northampton
16465,44400,18310,5403,4222,Wilkes
22218,63329,23969,9518,7624,Lincoln
21978,56358,24822,5548,4010,Caldwell
6585,16000,7066,1276,1073,Polk
20827,55720,22245,6902,5746,Surry
12171,30431,15206,1745,1309,Macon
2989,7726,3205,803,729,Clay
10400,26420,11519,2495,2006,Yadkin
28655,83505,32211,12823,9816,Onslow
12288,30152,13487,2579,1798,Richmond
91168,257536,105125,32538,28705,Buncombe
63507,186341,70590,28309,23935,Union
55298,166900,61606,26976,23020,Cabarrus
3024,8518,3486,1129,879,Washington
26815,74481,30664,9727,7275,Harnett
25422,63467,27542,5978,4525,Burke
19062,50743,20839,5998,4844,Granville
54036,155330,60915,22386,17993,Gaston
13147,34538,15022,3644,2725,Edgecombe
18702,49775,25252,3165,2656,Watauga
8182,22690,9507,2994,2007,Hoke
6335,15362,7382,933,712,Bertie
12925,32250,13955,3093,2277,Person
15523,38316,17767,2826,2200,Beaufort
45306,124752,48988,16966,13492,Catawba
12787,31382,15084,1968,1543,Jackson
413204,1215177,470793,174618,156562,Wake
26094,68051,28276,7739,5942,Cleveland
16440,43437,19369,4294,3334,Sampson
13456,33707,15047,3002,2202,Columbus
7321,16867,7966,960,620,Caswell
6007,13676,6652,592,425,Yancey
18110,48259,19685,5856,4608,Lee
6287,16054,7219,1429,1119,Hertford
26039,67457,28507,7337,5574,Rockingham
332485,1000311,383436,154816,129574,Mecklenburg
23290,61545,25122,7235,5898,Carteret
3490,8574,3746,757,581,Swain
5923,14514,6974,903,714,Avery
13613,36341,15041,4320,3367,Vance
16313,38605,17888,2557,1847,Halifax
16301,40228,18286,3126,2515,Rutherford
27668,77845,31637,10234,8306,Nash
7836,21399,9896,2042,1625,Ashe
10606,30706,12298,4333,3469,Stokes
2176,5180,2398,367,239,Graham
17070,45849,19295,5300,4184,Pender
31286,79815,33350,8451,6728,Craven
181339,490706,199494,60180,49693,Guilford
7538,18226,9194,815,679,Madison
25395,69740,27416,9203,7726,Chatham
49296,136920,59269,15394,12961,Pitt
35381,91206,37799,9660,8366,Moore
114751,334464,138665,43892,37156,Forsyth
44474,133499,47621,22498,18906,Iredell
10092,27833,13416,2347,1978,Transylvania
6713,16721,7799,1276,933,Martin
6843,16832,7341,1447,1201,Warren
2927,7107,3139,605,436,Jones
12384,35111,14413,4529,3785,Davie
61681,175408,66949,27030,19748,Cumberland
14558,33894,16209,1815,1312,Mcdowell
7954,19167,8562,1518,1133,Cherokee
4470,11772,5519,944,839,Chowan
66940,179771,77408,18356,17067,Orange
10807,25101,11859,1371,1064,Alexander
125014,337127,143026,37039,32048,Durham
37192,99444,44098,9890,8264,Henderson
11586,30037,13667,2732,2052,Pasquotank
5091,11597,5434,636,436,Pamlico
4366,10400,5075,609,350,Mitchell
7539,18533,8732,1290,972,Currituck
53145,140581,59303,15093,13040,Brunswick
40761,111684,45612,14011,11300,Davidson
18924,53699,20640,7740,6395,Franklin
16436,42253,19609,3358,2850,Dare
8864,22101,9792,2071,1374,Bladen
75949,221157,88500,30470,26238,New Hanover
6710,16149,7309,1209,921,Anson
