Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
24805,62705,28192,5794,3914,Robeson
3834,9099,4406,507,352,Perquimans
52613,145765,61229,18219,13704,Johnston
31498,84180,34433,10564,7685,Randolph
2333,5182,2647,115,87,Hyde
3465,9305,4239,892,709,Alleghany
12056,32114,13530,3740,2788,Duplin
2930,6868,3431,290,217,Gates
19061,51069,22423,5306,4279,Haywood
15011,37710,16616,3534,2549,Stanly
78496,256366,96420,47277,34173,Missing / Out of State
21449,56138,24380,6145,4164,Wilson
1180,2702,1365,86,71,Tyrrell
27642,72129,30371,8296,5820,Wayne
7053,17339,7791,1506,989,Montgomery
15129,41104,17108,5030,3837,Lenoir
9852,24255,10630,2274,1499,Scotland
54429,140152,61557,13780,10386,Alamance
2583,6240,3036,370,251,Camden
5801,14857,6902,1235,919,Greene
29669,80891,32510,10716,7996,Rowan
6171,14129,6801,692,465,Northampton
16105,42441,17946,4950,3440,Wilkes
21690,60637,23613,8813,6521,Lincoln
21417,54304,24379,5095,3413,Caldwell
6405,15616,6998,1222,991,Polk
20152,53487,21813,6474,5048,Surry
11867,29651,14975,1636,1173,Macon
2923,7562,3156,795,688,Clay
10206,25464,11324,2242,1692,Yadkin
28141,79094,31708,11427,7818,Onslow
11919,28938,13184,2316,1519,Richmond
87987,248491,102778,31202,26524,Buncombe
61084,176275,69034,26144,20013,Union
53138,157751,60005,25039,19569,Cabarrus
2900,8116,3389,1046,781,Washington
25902,70221,29965,8595,5759,Harnett
24797,60991,26895,5494,3805,Burke
18520,48590,20394,5499,4177,Granville
53344,148456,59988,20335,14789,Gaston
12035,32108,14544,3287,2242,Edgecombe
17433,47427,24542,3019,2433,Watauga
7789,21008,9076,2621,1522,Hoke
6151,14743,7171,825,596,Bertie
12461,30906,13706,2782,1957,Person
15153,37007,17412,2590,1852,Beaufort
44163,119488,48214,15625,11486,Catawba
12489,30569,14889,1836,1355,Jackson
396090,1158107,461294,163875,136848,Wake
25552,65318,27777,7022,4967,Cleveland
15841,41059,18588,3837,2793,Sampson
13218,32691,14818,2759,1896,Columbus
7074,16220,7742,879,525,Caswell
5851,13274,6554,539,330,Yancey
17639,45984,19309,5202,3834,Lee
6151,15555,7166,1291,947,Hertford
25238,64408,27993,6611,4566,Rockingham
318549,945850,373016,143715,110570,Mecklenburg
23015,59819,24855,6786,5163,Carteret
3433,8350,3719,688,510,Swain
5743,14006,6789,839,635,Avery
13028,34352,14559,3914,2851,Vance
15757,37098,17521,2285,1535,Halifax
15840,38490,17626,2868,2156,Rutherford
26017,73150,30873,9259,7001,Nash
7590,20429,9491,1898,1450,Ashe
10318,29282,11962,4013,2989,Stokes
2123,4981,2332,312,214,Graham
16674,44162,19012,4916,3560,Pender
30394,76804,32711,7817,5882,Craven
175465,469302,196450,55180,42207,Guilford
7357,17788,9045,773,613,Madison
24743,67740,27096,8839,7062,Chatham
47971,131516,58363,14010,11172,Pitt
34640,88757,37539,9103,7475,Moore
110607,320385,136344,40766,32668,Forsyth
43367,126864,46952,20735,15810,Iredell
9756,27065,13222,2239,1848,Transylvania
6492,16083,7590,1172,829,Martin
6667,16229,7194,1332,1036,Warren
2801,6759,3051,534,373,Jones
11963,33730,14204,4231,3332,Davie
59907,164929,65673,23780,15569,Cumberland
14194,32928,15898,1697,1139,Mcdowell
7751,18662,8419,1450,1042,Cherokee
4357,11346,5368,874,747,Chowan
64076,173944,76165,17725,15978,Orange
10611,24326,11556,1276,883,Alexander
120287,324249,140260,34923,28779,Durham
36020,96118,43113,9426,7559,Henderson
11235,28779,13368,2471,1705,Pasquotank
4986,11294,5356,587,365,Pamlico
4242,10048,4956,555,295,Mitchell
7275,17783,8497,1201,810,Currituck
52317,137290,58777,14293,11903,Brunswick
39528,106642,44555,12892,9667,Davidson
18161,50830,20099,7108,5462,Franklin
15931,40686,19110,3139,2506,Dare
8621,21232,9622,1843,1146,Bladen
74292,213962,87247,28891,23532,New Hanover
6532,15448,7100,1063,753,Anson
