County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Anson,12503,11217,228,145,3110,9165,2732,8340
Currituck,13766,11416,1090,665,2249,10427,1855,8896
Swain,9685,7888,4196,2978,1346,4143,1143,3767
Pender,35121,30057,1530,997,10927,22664,9263,19797
Mitchell,7874,6536,124,75,1300,6450,962,5499
Richmond,23949,20684,525,345,5674,17750,4703,15636
Haywood,38326,32367,1613,1021,8730,27983,7501,23845
Gaston,122220,105504,2005,1212,43509,76706,39000,65292
Craven,68794,60969,10001,8068,16822,41971,14520,38381
Franklin,41045,36494,1416,859,14619,25010,13062,22573
Iredell,102419,90982,2149,1479,42936,57334,38731,50772
Yadkin,19823,17459,193,132,5655,13975,5144,12183
Harnett,64621,54531,7429,5188,21312,35880,18487,30856
Beaufort,27763,24036,715,464,5800,21248,4964,18608
Polk,9068,8150,213,121,1882,6973,1705,6324
Dare,28441,23935,384,173,6070,21987,5514,18248
Forsyth,258184,214980,4235,2473,77822,176127,71440,141067
Onslow,133462,111734,60793,49112,31802,40867,27331,35291
Jones,5802,5105,582,406,1300,3920,1068,3631
Nash,58044,50650,1018,681,20398,36628,18351,31618
Jackson,25769,20976,4306,3095,3841,17622,3315,14566
Duplin,30115,25906,2244,1633,8798,19073,7795,16478
Alleghany,7006,5519,69,38,1421,5516,1154,4327
Missing,293987,236276,39862,43807,95777,158348,90019,102450
Cabarrus,129413,114940,4183,2582,49586,75644,45728,66630
Camden,6841,5371,2055,1246,911,3875,786,3339
Alexander,18110,16120,475,283,3065,14570,2589,13248
Mcdowell,25408,21969,625,383,3487,21296,2810,18776
Sampson,35947,30209,675,472,9203,26069,7994,21743
Lenoir,33541,29313,494,308,10966,22081,9573,19432
Rutherford,30422,26734,759,471,6058,23605,5442,20821
Montgomery,12787,11284,297,200,3139,9351,2583,8501
Stokes,23178,19897,357,213,7978,14843,7062,12622
Wilson,46816,41181,654,418,14425,31737,12211,28552
Columbus,25859,22227,479,358,7453,17927,6421,15448
Lincoln,44957,39884,416,249,17663,26878,15260,24375
New hanover,158802,136519,3388,2148,52858,102556,47915,86456
Davie,26097,22616,526,329,8123,17448,7303,14984
Northampton,9354,8317,194,98,1564,7596,1338,6881
Halifax,29051,25698,592,387,5530,22929,4620,20691
Robeson,62568,54330,1543,1045,16371,44654,13969,39316
Hoke,27024,22014,6379,4493,7198,13447,6019,11502
Yancey,9769,8633,180,134,1114,8475,924,7575
Lee,37689,33137,723,466,12427,24539,11159,21512
Buncombe,185085,158414,7326,4388,45573,132186,42352,111674
Hyde,3490,3176,12,,178,3300,154,3022
Edgecombe,26961,22849,929,571,7678,18354,6523,15755
Transylvania,19977,15540,393,258,3506,16078,2999,12283
Chatham,49049,43289,4962,3230,14117,29970,12672,27387
Durham,249576,217008,8119,5482,61481,179976,57204,154322
Tyrrell,2081,1820,,,183,1898,143,1677
Moore,64088,56713,5005,3307,17364,41719,15328,38078
Randolph,67716,59776,958,658,23550,43208,20830,38288
Rowan,67576,59350,4240,3290,23070,40266,20455,35605
Ashe,16401,13120,236,141,3471,12694,2937,10042
Henderson,73333,61390,1762,1055,15125,56446,12955,47380
Vance,28706,25176,497,344,7875,20334,6823,18009
Union,138892,124821,1428,784,55313,82151,51420,72617
Washington,6575,5701,66,41,1855,4654,1611,4049
Davidson,89060,76971,2237,1393,27094,59729,23898,51680
Granville,40910,36395,5571,4800,10984,24355,9795,21800
Watauga,33202,25803,223,116,4820,28159,4141,21546
Cleveland,52672,46679,727,406,16035,35910,13900,32373
Gates,4994,4418,149,70,589,4256,500,3848
Graham,4302,3681,457,339,909,2936,746,2596
Carteret,48929,42769,7113,5061,13575,28241,11949,25759
Alamance,107941,96364,2070,1353,28820,77051,26039,68972
Mecklenburg,754295,657739,9829,5756,270586,473880,248934,403049
Brunswick,95189,83897,3030,2022,25975,66184,23261,58614
Stanly,29870,26817,759,592,7651,21460,6707,19518
Perquimans,6725,5741,20,12,1209,5496,991,4738
Madison,12881,10404,247,138,1407,11227,1267,8999
Pasquotank,23268,19846,52,21,5839,17377,4992,14833
Caldwell,41629,35867,347,189,12002,29280,9716,25962
Wilkes,34826,30617,387,256,11071,23368,9840,20521
Catawba,91827,82425,1195,598,33402,57230,29472,52355
Greene,15561,12940,3390,2571,3029,9142,2639,7730
Rockingham,49445,44065,633,387,15589,33223,13574,30104
Macon,22275,17825,538,327,3215,18522,2615,14883
Out o,134799,110219,,,894,133905,1065,109154
Wake,871723,772553,12079,7896,286768,572876,267413,497244
Warren,11682,10542,167,122,2659,8856,2392,8028
Guilford,354534,316453,5572,3398,117785,231177,108160,204895
Bladen,24288,20330,6685,4777,4741,12862,3977,11576
Cumberland,234305,194393,89786,67161,61780,82739,54060,73172
Chowan,8856,7445,246,94,1843,6767,1688,5663
Pamlico,7389,6612,239,177,1326,5824,1050,5385
Scotland,18859,16414,302,197,5412,13145,4351,11866
Johnston,123629,107185,3713,2226,40720,79196,36528,68431
Clay,5660,5093,252,138,1054,4354,959,3996
Martin,11863,10007,247,178,2716,8900,2251,7578
Cherokee,14149,12525,719,472,2918,10512,2319,9734
Orange,120855,106778,1465,930,26634,92756,25428,80420
Burke,44781,39271,801,492,11892,32088,10215,28564
Wayne,66436,58469,6429,5246,21187,38820,18394,34829
Surry,38613,34753,404,266,12182,26027,10914,23573
Avery,10258,8613,193,95,1666,8399,1433,7085
Pitt,104966,88895,2286,1459,32983,69697,29423,58013
Bertie,11017,9654,135,70,2148,8734,1844,7740
Hertford,12341,10906,97,42,3602,8642,3099,7765
Person,23812,21284,441,302,6286,17085,5268,15714
Caswell,11607,10399,234,139,1791,9582,1442,8818
