Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
27330,71468,30552,7924,5662,Robeson
4036,9727,4596,634,461,Perquimans
56376,163276,64377,23368,19155,Johnston
33010,93368,36092,13426,10840,Randolph
2484,5499,2782,129,104,Hyde
3569,9811,4423,1004,815,Alleghany
12757,35841,14445,4816,3823,Duplin
3154,7406,3628,351,273,Gates
20081,54685,23411,6093,5100,Haywood
15941,41188,17481,4371,3395,Stanly
83178,297386,102845,60678,50685,Missing / Out of State
23196,62407,25686,7829,5696,Wilson
1290,2953,1477,105,81,Tyrrell
29158,79755,31652,10833,8112,Wayne
7374,18503,8011,1796,1322,Montgomery
16025,44970,17922,6131,4892,Lenoir
10257,26197,10997,2916,2027,Scotland
58230,153635,64434,17075,13896,Alamance
2728,6703,3172,476,327,Camden
6141,16200,7337,1542,1180,Greene
31596,90484,34507,13590,10791,Rowan
6429,15002,7034,885,654,Northampton
16848,46775,18812,6224,4891,Wilkes
22462,66015,24324,10645,8584,Lincoln
22419,58590,25313,6318,4540,Caldwell
6645,16343,7154,1381,1163,Polk
21197,57939,22726,7661,6355,Surry
12357,31309,15533,1947,1472,Macon
3036,7893,3275,831,751,Clay
10551,27748,11818,2996,2383,Yadkin
29462,89905,33695,15185,11563,Onslow
12547,31576,13908,3020,2101,Richmond
92925,267546,107717,35296,31608,Buncombe
64955,199118,72169,33240,28754,Union
56570,177193,63458,30759,26406,Cabarrus
3108,8898,3553,1251,986,Washington
27675,79191,31467,11393,8656,Harnett
25828,65758,28109,6706,5115,Burke
19434,53124,21240,6893,5557,Granville
55217,164379,62408,25785,20969,Gaston
13542,36464,15450,4272,3200,Edgecombe
19052,50838,25552,3379,2855,Watauga
8604,24677,9831,3682,2560,Hoke
6481,15901,7541,1059,820,Bertie
13231,33722,14251,3575,2665,Person
15858,39767,18208,3212,2489,Beaufort
46219,131138,49864,19391,15664,Catawba
12926,32227,15283,2239,1779,Jackson
423693,1277672,479914,197800,176265,Wake
26568,71178,28915,8876,6819,Cleveland
17046,46298,20265,5106,3881,Sampson
13771,35485,15581,3593,2540,Columbus
7528,17511,8194,1066,723,Caswell
6119,14207,6842,711,535,Yancey
18455,50920,20099,6939,5427,Lee
6436,16889,7398,1728,1327,Hertford
26527,70387,29010,8394,6456,Rockingham
343489,1069197,396356,176991,152361,Mecklenburg
23602,63619,25465,8056,6496,Carteret
3521,8897,3860,849,667,Swain
6060,15036,7182,1000,794,Avery
14121,38376,15533,4870,3852,Vance
16690,40178,18367,2976,2145,Halifax
16645,41802,18724,3574,2859,Rutherford
28312,82385,32329,11956,9788,Nash
7941,22071,10039,2237,1854,Ashe
10746,31948,12461,4872,3869,Stokes
2223,5483,2496,480,284,Graham
17350,47940,19769,6068,4753,Pender
32001,83064,34199,9421,7443,Craven
184356,515013,202953,69630,58074,Guilford
7632,18700,9413,895,760,Madison
25807,71962,27839,9998,8318,Chatham
50309,143540,60328,18018,14885,Pitt
35535,93230,37858,10783,9054,Moore
116972,351169,141817,49967,42413,Forsyth
45072,141151,48332,25696,22051,Iredell
10265,28634,13718,2523,2128,Transylvania
6872,17477,8105,1450,1050,Martin
6988,17467,7491,1646,1342,Warren
3011,7420,3218,687,504,Jones
12598,36567,14684,5097,4188,Davie
63114,189123,68724,32654,24631,Cumberland
14833,34921,16658,1993,1437,Mcdowell
8071,19622,8726,1632,1193,Cherokee
4587,12193,5631,1068,907,Chowan
67964,185079,78695,19933,18487,Orange
11079,26033,12180,1572,1202,Alexander
127827,351785,146179,41468,36311,Durham
38062,103252,45389,10780,9021,Henderson
11930,31365,14031,3108,2296,Pasquotank
5174,12005,5641,705,485,Pamlico
4448,10765,5204,679,434,Mitchell
7652,18979,8859,1411,1057,Currituck
53795,144910,60297,16531,14287,Brunswick
41727,117570,46807,16149,12887,Davidson
19305,56527,21053,8834,7335,Franklin
16559,43330,19789,3780,3202,Dare
9077,23492,10274,2486,1655,Bladen
76950,230337,89875,34007,29505,New Hanover
6847,16957,7493,1495,1122,Anson
