Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
26114,66359,29041,6522,4682,Robeson
3908,9362,4484,551,419,Perquimans
54732,153539,62473,19907,16427,Johnston
32379,88278,35267,11521,9111,Randolph
2416,5346,2715,119,96,Hyde
3491,9535,4326,939,779,Alleghany
12335,33499,13764,4147,3253,Duplin
3058,7099,3487,315,239,Gates
19708,52807,22856,5545,4698,Haywood
15448,39173,16947,3809,2969,Stanly
83185,274094,99043,51213,40653,Missing / Out of State
22474,58987,24999,6666,4848,Wilson
1260,2832,1407,89,76,Tyrrell
28493,75600,30919,9248,6940,Wayne
7246,17937,7904,1621,1166,Montgomery
15616,42961,17530,5418,4397,Lenoir
10079,25123,10782,2521,1741,Scotland
56823,146542,62830,14887,12002,Alamance
2649,6435,3094,401,291,Camden
5973,15532,7187,1340,1032,Greene
30726,84979,33366,11646,9241,Rowan
6296,14512,6917,754,545,Northampton
16435,44258,18266,5373,4184,Wilkes
22210,63188,23952,9476,7550,Lincoln
21951,56215,24786,5514,3964,Caldwell
6577,15977,7060,1270,1070,Polk
20781,55571,22190,6879,5721,Surry
12168,30409,15202,1735,1304,Macon
2987,7718,3200,803,728,Clay
10394,26372,11505,2486,1987,Yadkin
28632,83260,32177,12736,9715,Onslow
12254,30052,13446,2565,1787,Richmond
90941,256944,104967,32454,28582,Buncombe
63285,185515,70454,28130,23646,Union
54798,165984,61516,26831,22839,Cabarrus
3025,8503,3477,1124,877,Washington
26770,74194,30613,9630,7181,Harnett
25390,63323,27518,5949,4466,Burke
19035,50595,20807,5957,4796,Granville
54011,154777,60691,22264,17811,Gaston
13080,34356,14964,3617,2695,Edgecombe
18677,49714,25229,3163,2645,Watauga
8174,22590,9478,2966,1972,Hoke
6315,15295,7350,921,709,Bertie
12923,32198,13941,3069,2265,Person
15480,38189,17714,2808,2187,Beaufort
45153,124373,48943,16878,13399,Catawba
12783,31355,15077,1962,1533,Jackson
411092,1209847,469266,173851,155638,Wake
26081,67893,28223,7692,5897,Cleveland
16364,43246,19304,4269,3309,Sampson
13477,33694,15032,2994,2191,Columbus
7318,16816,7933,955,610,Caswell
5997,13642,6640,589,416,Yancey
18071,48129,19640,5830,4588,Lee
6288,16048,7224,1427,1109,Hertford
25975,67242,28463,7282,5522,Rockingham
330893,995602,382362,153915,128432,Mecklenburg
23281,61471,25117,7205,5868,Carteret
3482,8557,3742,755,578,Swain
5915,14489,6969,898,707,Avery
13524,36121,14975,4284,3338,Vance
16271,38491,17841,2543,1836,Halifax
16272,40137,18255,3109,2501,Rutherford
27591,77522,31534,10181,8216,Nash
7824,21344,9868,2035,1617,Ashe
10581,30603,12273,4308,3441,Stokes
2174,5171,2394,364,239,Graham
17045,45738,19260,5279,4154,Pender
31162,79529,33269,8413,6685,Craven
180990,489357,199282,59831,49254,Guilford
7527,18226,9176,835,688,Madison
25279,69517,27375,9173,7690,Chatham
49238,136636,59220,15304,12874,Pitt
35373,91166,37814,9636,8343,Moore
114469,333504,138436,43715,36884,Forsyth
44423,133147,47594,22393,18737,Iredell
10051,27774,13409,2341,1973,Transylvania
6700,16640,7761,1253,926,Martin
6792,16748,7317,1446,1193,Warren
2916,7076,3129,598,433,Jones
12338,34995,14387,4511,3759,Davie
61573,174695,66837,26801,19484,Cumberland
14549,33837,16197,1802,1289,Mcdowell
7936,19133,8553,1515,1129,Cherokee
4455,11735,5508,939,833,Chowan
66423,178935,77174,18322,17016,Orange
10799,25044,11816,1371,1058,Alexander
124577,335973,142692,36877,31827,Durham
37095,99208,44021,9871,8221,Henderson
11537,29892,13610,2707,2038,Pasquotank
5070,11556,5426,633,427,Pamlico
4358,10362,5050,606,348,Mitchell
7536,18508,8720,1285,967,Currituck
53126,140429,59273,15046,12984,Brunswick
40680,111364,45511,13951,11222,Davidson
18854,53474,20577,7698,6345,Franklin
16413,42116,19528,3339,2836,Dare
8859,22043,9768,2054,1362,Bladen
75863,220721,88406,30355,26097,New Hanover
6682,16042,7258,1196,906,Anson
