Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
27438,72094,30797,8123,5736,Robeson
4043,9752,4602,645,462,Perquimans
56497,164178,64628,23738,19315,Johnston
33048,93912,36283,13643,10938,Randolph
2485,5515,2796,129,105,Hyde
3586,9850,4438,1011,815,Alleghany
12779,36081,14522,4919,3861,Duplin
3163,7442,3651,354,274,Gates
20102,54881,23488,6156,5135,Haywood
15965,41387,17551,4440,3431,Stanly
83439,299758,103325,61782,51212,Missing / Out of State
23251,62745,25785,7954,5755,Wilson
1307,2989,1494,107,81,Tyrrell
29183,80129,31740,10995,8211,Wayne
7402,18596,8037,1823,1334,Montgomery
16042,45136,17978,6196,4920,Lenoir
10259,26288,11033,2957,2039,Scotland
58320,154353,64663,17339,14031,Alamance
2740,6747,3188,489,330,Camden
6146,16304,7371,1597,1190,Greene
31688,91047,34637,13808,10914,Rowan
6446,15096,7076,908,666,Northampton
16867,47007,18879,6321,4940,Wilkes
22484,66296,24369,10805,8638,Lincoln
22449,58816,25385,6401,4581,Caldwell
6648,16397,7164,1411,1174,Polk
21219,58167,22802,7769,6377,Surry
12372,31442,15601,1983,1486,Macon
3039,7907,3281,835,752,Clay
10569,27908,11848,3080,2411,Yadkin
29515,90497,33800,15488,11694,Onslow
12556,31738,13972,3082,2128,Richmond
93031,268353,107983,35590,31749,Buncombe
65084,200291,72413,33759,29035,Union
56750,178344,63752,31197,26645,Cabarrus
3125,8970,3582,1268,995,Washington
27759,79737,31615,11612,8751,Harnett
25886,66054,28193,6816,5159,Burke
19469,53399,21313,7007,5610,Granville
55311,165175,62544,26154,21166,Gaston
13595,36758,15590,4337,3236,Edgecombe
19090,50992,25637,3403,2862,Watauga
8624,24842,9882,3740,2596,Hoke
6493,15967,7575,1071,828,Bertie
13264,33875,14303,3621,2687,Person
15879,39976,18308,3273,2516,Beaufort
46324,131849,50007,19686,15832,Catawba
12937,32342,15324,2283,1798,Jackson
424511,1282275,481091,199459,177214,Wake
26585,71453,28976,9026,6866,Cleveland
17103,46597,20365,5194,3935,Sampson
13798,35658,15627,3665,2568,Columbus
7607,17667,8246,1082,732,Caswell
6140,14276,6872,726,538,Yancey
18508,51213,20161,7071,5473,Lee
6451,16973,7418,1767,1337,Hertford
26541,70689,29118,8517,6513,Rockingham
344161,1075101,397989,179373,153578,Mecklenburg
23606,63810,25481,8187,6536,Carteret
3521,8920,3867,859,673,Swain
6067,15077,7192,1013,805,Avery
14157,38593,15618,4937,3881,Vance
16803,40608,18629,3015,2161,Halifax
16667,41990,18771,3658,2894,Rutherford
28376,83029,32595,12169,9889,Nash
7963,22134,10055,2258,1858,Ashe
10764,32124,12502,4969,3889,Stokes
2228,5513,2512,484,289,Graham
17372,48157,19828,6168,4789,Pender
32052,83412,34317,9553,7490,Craven
184554,517495,203398,70895,58648,Guilford
7638,18750,9447,905,760,Madison
25829,72208,27892,10126,8361,Chatham
50394,144250,60525,18320,15011,Pitt
35571,93516,37965,10897,9083,Moore
117177,353199,142510,50767,42745,Forsyth
45125,141885,48443,26070,22247,Iredell
10278,28723,13755,2552,2138,Transylvania
6893,17587,8157,1478,1059,Martin
6998,17518,7504,1666,1350,Warren
3012,7437,3224,693,508,Jones
12622,36754,14757,5170,4205,Davie
63207,190419,68983,33287,24942,Cumberland
14853,35072,16753,2009,1457,Mcdowell
8076,19674,8759,1642,1197,Cherokee
4605,12256,5642,1093,916,Chowan
68025,185487,78838,20056,18568,Orange
11088,26088,12186,1604,1210,Alexander
128080,353506,146584,42163,36679,Durham
38111,103567,45484,10891,9081,Henderson
11979,31574,14107,3175,2313,Pasquotank
5187,12054,5660,716,491,Pamlico
4457,10804,5215,693,439,Mitchell
7659,19034,8884,1428,1063,Currituck
53848,145411,60458,16745,14360,Brunswick
41801,118231,47034,16397,12999,Davidson
19331,56775,21106,8961,7377,Franklin
16565,43488,19827,3860,3236,Dare
9133,23680,10342,2522,1683,Bladen
77011,231210,90104,34395,29700,New Hanover
6858,17024,7504,1532,1130,Anson
