Second Dose Administered,First Dose Administered,County
40220,45312,Rockingham
183724,217552,Cumberland
9116,10888,Greene
4008,4562,Gates
14265,16198,Bladen
102396,114753,Cabarrus
8236,9206,Northampton
76933,85756,""
24262,27183,Stanly
93721,108467,Johnston
18340,21366,Richmond
590466,679951,Mecklenburg
24363,31891,Watauga
22038,24830,Vance
36945,41791,Burke
33227,36806,Surry
9645,10793,Caswell
15994,18240,Yadkin
24570,28124,Rutherford
54781,63962,Wayne
27280,31904,Pender
16786,20968,Macon
29596,33559,Lee
42398,48101,Cleveland
9886,11161,Anson
74575,83155,Catawba
47568,55443,Robeson
113422,126760,Union
5039,6408,Alleghany
50737,56459,Moore
32831,38144,Caldwell
97641,119374,Onslow
82367,92709,Iredell
7910,9458,Avery
20421,23688,Mcdowell
14147,18234,Transylvania
86287,96788,Alamance
6670,7999,Chowan
21094,24530,Columbus
2868,3211,Hyde
15076,17105,Scotland
11764,13269,Cherokee
17936,21143,Stokes
19409,21695,Person
684733,772135,Wake
124028,144854,New hanover
21689,25163,Duplin
23467,26500,Halifax
28640,32603,Wilkes
15669,18830,Hoke
9837,11657,Martin
20327,23583,Davie
78683,93757,Pitt
5103,6007,Washington
35862,41282,Wilson
282644,317602,Guilford
190736,218703,Durham
11620,14390,Ashe
37040,41923,Lincoln
8533,9332,Polk
14235,15910,Alexander
94561,110254,Gaston
9744,11223,Hertford
68702,79013,Davidson
46174,54119,Harnett
46430,53465,Nash
37270,41045,Chatham
8903,10312,Bertie
21795,25419,Beaufort
4656,5132,Clay
17479,21100,Pasquotank
32424,36049,Franklin
6447,7187,Pamlico
3493,4068,Graham
27288,32670,Sampson
78365,99220,Out o
1685,1950,Tyrrell
30001,35200,Haywood
5329,6269,Perquimans
20763,24454,Edgecombe
94954,108174,Orange
53391,60492,Craven
4632,5230,Camden
9842,12077,Madison
10003,11948,Currituck
5996,7182,Mitchell
19128,23329,Jackson
54530,61564,Randolph
55530,65866,Henderson
69274,72244,Missing
9756,10732,Warren
78216,88796,Brunswick
190337,228966,Forsyth
55120,62102,Rowan
10549,11840,Montgomery
4293,4789,Jones
143669,165336,Buncombe
35091,39700,Carteret
26146,30188,Lenoir
22009,26263,Dare
6850,8282,Swain
7945,9001,Yancey
33698,37414,Granville
