Second Dose Administered,First Dose Administered,County
38838,44469,Rockingham
175930,212525,Cumberland
8790,10702,Greene
3912,4483,Gates
13866,15995,Bladen
99148,112073,Cabarrus
8118,9120,Northampton
71794,81752,""
23306,26541,Stanly
90472,105934,Johnston
17708,20982,Richmond
573630,664739,Mecklenburg
23823,31503,Watauga
21353,24274,Vance
35876,41338,Burke
32022,35870,Surry
9425,10656,Caswell
15512,17981,Yadkin
23558,27654,Rutherford
52035,62642,Wayne
26497,31294,Pender
16325,20721,Macon
28719,32883,Lee
40334,46887,Cleveland
9441,10783,Anson
72073,81239,Catawba
45238,54063,Robeson
110007,123742,Union
4926,6259,Alleghany
49876,55606,Moore
31775,37434,Caldwell
87188,113854,Onslow
79691,90478,Iredell
7707,9349,Avery
19661,23296,Mcdowell
13915,18051,Transylvania
83808,94831,Alamance
6430,7864,Chowan
20444,24170,Columbus
2821,3189,Hyde
14582,16818,Scotland
11243,13070,Cherokee
17313,20704,Stokes
18712,21264,Person
672219,759405,Wake
121493,142629,New hanover
20876,24649,Duplin
22783,25869,Halifax
27470,32153,Wilkes
15067,18390,Hoke
9565,11524,Martin
19772,23180,Davie
76600,91934,Pitt
4884,5901,Washington
34367,40184,Wilson
276318,312570,Guilford
187371,215242,Durham
11263,14137,Ashe
35780,40919,Lincoln
8532,9394,Polk
13667,15576,Alexander
90851,107048,Gaston
9385,10998,Hertford
66201,77457,Davidson
44498,53087,Harnett
44936,52370,Nash
37187,41205,Chatham
8575,10113,Bertie
21122,24973,Beaufort
4429,5069,Clay
16658,20325,Pasquotank
31506,35435,Franklin
6312,7062,Pamlico
3357,4025,Graham
26249,32130,Sampson
74525,93604,Out o
1628,1927,Tyrrell
29236,34319,Haywood
5156,6152,Perquimans
19856,23804,Edgecombe
93448,106621,Orange
50181,58181,Craven
4344,5054,Camden
9579,11913,Madison
9750,11526,Currituck
5813,7093,Mitchell
18693,22946,Jackson
52720,60439,Randolph
54054,64349,Henderson
59373,59397,Missing
9445,10533,Warren
76762,87820,Brunswick
185375,225210,Forsyth
53353,60957,Rowan
10254,11660,Montgomery
4131,4662,Jones
141102,162958,Buncombe
34227,38923,Carteret
25134,29591,Lenoir
21618,26075,Dare
6671,8023,Swain
7720,8888,Yancey
32954,36788,Granville
