Second Dose Administered,First Dose Administered,County
37333,43262,Rockingham
170985,205416,Cumberland
8360,10423,Greene
3795,4432,Gates
13300,15619,Bladen
95296,108724,Cabarrus
7896,8911,Northampton
67779,79294,""
22220,25572,Stanly
87026,102937,Johnston
16927,20351,Richmond
568302,660016,Mecklenburg
23410,31190,Watauga
20540,23459,Vance
34670,40412,Burke
30699,34530,Surry
9115,10413,Caswell
14845,17435,Yadkin
22272,26583,Rutherford
49956,60884,Wayne
25407,30321,Pender
15796,20620,Macon
28356,32623,Lee
38542,45162,Cleveland
9034,10417,Anson
69822,80077,Catawba
42302,52113,Robeson
106791,120958,Union
4759,6155,Alleghany
48467,53936,Moore
30646,36605,Caldwell
82739,110945,Onslow
76260,87088,Iredell
7480,9126,Avery
18466,22421,Mcdowell
13495,17654,Transylvania
80790,91976,Alamance
6235,7769,Chowan
19432,23481,Columbus
2776,3174,Hyde
14095,16660,Scotland
10342,12360,Cherokee
16559,20101,Stokes
17951,20507,Person
659584,747474,Wake
123174,145028,New hanover
19780,23982,Duplin
21830,25068,Halifax
25791,31213,Wilkes
24478,28638,Hoke
9146,11199,Martin
19009,22535,Davie
78710,94714,Pitt
4665,5733,Washington
32953,38854,Wilson
275981,312871,Guilford
184236,211725,Durham
10877,13887,Ashe
34686,39926,Lincoln
8291,9148,Polk
13294,15292,Alexander
87326,103402,Gaston
8988,10737,Hertford
63064,74493,Davidson
42159,50980,Harnett
43273,50732,Nash
36824,40992,Chatham
8301,9932,Bertie
20335,24217,Beaufort
4206,4912,Clay
16119,19890,Pasquotank
30300,34463,Franklin
6132,6885,Pamlico
2969,3636,Graham
24763,31102,Sampson
71143,88271,Out o
1582,1896,Tyrrell
27836,32760,Haywood
4986,6005,Perquimans
18992,22827,Edgecombe
108171,122233,Orange
48190,56059,Craven
4227,4923,Camden
9208,11590,Madison
9456,11278,Currituck
5509,6894,Mitchell
21146,26632,Jackson
50182,58588,Randolph
52012,62336,Henderson
22784,32843,Missing
9113,10205,Warren
74231,85303,Brunswick
179738,219580,Forsyth
63094,71650,Rowan
9801,11298,Montgomery
3969,4526,Jones
147453,170325,Buncombe
33221,38451,Carteret
23989,28670,Lenoir
21247,25799,Dare
4894,5689,Swain
7386,8605,Yancey
31871,35877,Granville
