County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13768,11417,1090,665,2251,10427,1858,8894
Anson,12502,11216,228,145,3114,9160,2735,8336
Swain,9689,7888,4199,2979,1344,4146,1142,3767
Pender,35137,30072,1530,997,10936,22671,9270,19805
Mitchell,7876,6539,124,75,1301,6451,963,5501
Richmond,23960,20700,525,345,5680,17755,4704,15651
Haywood,38344,32387,1613,1021,8737,27994,7507,23859
Gaston,122228,105514,2006,1212,43527,76695,39011,65291
Craven,68840,61025,10007,8072,16832,42001,14533,38420
Franklin,41105,36536,1416,859,14634,25055,13068,22609
Iredell,102438,90988,2149,1479,42957,57332,38739,50770
Yadkin,19816,17455,193,132,5655,13968,5145,12178
Beaufort,27771,24044,715,464,5799,21257,4964,18616
Harnett,64666,54561,7432,5191,21336,35898,18504,30866
Polk,9066,8148,213,121,1882,6971,1705,6322
Dare,28443,23942,384,173,6072,21987,5513,18256
Forsyth,258260,215014,4235,2473,77844,176181,71480,141061
Onslow,133524,111784,60807,49123,31823,40894,27348,35313
Jones,5803,5110,582,406,1300,3921,1070,3634
Nash,58038,50639,1018,681,20404,36616,18350,31608
Jackson,25785,20982,4308,3097,3843,17634,3315,14570
Duplin,30118,25911,2245,1634,8803,19070,7799,16478
Alleghany,7006,5527,69,38,1420,5517,1154,4335
Missing,294374,236861,39858,43819,95747,158769,89993,103049
Cabarrus,129313,114813,4185,2583,49598,75530,45746,66484
Camden,6835,5369,2055,1246,912,3868,788,3335
Alexander,18117,16126,475,283,3065,14577,2590,13253
Mcdowell,25411,21967,625,383,3489,21297,2811,18773
Sampson,35923,30192,675,472,9205,26043,7995,21725
Lenoir,33548,29325,494,308,10972,22082,9581,19436
Rutherford,30428,26730,759,471,6060,23609,5442,20817
Montgomery,12781,11276,297,201,3138,9346,2582,8493
Stokes,23186,19909,357,213,7983,14846,7065,12631
Columbus,25871,22238,479,358,7456,17936,6422,15458
Wilson,46833,41190,654,418,14434,31745,12213,28559
Lincoln,44913,39831,416,249,17671,26826,15265,24317
New hanover,158857,136579,3388,2148,52886,102583,47941,86490
Davie,26106,22633,526,329,8128,17452,7309,14995
Northampton,9351,8310,194,98,1564,7593,1337,6875
Halifax,29050,25701,592,387,5533,22925,4625,20689
Robeson,62578,54353,1543,1045,16380,44655,13979,39329
Hoke,27047,22032,6382,4496,7201,13464,6019,11517
Yancey,9771,8640,180,134,1114,8477,924,7582
Lee,37722,33170,723,466,12432,24567,11164,21540
Buncombe,185217,158513,7326,4389,45574,132317,42351,111773
Hyde,3492,3178,12,,178,3302,154,3024
Edgecombe,26963,22869,929,571,7683,18351,6530,15768
Transylvania,19973,15545,393,258,3505,16075,2998,12289
Chatham,49199,43431,4963,3231,14115,30121,12674,27526
Durham,249752,217176,8119,5482,61502,180131,57244,154450
Tyrrell,2082,1820,,,183,1899,143,1677
Moore,64140,56746,5007,3308,17377,41756,15337,38101
Randolph,67720,59769,958,658,23567,43195,20841,38270
Rowan,67583,59339,4240,3290,23088,40255,20475,35574
Ashe,16418,13132,236,141,3471,12711,2938,10053
Henderson,73390,61425,1762,1055,15129,56499,12959,47411
Vance,28707,25171,497,344,7878,20332,6824,18003
Union,138837,124764,1428,784,55357,82052,51457,72523
Washington,6576,5702,67,41,1855,4654,1612,4049
Davidson,89135,77038,2237,1394,27106,59792,23910,51734
Granville,40940,36418,5589,4809,10989,24362,9801,21808
Watauga,33164,25804,223,116,4818,28123,4143,21545
Cleveland,52607,46621,727,406,16038,35842,13901,32314
Graham,4301,3680,457,339,909,2935,746,2595
Gates,4994,4419,149,70,589,4256,500,3849
Carteret,48937,42774,7117,5062,13576,28244,11948,25764
Alamance,108035,96436,2071,1355,28833,77131,26057,69024
Mecklenburg,753647,657109,9840,5758,270679,473128,249000,402351
Brunswick,95233,83960,3030,2022,25981,66222,23275,58663
Stanly,29831,26781,759,592,7655,21417,6709,19480
Perquimans,6723,5740,20,12,1209,5494,991,4737
Madison,12880,10404,247,138,1407,11226,1267,8999
Pasquotank,23275,19859,52,21,5841,17382,4994,14844
Catawba,91852,82450,1195,598,33412,57245,29486,52366
Caldwell,41658,35892,349,189,12012,29297,9722,25981
Wilkes,34851,30627,387,256,11079,23385,9843,20528
Greene,15569,12949,3390,2571,3030,9149,2639,7739
Rockingham,49461,44076,633,387,15597,33231,13580,30109
Macon,22272,17837,538,327,3215,18519,2614,14896
Out o,136505,111683,,,907,135598,1081,110602
Wake,872308,772948,12079,7897,286908,573321,267540,497511
Warren,11685,10548,167,122,2661,8857,2395,8031
Guilford,354646,316508,5584,3398,117853,231209,108194,204916
Bladen,24291,20335,6687,4780,4742,12862,3979,11576
Cumberland,234413,194509,89809,67180,61817,82787,54110,73219
Chowan,8852,7444,246,94,1844,6762,1689,5661
Pamlico,7390,6610,239,177,1328,5823,1051,5382
Scotland,18874,16426,303,197,5421,13150,4353,11876
Johnston,123732,107280,3715,2229,40745,79272,36566,68485
Clay,5661,5093,252,138,1054,4355,959,3996
Martin,11854,10001,247,178,2715,8892,2251,7572
Cherokee,14149,12524,719,472,2918,10512,2318,9734
Orange,120937,106857,1465,930,26653,92819,25443,80484
Burke,44780,39281,801,492,11890,32089,10216,28573
Surry,38631,34774,404,266,12184,26043,10916,23592
Wayne,66440,58483,6430,5246,21199,38811,18414,34823
Avery,10268,8622,193,95,1666,8409,1432,7095
Pitt,105043,88962,2287,1460,33008,69748,29437,58065
Bertie,11015,9654,135,70,2147,8733,1845,7739
Hertford,12342,10909,97,42,3602,8643,3100,7767
Person,23825,21297,441,302,6294,17090,5274,15721
