second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1647,10203,8528,2040,12173,10088,Currituck
99,129,2317,10229,7813,2719,11512,8664,Anson
2192,3434,1006,6955,3757,1221,8795,4140,Swain
354,518,8131,27428,18943,9822,32370,22030,Pender
75,114,851,6097,5171,1137,7362,6111,Mitchell
211,320,4005,18753,14537,4944,21880,16616,Richmond
914,1334,6970,30353,22469,8190,36201,26677,Haywood
850,1325,34019,96904,62035,39174,114103,73604,Gaston
7076,8160,12702,55187,35409,14967,62279,39152,Craven
396,524,11505,32869,20968,13134,36905,23247,Franklin
1173,1523,33575,83520,48772,38219,95217,55475,Iredell
119,168,4425,16215,11671,4997,18604,13439,Yadkin
298,399,4241,22290,17751,5078,25902,20425,Beaufort
923,1326,15461,46997,30613,18525,55471,35620,Harnett
108,145,1576,8443,6759,1769,9352,7438,Polk
17,23,4730,22381,17634,5426,26889,21440,Dare
1935,3132,62310,193526,129281,69540,237146,164474,Forsyth
47053,56738,22711,101877,32113,27385,122467,38344,Onslow
51,71,924,4373,3398,1136,4878,3671,Jones
563,773,15669,47188,30956,17792,54401,35836,Nash
2400,3658,2905,19384,14079,3431,24289,17200,Jackson
228,284,6727,22155,15200,7797,25973,17892,Duplin
26,34,1049,5105,4030,1303,6584,5247,Alleghany
34820,26880,80250,162946,47876,90629,185751,68242,Missing
1439,2093,39192,103778,63147,44092,118590,72405,Cabarrus
92,133,2222,14496,12182,2700,16291,13458,Alexander
950,877,661,4753,3142,794,5353,3682,Camden
348,506,2478,20731,17905,3154,24223,20563,Mcdowell
317,423,6935,27776,20524,8090,33242,24729,Sampson
285,420,8151,26715,18279,9546,30851,20885,Lenoir
426,645,4818,24990,19746,5471,28709,22593,Rutherford
144,184,2268,10705,8293,2792,12057,9081,Montgomery
162,249,6298,18361,11901,7306,21663,14108,Stokes
278,356,5388,21197,15531,6507,24891,18028,Columbus
354,500,10017,36875,26504,12395,42542,29647,Wilson
1255,1839,42230,125631,82146,48113,148845,98893,New hanover
241,382,13360,37597,23996,16029,42990,26579,Lincoln
251,348,6445,20739,14043,7379,24251,16524,Davie
83,123,1164,8250,7003,1381,9264,7760,Northampton
262,371,3965,23958,19731,4790,27078,21917,Halifax
664,896,11743,48750,36343,14130,56761,41735,Robeson
778,1121,4979,16090,10333,6125,19495,12249,Hoke
130,173,820,8053,7103,1001,9202,8028,Yancey
431,642,9526,30003,20046,10867,34398,22889,Lee
3814,5700,38967,145874,103093,43024,172204,123480,Buncombe
,,136,2895,2759,167,3296,3129,Hyde
295,403,5441,21138,15402,6514,24840,17923,Edgecombe
224,292,2735,14457,11498,3173,18834,15369,Transylvania
272,379,11356,37329,25701,13082,41979,28518,Chatham
4502,6045,49905,193562,139155,55438,227574,166091,Durham
,,129,1706,1577,166,1977,1811,Tyrrell
690,917,13401,51227,37136,15637,57509,40955,Moore
565,744,17868,55067,36634,20733,62891,41414,Randolph
2889,3472,17557,55810,35364,20326,63185,39387,Rowan
99,124,2749,11833,8985,3178,14780,11478,Ashe
979,1436,11708,56457,43770,13973,68474,53065,Henderson
302,403,5992,22478,16184,7010,25686,18273,Vance
574,915,43584,115248,71090,49060,131515,81540,Union
38,56,1472,5218,3708,1733,6107,4318,Washington
949,1268,20906,70086,48231,24302,81359,55789,Davidson
4313,4708,8682,33939,20944,10015,38046,23323,Granville
66,123,3880,24736,20790,4533,32767,28111,Watauga
316,519,12352,43387,30719,14584,49496,34393,Cleveland
,12,440,4081,3641,513,4608,4083,Gates
299,378,691,3541,2551,862,4134,2894,Graham
391,603,10531,35774,24852,12296,40518,27619,Carteret
1043,1415,22114,87607,64450,25270,99787,73102,Alamance
4619,7661,215611,600555,380325,242591,706279,456027,Mecklenburg
1505,1844,20657,79031,56869,23436,90053,64773,Brunswick
390,477,5833,24792,18569,6751,27777,20549,Stanly
11,15,870,5422,4541,1080,6392,5297,Perquimans
136,221,1147,9915,8632,1293,12365,10851,Madison
14,29,4274,18046,13758,5166,21675,16480,Pasquotank
401,732,25721,75829,49707,29923,85442,54787,Catawba
