Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
25176,63737,28419,5947,4195,Robeson
3846,9162,4430,516,370,Perquimans
53468,148494,61617,18674,14735,Johnston
31916,85484,34564,10838,8166,Randolph
2344,5211,2659,116,92,Hyde
3472,9359,4248,908,731,Alleghany
12158,32553,13601,3836,2958,Duplin
2958,6935,3451,299,227,Gates
19399,51794,22581,5386,4428,Haywood
15249,38194,16666,3589,2690,Stanly
80924,262699,96931,48364,36480,Missing / Out of State
21957,57251,24576,6292,4426,Wilson
1184,2721,1379,86,72,Tyrrell
28041,73394,30567,8557,6229,Wayne
7119,17507,7827,1528,1033,Montgomery
15287,41678,17244,5127,4020,Lenoir
9930,24553,10700,2346,1577,Scotland
55520,142464,61923,14084,10937,Alamance
2606,6310,3062,377,265,Camden
5863,15101,7012,1270,956,Greene
30205,82475,32867,10959,8444,Rowan
6215,14256,6841,706,494,Northampton
16236,43088,18077,5084,3691,Wilkes
21944,61651,23821,8976,6910,Lincoln
21632,54907,24491,5194,3590,Caldwell
6518,15778,7012,1232,1016,Polk
20515,54407,22008,6606,5278,Surry
11938,29871,15074,1659,1200,Macon
2951,7621,3172,798,700,Clay
10245,25724,11358,2316,1805,Yadkin
28310,80470,31853,11796,8511,Onslow
12073,29325,13284,2373,1595,Richmond
89263,251630,103395,31532,27440,Buncombe
61981,179471,69397,26712,21381,Union
53963,160799,60364,25500,20972,Cabarrus
2930,8217,3407,1072,808,Washington
26262,71613,30194,8892,6265,Harnett
24955,61615,27008,5593,4059,Burke
18690,49270,20531,5640,4409,Granville
53772,150936,60306,20860,15998,Gaston
12244,32739,14701,3396,2398,Edgecombe
17697,48017,24761,3055,2504,Watauga
7924,21522,9186,2727,1685,Hoke
6177,14859,7215,852,615,Bertie
12548,31272,13789,2855,2080,Person
15240,37354,17505,2653,1956,Beaufort
44588,121180,48443,15947,12202,Catawba
12636,30884,14955,1881,1412,Jackson
403158,1178279,463998,166664,144459,Wake
25715,66169,27957,7206,5291,Cleveland
16048,41795,18835,3950,2962,Sampson
13314,33002,14860,2825,2003,Columbus
7137,16406,7811,899,559,Caswell
5897,13398,6591,549,361,Yancey
17736,46573,19341,5383,4113,Lee
6215,15745,7208,1326,996,Hertford
25408,65165,28138,6768,4851,Rockingham
322828,962313,375369,146527,117589,Mecklenburg
23110,60407,24965,6899,5433,Carteret
3448,8430,3730,714,538,Swain
5768,14136,6841,857,670,Avery
13166,34881,14665,4032,3018,Vance
15934,37563,17644,2368,1617,Halifax
16007,38953,17738,2933,2275,Rutherford
26288,74382,31138,9506,7450,Nash
7685,20720,9581,1934,1520,Ashe
10425,29700,12053,4100,3122,Stokes
2135,5013,2340,319,219,Graham
16754,44649,19085,4997,3813,Pender
30676,77730,32927,7975,6152,Craven
178104,476774,197184,56543,44943,Guilford
7416,17933,9082,791,644,Madison
24888,68313,27171,8931,7323,Chatham
48535,133356,58640,14397,11784,Pitt
34898,89648,37668,9262,7820,Moore
112314,324763,136571,41593,34285,Forsyth
43636,128876,47171,21207,16862,Iredell
9833,27304,13302,2263,1906,Transylvania
6543,16239,7636,1200,860,Martin
6698,16387,7227,1360,1102,Warren
2838,6863,3079,547,399,Jones
12156,34248,14273,4305,3514,Davie
60494,168090,66064,24587,16945,Cumberland
14335,33220,16002,1712,1171,Mcdowell
7854,18845,8461,1460,1070,Cherokee
4377,11437,5385,893,782,Chowan
65457,176301,76508,17903,16433,Orange
10681,24603,11689,1294,939,Alexander
122388,329030,141215,35449,29978,Durham
36427,97218,43423,9541,7827,Henderson
11345,29126,13443,2542,1796,Pasquotank
5004,11371,5375,598,394,Pamlico
4289,10169,4997,572,311,Mitchell
7328,17934,8531,1227,848,Currituck
52619,138390,58946,14498,12327,Brunswick
40053,108277,44848,13191,10185,Davidson
18450,51796,20261,7266,5819,Franklin
16181,41196,19198,3204,2613,Dare
8688,21474,9662,1902,1222,Bladen
74995,216620,87707,29298,24620,New Hanover
6561,15572,7109,1092,810,Anson
