second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1646,10191,8517,2040,12171,10086,Currituck
99,129,2313,10207,7795,2717,11510,8664,Anson
2192,3434,1007,6955,3756,1221,8795,4140,Swain
354,518,8125,27405,18926,9813,32343,22012,Pender
75,114,851,6092,5166,1136,7359,6109,Mitchell
211,320,4004,18745,14530,4943,21854,16591,Richmond
914,1334,6965,30329,22450,8186,36175,26655,Haywood
850,1325,33970,96787,61967,39148,114027,73554,Gaston
7076,8160,12684,55148,35388,14959,62201,39082,Craven
396,524,11489,32834,20949,13142,36906,23240,Franklin
1173,1523,33518,83444,48753,38181,95159,55455,Iredell
119,168,4416,16206,11671,4994,18598,13436,Yadkin
298,399,4240,22274,17736,5075,25882,20408,Beaufort
923,1326,15440,46958,30595,18504,55419,35589,Harnett
108,145,1571,8438,6759,1769,9348,7434,Polk
17,23,4718,22365,17630,5419,26845,21403,Dare
1935,3132,62240,193314,129139,69511,237058,164415,Forsyth
47053,56738,22673,101804,32078,27367,122428,38323,Onslow
51,71,926,4377,3400,1142,4881,3668,Jones
563,773,15640,47154,30951,17775,54373,35825,Nash
2400,3658,2903,19348,14045,3431,24269,17180,Jackson
228,284,6723,22138,15187,7793,25967,17890,Duplin
26,34,1049,5105,4030,1297,6578,5247,Alleghany
34820,26880,80166,162797,47811,90866,185752,68006,Missing
1439,2093,39104,103673,63130,44060,118537,72384,Cabarrus
92,133,2219,14492,12181,2707,16296,13456,Alexander
950,877,659,4744,3135,794,5351,3680,Camden
348,506,2463,20693,17882,3148,24210,20556,Mcdowell
317,423,6932,27762,20513,8088,33225,24714,Sampson
285,420,8135,26690,18270,9540,30835,20875,Lenoir
426,645,4806,24962,19730,5470,28692,22577,Rutherford
144,184,2265,10699,8290,2788,12050,9078,Montgomery
162,249,6291,18334,11881,7301,21655,14105,Stokes
354,500,9989,36832,26489,12391,42535,29644,Wilson
278,356,5388,21180,15514,6503,24870,18011,Columbus
241,382,13330,37553,23982,16022,42981,26577,Lincoln
1255,1839,42126,125447,82066,48086,148799,98874,New hanover
251,348,6440,20696,14005,7375,24237,16514,Davie
83,123,1160,8239,6996,1381,9253,7749,Northampton
262,371,3956,23922,19704,4791,27047,21885,Halifax
664,896,11735,48706,36307,14134,56733,41703,Robeson
778,1121,4968,16063,10317,6117,19470,12232,Hoke
130,173,819,8050,7101,1001,9198,8024,Yancey
431,642,9522,29968,20015,10872,34390,22876,Lee
3814,5700,38894,145662,102954,43005,172128,123423,Buncombe
,,136,2895,2759,167,3296,3129,Hyde
295,403,5413,21107,15399,6511,24832,17918,Edgecombe
224,292,2732,14441,11485,3171,18821,15358,Transylvania
272,379,11349,37293,25672,13152,42041,28510,Chatham
4502,6045,49794,193309,139013,55415,227523,166063,Durham
,,129,1706,1577,166,1977,1811,Tyrrell
690,917,13370,51153,37093,15628,57490,40945,Moore
565,744,17827,55021,36629,20708,62857,41405,Randolph
2889,3472,17529,55776,35358,20303,63152,39377,Rowan
99,124,2750,11824,8975,3179,14775,11472,Ashe
979,1436,11700,56416,43737,13977,68430,53017,Henderson
302,403,5991,22453,16160,7013,25683,18267,Vance
574,915,43424,115061,71063,49000,131424,81509,Union
38,56,1472,5218,3708,1732,6103,4315,Washington
949,1268,20858,69832,48025,24272,81224,55684,Davidson
4313,4708,8657,33894,20924,9988,38014,23318,Granville
66,123,3877,24726,20783,4533,32768,28112,Watauga
316,519,12338,43353,30699,14584,49484,34381,Cleveland
,12,440,4079,3639,512,4606,4082,Gates
299,378,691,3540,2550,862,4133,2893,Graham
391,603,10506,35746,24849,12290,40507,27614,Carteret
1043,1415,22081,87529,64405,25262,99749,73072,Alamance
4619,7661,215118,599857,380120,242423,705804,455720,Mecklenburg
1505,1844,20615,78983,56863,23422,90040,64774,Brunswick
390,477,5826,24780,18564,6752,27773,20544,Stanly
11,15,870,5419,4538,1077,6386,5294,Perquimans
136,221,1144,9892,8612,1279,12343,10843,Madison
14,29,4268,18034,13752,5164,21664,16471,Pasquotank
184,324,8365,33411,24862,10518,39015,28173,Caldwell
401,732,25672,75741,49668,29909,85410,54769,Catawba
195,259,8756,28815,19864,9979,33019,22781,Wilkes
80,101,2219,9325,7026,2633,11180,8446,Greene
338,490,11529,40923,29056,13617,46175,32068,Rockingham
,,,81657,81657,,104449,104449,Out o
317,479,2377,17115,14421,2938,21440,18023,Macon
5865,8589,233063,692798,453870,259730,805388,537069,Wake
117,146,2101,9848,7630,2386,10917,8385,Warren
2239,3502,89534,286481,194708,102252,327529,221775,Guilford
166,216,3440,14510,10904,4200,16608,12192,Bladen
75051,92906,44400,187386,67935,52696,222466,76864,Cumberland
,,1487,6815,5328,1665,8148,6483,Chowan
78,93,904,6529,5547,1169,7282,6020,Pamlico
169,239,3779,15237,11289,4703,17337,12395,Scotland
933,1383,30869,95576,63774,35681,111740,74676,Johnston
56,93,915,4742,3771,1006,5268,4169,Clay
133,183,1882,9812,7797,2308,11641,9150,Martin
422,587,2130,11912,9360,2706,13459,10166,Cherokee
844,1175,22688,96159,72627,24253,113946,88518,Orange
339,498,8962,37237,27936,10646,42449,31305,Burke
227,301,9856,33476,23393,11233,37480,25946,Surry
7934,10582,15228,56062,32900,18089,65607,36936,Wayne
65,99,1303,8023,6655,1508,9574,7967,Avery
1016,1496,24448,80195,54731,28541,96447,66410,Pitt
28,42,1555,9067,7484,1832,10457,8583,Bertie
23,50,2608,9973,7342,3109,11450,8291,Hertford
292,386,4497,19704,14915,5469,22224,16369,Person
71,109,1253,9779,8455,1624,10948,9215,Caswell
