Second Dose Administered,First Dose Administered,County
38999,44590,Rockingham
176415,212862,Cumberland
8834,10736,Greene
3915,4485,Gates
13925,16001,Bladen
99552,112289,Cabarrus
8129,9133,Northampton
72427,82198,""
23435,26651,Stanly
90918,106229,Johnston
17800,21015,Richmond
575369,666259,Mecklenburg
23862,31520,Watauga
21424,24334,Vance
35950,41347,Burke
32160,35972,Surry
9435,10666,Caswell
15585,18016,Yadkin
23765,27765,Rutherford
52247,62727,Wayne
26615,31346,Pender
16389,20751,Macon
28816,32969,Lee
40605,47066,Cleveland
9499,10834,Anson
72472,81412,Catawba
45510,54215,Robeson
110435,124100,Union
4940,6266,Alleghany
49997,55737,Moore
31907,37502,Caldwell
87502,114019,Onslow
80022,90680,Iredell
7750,9379,Avery
19779,23343,Mcdowell
13945,18070,Transylvania
84112,95026,Alamance
6463,7880,Chowan
20568,24194,Columbus
2834,3190,Hyde
14636,16846,Scotland
11345,13092,Cherokee
17415,20752,Stokes
18785,21306,Person
673777,760537,Wake
121839,142819,New hanover
21053,24755,Duplin
22878,25943,Halifax
27689,32273,Wilkes
15130,18430,Hoke
9599,11536,Martin
19839,23233,Davie
76906,92121,Pitt
4898,5908,Washington
34572,40393,Wilson
277192,313275,Guilford
187780,215810,Durham
11313,14155,Ashe
35905,40999,Lincoln
8556,9405,Polk
13697,15569,Alexander
91370,107440,Gaston
9408,11028,Hertford
66600,77645,Davidson
44673,53185,Harnett
45170,52513,Nash
37168,41257,Chatham
8597,10127,Bertie
21175,25006,Beaufort
4503,5081,Clay
16705,20377,Pasquotank
31624,35499,Franklin
6320,7073,Pamlico
3389,4030,Graham
26438,32225,Sampson
75072,94610,Out o
1632,1929,Tyrrell
29322,34355,Haywood
5165,6159,Perquimans
19992,23893,Edgecombe
93569,106840,Orange
50334,58302,Craven
4354,5059,Camden
9622,11929,Madison
9762,11551,Currituck
5854,7106,Mitchell
18748,22985,Jackson
53047,60563,Randolph
54186,64435,Henderson
60615,60930,Missing
9488,10560,Warren
76907,87916,Brunswick
185982,225696,Forsyth
53636,61186,Rowan
10281,11667,Montgomery
4145,4670,Jones
141450,163197,Buncombe
34350,39028,Carteret
25263,29641,Lenoir
21669,26104,Dare
6685,8055,Swain
7748,8903,Yancey
33111,36924,Granville
