second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
99,131,2478,10627,8050,2865,11952,8956,Anson
28,48,1727,10463,8708,2148,12484,10288,Currituck
2444,3660,1054,7342,3844,1265,9133,4208,Swain
356,521,8645,28118,19117,10369,33150,22260,Pender
75,115,890,6246,5281,1198,7570,6257,Mitchell
214,329,4258,19407,14935,5276,22691,17086,Richmond
855,1342,36131,100415,63429,41200,117625,75083,Gaston
923,1350,7179,31084,22982,8434,36946,27162,Haywood
7264,8491,13460,57324,36600,15833,64641,40317,Craven
399,531,12151,34055,21505,13815,38135,23789,Franklin
1176,1544,35912,87072,49984,40527,98799,56728,Iredell
119,171,4711,16698,11868,5305,19091,13615,Yadkin
299,405,4487,22789,18003,5349,26464,20710,Beaufort
932,1392,16694,48150,30524,19802,56748,35554,Harnett
108,146,1638,8438,6692,1824,9282,7312,Polk
17,24,5122,22962,17823,5783,27488,21681,Dare
1951,3249,66013,202239,134275,73364,245029,168416,Forsyth
47971,57742,24608,105538,32959,29424,126419,39253,Onslow
51,75,976,4500,3473,1209,5048,3764,Jones
568,778,16726,48314,31020,18993,55846,36075,Nash
2650,3857,3052,20067,14365,3574,24845,17414,Jackson
228,290,7143,23170,15799,8297,27132,18545,Duplin
26,34,1087,5257,4144,1356,6768,5378,Alleghany
35446,29829,86938,190711,68327,96445,222436,96162,Missing
1443,2157,42263,108850,65144,46667,122807,73983,Cabarrus
964,889,718,4906,3224,845,5501,3767,Camden
92,135,2355,14899,12452,2854,16836,13847,Alexander
351,517,2619,21259,18289,3311,24765,20937,Mcdowell
319,433,7327,28525,20879,8618,34361,25310,Sampson
290,427,8706,27654,18658,10201,31968,21340,Lenoir
426,650,5079,25734,20229,5734,29502,23118,Rutherford
144,186,2399,10926,8383,2930,12278,9162,Montgomery
162,254,6628,18908,12118,7644,22279,14381,Stokes
279,361,5788,21491,15424,6977,25316,17978,Columbus
356,510,10841,38341,27144,13326,44268,30432,Wilson
242,389,14220,38888,24426,16769,44152,26994,Lincoln
1257,1859,45036,130129,83836,50428,152741,100454,New hanover
252,357,6840,21462,14370,7775,25070,16938,Davie
83,124,1238,8273,6952,1481,9311,7706,Northampton
263,373,4216,24495,20016,5166,27881,22342,Halifax
672,915,12509,50684,37503,15066,58962,42981,Robeson
786,1193,5379,16838,10673,6619,20471,12659,Hoke
131,175,855,8310,7324,1039,9487,8273,Yancey
435,658,10135,30926,20356,11568,35422,23196,Lee
3836,5742,40771,152430,107823,44254,177454,127458,Buncombe
,,144,3037,2893,173,3391,3218,Hyde
295,405,5799,21422,15328,7020,25314,17889,Edgecombe
224,295,2845,14822,11753,3361,19371,15715,Transylvania
272,384,12020,38158,25866,13636,42265,28245,Chatham
4512,6242,52851,202829,145466,57909,234428,170277,Durham
,,134,1750,1616,174,2034,1860,Tyrrell
696,931,14262,51987,37029,16468,58342,40943,Moore
570,755,18995,56738,37173,22111,64858,41992,Randolph
2897,3554,18678,57262,35687,21573,65163,40036,Rowan
100,126,2842,12230,9288,3298,15151,11727,Ashe
982,1443,12262,58707,45463,14536,70735,54756,Henderson
302,408,6345,23488,16841,7412,26938,19118,Vance
577,920,47427,120985,72981,52140,135996,82936,Union
38,56,1526,5394,3830,1783,6286,4447,Washington
953,1285,22098,72733,49682,25625,84628,57718,Davidson
4414,4885,9160,34787,21213,10506,39049,23658,Granville
66,127,3950,25474,21458,4664,33240,28449,Watauga
317,522,12987,44935,31631,15274,51138,35342,Cleveland
,15,459,4157,3698,551,4732,4166,Gates
306,404,714,3602,2582,880,4209,2925,Graham
391,603,11165,36714,25158,12953,41489,27933,Carteret
1046,1454,23708,91158,66404,26895,102866,74517,Alamance
4699,7818,229955,629652,394998,254554,731135,468763,Mecklenburg
1508,1847,21690,80653,57455,24599,91888,65442,Brunswick
390,481,6158,25570,19022,7146,28637,21010,Stanly
12,19,917,5543,4614,1126,6536,5391,Perquimans
