Second Dose Administered,First Dose Administered,County
36516,42757,Rockingham
167966,202138,Cumberland
8164,10275,Greene
3722,4402,Gates
12919,15430,Bladen
93678,107096,Cabarrus
7754,8808,Northampton
65577,77709,""
21826,25234,Stanly
85369,101601,Johnston
16460,20121,Richmond
560181,651997,Mecklenburg
23148,30937,Watauga
20116,23168,Vance
33935,39739,Burke
30220,34237,Surry
9012,10319,Caswell
14509,17162,Yadkin
21677,26161,Rutherford
48742,59702,Wayne
24907,30011,Pender
15537,20437,Macon
27885,32284,Lee
37536,44356,Cleveland
8864,10209,Anson
68590,78976,Catawba
40529,51177,Robeson
105008,119512,Union
4657,6122,Alleghany
47904,53576,Moore
30044,36187,Caldwell
80370,106994,Onslow
74852,85412,Iredell
7351,8989,Avery
17932,21972,Mcdowell
13347,17546,Transylvania
79512,91012,Alamance
6124,7614,Chowan
18936,23188,Columbus
2746,3146,Hyde
13801,16455,Scotland
10118,12130,Cherokee
16303,19857,Stokes
17603,20264,Person
652594,742356,Wake
121467,143805,New hanover
19265,23662,Duplin
21463,24684,Halifax
24995,30731,Wilkes
23918,28284,Hoke
8944,11044,Martin
18692,22306,Davie
77502,93742,Pitt
4561,5648,Washington
32416,38306,Wilson
272428,309767,Guilford
182034,210173,Durham
10651,13732,Ashe
34121,39445,Lincoln
8216,9082,Polk
13104,15125,Alexander
85651,102064,Gaston
8784,10572,Hertford
61656,73263,Davidson
41323,50348,Harnett
42638,50136,Nash
36495,40807,Chatham
8119,9749,Bertie
20034,23943,Beaufort
4095,4787,Clay
15786,19540,Pasquotank
29694,34084,Franklin
6055,6844,Pamlico
2893,3571,Graham
24189,30710,Sampson
70384,87339,Out o
1537,1863,Tyrrell
27446,32458,Haywood
4899,5928,Perquimans
18674,22568,Edgecombe
107374,121663,Orange
47408,55117,Craven
4122,4742,Camden
9087,11438,Madison
9301,11190,Currituck
5335,6750,Mitchell
20777,26364,Jackson
49162,57750,Randolph
51135,61715,Henderson
21382,31204,Missing
8990,10083,Warren
73329,84763,Brunswick
176845,217219,Forsyth
61931,70706,Rowan
9604,11154,Montgomery
3912,4462,Jones
145543,168615,Buncombe
32794,38115,Carteret
23414,28268,Lenoir
21062,25603,Dare
4803,5633,Swain
7222,8499,Yancey
31232,35520,Granville
