County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13768,11420,1090,665,2253,10425,1863,8892
Anson,12504,11214,228,146,3118,9158,2738,8330
Pender,35191,30107,1531,997,10950,22710,9283,19827
Swain,9698,7900,4209,2990,1345,4144,1145,3765
Mitchell,7880,6548,124,75,1302,6454,964,5509
Richmond,24001,20736,525,345,5695,17781,4711,15680
Gaston,122246,105491,2007,1212,43597,76642,39054,65225
Haywood,38323,32349,1613,1021,8747,27963,7511,23817
Craven,68929,61118,10013,8080,16855,42061,14553,38485
Franklin,41228,36649,1416,859,14661,25151,13092,22698
Iredell,102459,91010,2151,1482,43017,57291,38786,50742
Yadkin,19828,17467,193,132,5664,13971,5153,12182
Harnett,64769,54625,7439,5203,21374,35956,18535,30887
Beaufort,27797,24059,715,464,5807,21275,4972,18623
Polk,9101,8163,213,121,1881,7007,1705,6337
Dare,28458,23975,384,173,6075,21999,5520,18282
Forsyth,258645,215405,4235,2473,77993,176417,71574,141358
Onslow,133669,111944,60832,49163,31894,40943,27415,35366
Jones,5812,5113,583,406,1305,3924,1072,3635
Nash,58025,50640,1019,684,20461,36545,18385,31571
Jackson,25793,21004,4310,3104,3846,17637,3319,14581
Duplin,30165,25947,2248,1635,8826,19091,7811,16501
Alleghany,7018,5534,69,38,1424,5525,1155,4341
Missing,295654,238385,39846,43838,95845,159963,89970,104577
Cabarrus,129120,114516,4185,2585,49687,75248,45812,66119
Alexander,18161,16174,475,283,3066,14620,2591,13300
Camden,6842,5373,2058,1248,913,3871,788,3337
Mcdowell,25408,21969,625,383,3490,21293,2815,18771
Sampson,35860,30104,675,472,9218,25967,8003,21629
Lenoir,33599,29379,494,309,10993,22112,9596,19474
Rutherford,30441,26732,759,471,6069,23613,5447,20814
Montgomery,12792,11275,297,201,3141,9354,2583,8491
Stokes,23219,19935,357,213,7989,14873,7070,12652
Columbus,25880,22253,479,359,7468,17933,6436,15458
Wilson,46913,41260,654,418,14475,31784,12239,28603
New hanover,159036,136781,3388,2151,52965,102683,48017,86613
Lincoln,44801,39749,416,249,17683,26702,15289,24211
Davie,26147,22682,527,329,8147,17473,7320,15033
Northampton,9348,8310,194,98,1568,7586,1338,6874
Halifax,29049,25703,592,387,5538,22919,4630,20686
Hoke,27091,22078,6391,4516,7216,13484,6031,11531
Robeson,62650,54442,1543,1046,16405,44702,14013,39383
Yancey,9785,8648,180,134,1114,8491,924,7590
Lee,37846,33272,725,466,12450,24671,11184,21622
Buncombe,185533,158821,7329,4391,45598,132606,42377,112053
Hyde,3494,3180,12,,179,3303,155,3025
Edgecombe,26952,22859,929,571,7710,18313,6546,15742
