second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1689,10305,8588,2085,12254,10123,Currituck
99,129,2394,10416,7923,2773,11671,8769,Anson
2362,3565,1029,7201,3810,1236,8975,4174,Swain
354,518,8384,27805,19067,10058,32629,22053,Pender
75,114,865,6174,5234,1175,7477,6188,Mitchell
211,320,4110,19073,14752,5067,22179,16792,Richmond
850,1325,35120,98933,62963,39897,115481,74259,Gaston
917,1340,7062,30916,22937,8276,36563,26947,Haywood
7134,8284,13049,56197,36014,15371,63349,39694,Craven
397,524,11824,33472,21251,13377,37367,23466,Franklin
1173,1534,34706,85389,49510,39063,96727,56130,Iredell
119,169,4559,16474,11796,5105,18771,13497,Yadkin
298,400,4352,22548,17898,5200,26121,20521,Beaufort
923,1340,16054,47799,30822,19012,56055,35703,Harnett
108,145,1614,8441,6719,1785,9297,7367,Polk
17,23,4922,22830,17891,5562,27085,21500,Dare
1937,3161,64273,198804,132594,70895,239929,165873,Forsyth
47453,57144,23606,103625,32566,28200,124006,38662,Onslow
51,71,951,4428,3426,1172,4956,3713,Jones
563,773,16125,47761,31073,18239,54871,35859,Nash
2574,3797,2974,19836,14288,3492,24586,17297,Jackson
228,284,6895,22632,15509,8009,26485,18192,Duplin
26,34,1068,5207,4113,1325,6662,5303,Alleghany
35267,28797,83780,175307,56260,93007,201119,79315,Missing
1439,2113,40801,106435,64195,45054,120141,72974,Cabarrus
92,133,2297,14735,12346,2759,16489,13597,Alexander
959,881,689,4833,3185,813,5407,3713,Camden
350,507,2542,21075,18183,3218,24461,20736,Mcdowell
317,427,7099,28082,20666,8271,33683,24985,Sampson
285,420,8381,27132,18466,9826,31324,21078,Lenoir
426,645,4940,25337,19971,5567,29048,22836,Rutherford
144,184,2331,10799,8324,2857,12151,9110,Montgomery
162,249,6439,18622,12021,7436,21902,14217,Stokes
278,356,5571,21370,15521,6697,25028,17975,Columbus
355,501,10374,37620,26891,12753,43185,29931,Wilson
241,382,13810,38305,24254,16337,43484,26765,Lincoln
1255,1840,43815,128456,83386,48962,150276,99474,New hanover
251,351,6632,21152,14269,7555,24577,16671,Davie
83,123,1198,8265,6984,1422,9273,7728,Northampton
262,371,4071,24230,19897,4932,27372,22069,Halifax
664,897,12091,49651,36896,14514,57620,42209,Robeson
780,1150,5161,16467,10526,6313,19871,12408,Hoke
130,173,833,8177,7214,1016,9307,8118,Yancey
431,644,9815,30545,20299,11142,34741,22955,Lee
3823,5709,40069,150329,106437,43483,174272,125080,Buncombe
,,141,2977,2836,168,3343,3175,Hyde
295,403,5607,21368,15466,6705,25055,17947,Edgecombe
224,292,2774,14791,11793,3259,19108,15557,Transylvania
272,383,11885,38273,26116,13337,42181,28461,Chatham
4503,6105,51753,200141,143885,56215,230400,168080,Durham
,,129,1726,1597,170,2000,1830,Tyrrell
691,922,13865,51741,37185,15915,57817,40980,Moore
565,746,18412,55952,36975,21242,63538,41550,Randolph
2891,3506,18069,56491,35531,20763,63855,39586,Rowan
99,124,2792,12202,9311,3243,14994,11627,Ashe
979,1436,12021,57995,44995,14199,69451,53816,Henderson
302,403,6159,22954,16493,7155,26179,18621,Vance
574,915,45636,118501,72291,50117,133081,82049,Union
38,56,1490,5267,3739,1755,6170,4359,Washington
949,1273,21439,71368,48980,24731,82620,56616,Davidson
4360,4776,8905,34420,21155,10180,38440,23484,Granville
66,123,3917,25595,21612,4592,32967,28252,Watauga
316,519,12627,44140,31197,14854,50216,34843,Cleveland
305,388,706,3577,2566,869,4167,2910,Graham
,13,447,4114,3667,527,4652,4112,Gates
391,603,10858,36225,24976,12562,40909,27744,Carteret
1043,1427,22900,89611,65668,25885,100943,73631,Alamance
4656,7712,223059,616966,389251,246637,714930,460581,Mecklenburg
1505,1844,21184,79950,57261,23946,90809,65019,Brunswick
390,477,5986,25148,18772,6917,28061,20667,Stanly
11,15,885,5471,4575,1104,6451,5332,Perquimans
136,222,1175,10089,8778,1332,12534,10980,Madison
14,30,4396,18357,13947,5270,21903,16603,Pasquotank
401,732,26451,77215,50363,30599,86480,55149,Catawba
184,324,8659,33991,25148,10826,39490,28340,Caldwell
195,259,8922,29186,20069,10184,33271,22828,Wilkes
80,101,2292,9506,7134,2697,11324,8526,Greene
338,490,11919,41513,29256,13934,46710,32286,Rockingham
319,479,2406,17418,14693,2997,21668,18192,Macon
,,,84927,84927,,108352,108352,Out o
5869,8659,243185,718974,469920,264090,816068,543319,Wake
117,146,2152,9979,7710,2444,11006,8416,Warren
2239,3508,93804,293476,197433,104609,331307,223190,Guilford
166,218,3545,14718,11007,4306,16798,12274,Bladen
75377,93543,46148,190256,68731,54186,225728,77999,Cumberland
,,1527,6908,5381,1688,8204,6516,Chowan
