Second Dose Administered,First Dose Administered,County
39859,45074,Rockingham
182460,216790,Cumberland
9017,10844,Greene
3989,4544,Gates
14183,16124,Bladen
101699,114367,Cabarrus
8230,9203,Northampton
75582,84849,""
23968,27018,Stanly
92935,107870,Johnston
18179,21268,Richmond
586727,677415,Mecklenburg
24266,31852,Watauga
21843,24688,Vance
36744,41697,Burke
32994,36687,Surry
9585,10745,Caswell
15881,18168,Yadkin
24334,28029,Rutherford
54302,63658,Wayne
27190,31858,Pender
16661,20907,Macon
29402,33369,Lee
41809,47692,Cleveland
9751,11060,Anson
74024,82812,Catawba
46928,55060,Robeson
112607,126162,Union
5011,6386,Alleghany
50577,56306,Moore
32558,37894,Caldwell
96239,118639,Onslow
81793,92366,Iredell
7877,9441,Avery
20214,23602,Mcdowell
14064,18174,Transylvania
85394,96066,Alamance
6619,7975,Chowan
20980,24439,Columbus
2859,3202,Hyde
14953,17032,Scotland
11685,13203,Cherokee
17762,21022,Stokes
19206,21544,Person
681448,769239,Wake
123466,144486,New hanover
21464,25017,Duplin
23290,26327,Halifax
28474,32555,Wilkes
15512,18736,Hoke
9824,11655,Martin
20164,23485,Davie
78296,93413,Pitt
5060,5986,Washington
35448,40995,Wilson
281026,316376,Guilford
189643,217665,Durham
11540,14329,Ashe
36727,41728,Lincoln
8643,9464,Polk
14115,15820,Alexander
93488,109461,Gaston
9648,11167,Hertford
68110,78654,Davidson
45767,53879,Harnett
46113,53248,Nash
37306,41150,Chatham
8829,10260,Bertie
21624,25288,Beaufort
4617,5118,Clay
17234,20878,Pasquotank
32208,35901,Franklin
6407,7157,Pamlico
3489,4055,Graham
27077,32550,Sampson
77334,97938,Out o
1675,1946,Tyrrell
29858,35043,Haywood
5273,6225,Perquimans
20572,24290,Edgecombe
94244,107594,Orange
52880,60153,Craven
4577,5194,Camden
9758,12027,Madison
9924,11808,Currituck
5963,7156,Mitchell
19014,23218,Jackson
54075,61262,Randolph
55198,65547,Henderson
65356,67248,Missing
9662,10689,Warren
77837,88558,Brunswick
188847,228057,Forsyth
54815,61967,Rowan
10455,11774,Montgomery
4250,4769,Jones
142996,164722,Buncombe
34880,39547,Carteret
25904,30026,Lenoir
21900,26213,Dare
6825,8194,Swain
7886,8981,Yancey
33477,37263,Granville
