County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13757,11401,1086,656,2243,10428,1849,8896
Anson,12486,11187,227,137,3094,9165,2705,8345
Swain,9672,7880,4158,2930,1335,4179,1139,3811
Pender,35025,29953,1523,983,10891,22611,9232,19738
Mitchell,7858,6508,124,75,1294,6440,957,5476
Richmond,23831,20525,534,320,5653,17644,4674,15531
Haywood,38118,32147,1609,1015,8711,27798,7481,23651
Gaston,122367,105689,2023,1194,43375,76969,38886,65609
Craven,68678,60654,10109,7962,16760,41809,14461,38231
Franklin,40729,36200,1447,827,14552,24730,13006,22367
Iredell,102468,90964,2166,1446,42794,57508,38591,50927
Yadkin,19772,17408,191,131,5631,13950,5116,12161
Beaufort,27658,23925,713,458,5757,21188,4930,18537
Harnett,64528,54399,7442,5068,21214,35872,18388,30943
Polk,9159,8268,210,120,1878,7071,1706,6442
Dare,28384,23844,381,166,6056,21947,5499,18179
Forsyth,257430,214093,4287,2416,77500,175643,71105,140572
Onslow,133603,110814,61272,48507,31615,40716,27159,35148
Jones,5764,5073,579,397,1287,3898,1061,3615
Nash,58040,50647,1015,672,20307,36718,18254,31721
Jackson,25757,20956,4280,3070,3834,17643,3303,14583
Duplin,30044,25820,2261,1618,8762,19021,7766,16436
Alleghany,7002,5505,69,38,1420,5513,1152,4315
Missing,290161,230730,39880,43514,95755,154526,90008,97208
Cabarrus,130027,115556,4259,2505,49401,76367,45533,67518
Camden,6829,5337,2062,1225,901,3866,781,3331
Alexander,17903,15892,494,263,3053,14356,2584,13045
Mcdowell,25533,22085,624,380,3479,21430,2803,18902
Sampson,36087,30307,676,460,9183,26228,7976,21871
Lenoir,33392,29180,492,308,10886,22014,9507,19365
Rutherford,30428,26716,757,469,6047,23624,5426,20821
Montgomery,12802,11310,296,200,3136,9370,2580,8530
Stokes,23049,19749,357,212,7945,14747,7027,12510
Columbus,25804,22157,478,349,7415,17911,6391,15417
Wilson,46594,40966,652,416,14362,31580,12153,28397
Lincoln,45401,40328,416,249,17595,27390,15181,24898
New hanover,158381,135951,3425,2118,52687,102269,47743,86090
Davie,26021,22520,526,327,8095,17400,7276,14917
Northampton,9379,8351,194,97,1563,7622,1335,6919
Halifax,29032,25665,589,376,5515,22928,4603,20686
Robeson,62428,54147,1570,1024,16274,44584,13886,39237
Hoke,26937,21789,6435,4402,7170,13332,5987,11400
Yancey,9746,8612,180,134,1108,8458,919,7559
Lee,37251,32815,723,466,12374,24154,11104,21245
Buncombe,184068,157473,7384,4331,45501,131183,42274,110868
Hyde,3496,3179,12,,178,3306,155,3024
Edgecombe,26998,22886,941,553,7614,18443,6478,15855
Transylvania,19895,15424,392,256,3496,16007,2988,12180
Chatham,48031,42177,5064,3123,14047,28920,12607,26447
Durham,247525,214985,8212,5388,61272,178041,56911,152686
Tyrrell,2078,1811,,,183,1895,142,1669
Moore,63680,56274,5089,3244,17287,41304,15281,37749
Randolph,67490,59619,957,654,23466,43067,20736,38229
Rowan,67473,59369,4307,3245,22951,40215,20342,35782
Ashe,16191,12899,236,136,3467,12488,2934,9829
Henderson,73034,61082,1760,1050,15098,56176,12926,47106
Vance,28517,25036,496,344,7841,20180,6795,17897
Union,139245,125233,1420,775,55050,82775,51164,73294
Washington,6568,5687,66,41,1856,4646,1607,4039
Davidson,88655,76534,2233,1371,26998,59424,23797,51366
Granville,40827,36344,5532,4761,10969,24326,9771,21812
Watauga,33566,26005,223,107,4823,28520,4146,21752
Cleveland,53026,46983,726,404,15995,36305,13863,32716
Graham,4305,3681,456,337,907,2942,745,2599
Gates,4991,4411,147,68,587,4257,497,3846
Carteret,48841,42579,7145,4992,13536,28160,11919,25668
Alamance,107407,95897,2089,1320,28708,76610,25927,68650
