second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1690,10331,8613,2086,12262,10130,Currituck
99,129,2402,10437,7936,2777,11691,8785,Anson
2372,3570,1028,7211,3811,1235,8981,4176,Swain
354,518,8413,27834,19067,10088,32662,22056,Pender
75,114,868,6186,5243,1179,7494,6201,Mitchell
211,320,4127,19113,14775,5086,22218,16812,Richmond
917,1340,7077,30958,22964,8290,36602,26972,Haywood
850,1325,35231,99128,63047,40004,115636,74307,Gaston
7138,8286,13090,56371,36143,15406,63464,39772,Craven
397,524,11849,33532,21286,13413,37426,23489,Franklin
1173,1534,34860,85589,49556,39185,96934,56215,Iredell
119,169,4569,16491,11803,5120,18788,13499,Yadkin
298,400,4369,22589,17922,5210,26168,20558,Beaufort
923,1340,16136,47934,30875,19111,56199,35748,Harnett
108,145,1619,8454,6727,1788,9304,7371,Polk
17,23,4935,22852,17900,5580,27113,21510,Dare
1937,3161,64459,199359,132963,71062,240334,166111,Forsyth
47504,57168,23711,103821,32606,28296,124193,38729,Onslow
51,71,955,4437,3431,1175,4960,3714,Jones
563,773,16177,47802,31062,18271,54894,35850,Nash
2589,3800,2985,19899,14325,3503,24616,17313,Jackson
228,284,6925,22695,15542,8039,26565,18242,Duplin
26,34,1072,5220,4122,1330,6678,5314,Alleghany
35260,28797,84025,176795,57510,93003,202766,80966,Missing
1439,2113,40944,106752,64369,45151,120371,73107,Cabarrus
92,133,2294,14743,12357,2758,16501,13610,Alexander
959,881,691,4840,3190,817,5413,3715,Camden
350,507,2548,21093,18195,3228,24476,20741,Mcdowell
317,427,7118,28129,20694,8299,33751,25025,Sampson
285,420,8406,27184,18493,9864,31378,21094,Lenoir
426,645,4953,25364,19985,5573,29077,22859,Rutherford
144,184,2345,10823,8334,2867,12169,9118,Montgomery
162,249,6460,18653,12031,7453,21939,14237,Stokes
355,501,10414,37694,26925,12787,43257,29969,Wilson
278,356,5582,21379,15519,6711,25043,17976,Columbus
241,382,13863,38382,24278,16368,43536,26786,Lincoln
1255,1840,43954,128720,83511,49090,150523,99593,New hanover
251,351,6646,21205,14308,7576,24630,16703,Davie
83,123,1204,8246,6959,1428,9257,7706,Northampton
262,371,4088,24270,19920,4946,27409,22092,Halifax
664,897,12115,49735,36956,14550,57723,42276,Robeson
780,1150,5186,16501,10535,6340,19912,12422,Hoke
130,173,836,8186,7220,1016,9321,8132,Yancey
431,644,9839,30587,20317,11153,34792,22995,Lee
3823,5709,40145,150974,107006,43532,174922,125681,Buncombe
,,141,2979,2838,168,3349,3181,Hyde
295,403,5619,21321,15407,6719,25013,17891,Edgecombe
224,292,2784,14832,11824,3269,19132,15571,Transylvania
272,383,11812,38179,26095,13332,42139,28424,Chatham
4503,6105,51904,200884,144477,56353,230815,168357,Durham
,,129,1730,1601,170,2002,1832,Tyrrell
691,922,13909,51798,37198,15938,57836,40976,Moore
565,746,18493,56024,36966,21305,63581,41530,Randolph
2891,3506,18111,56577,35575,20815,64012,39691,Rowan
99,124,2795,12214,9320,3252,15012,11636,Ashe
979,1436,12044,58131,45108,14215,69578,53927,Henderson
302,403,6178,23002,16522,7183,26253,18667,Vance
574,915,45838,118764,72352,50257,133326,82154,Union
38,56,1496,5295,3761,1759,6181,4366,Washington
949,1273,21512,71539,49078,24800,82783,56710,Davidson
4360,4783,8941,34484,21183,10201,38486,23502,Granville
66,123,3921,25658,21671,4599,32992,28270,Watauga
316,519,12654,44247,31277,14883,50304,34902,Cleveland
305,388,707,3587,2575,870,4172,2914,Graham
,13,447,4119,3672,528,4657,4116,Gates
391,603,10890,36282,25001,12591,40958,27764,Carteret
1043,1427,22986,89808,65779,25951,101060,73682,Alamance
4656,7712,223901,618600,390043,247267,716270,461291,Mecklenburg
1505,1844,21220,80037,57312,24009,90908,65055,Brunswick
390,477,6006,25203,18807,6936,28119,20706,Stanly
11,15,890,5489,4588,1105,6456,5336,Perquimans
136,222,1176,10110,8798,1326,12534,10986,Madison
14,30,4414,18432,14004,5290,21957,16637,Pasquotank
401,732,26511,77346,50434,30671,86600,55197,Catawba
184,324,8686,34050,25180,10857,39545,28364,Caldwell
195,259,8947,29226,20084,10196,33286,22831,Wilkes
80,101,2299,9529,7150,2707,11346,8538,Greene
338,490,11956,41582,29288,13984,46790,32316,Rockingham
,,,85355,85355,,108814,108814,Out o
319,479,2416,17468,14733,3010,21705,18216,Macon
5869,8659,244212,721108,471027,264864,817588,544065,Wake
117,146,2159,10000,7724,2449,11032,8437,Warren
2239,3508,94237,294088,197612,104933,331781,223340,Guilford
166,218,3556,14729,11007,4313,16825,12294,Bladen
75384,93552,46345,190503,68774,54337,226026,78137,Cumberland
,,1528,6927,5399,1692,8216,6524,Chowan
78,93,941,6649,5630,1205,7390,6092,Pamlico
169,239,3877,15412,11366,4832,17550,12479,Scotland
933,1390,32172,98215,65110,36608,113536,75538,Johnston
56,93,922,4819,3841,1011,5322,4218,Clay
133,183,1935,9820,7752,2380,11653,9090,Martin
423,611,2162,12022,9437,2758,13639,10270,Cherokee
844,1188,23327,101438,77267,24640,114974,89146,Orange
339,498,9214,37768,28215,10897,42866,31471,Burke
227,301,10064,33812,23521,11443,37624,25880,Surry
8063,10720,15920,57288,33305,18814,66770,37236,Wayne
65,99,1321,8070,6684,1536,9619,7984,Avery
1018,1508,25576,82560,55966,29452,97936,66976,Pitt
28,42,1607,9177,7542,1890,10563,8631,Bertie
23,50,2711,10164,7430,3191,11615,8374,Hertford
292,388,4639,20074,15143,5636,22513,16489,Person
71,109,1294,9897,8532,1666,11061,9286,Caswell
