second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1719,10429,8682,2138,12443,10259,Currituck
99,129,2457,10563,8007,2843,11875,8903,Anson
2431,3640,1049,7312,3832,1253,9081,4188,Swain
355,518,8598,28023,19070,10294,32970,22158,Pender
75,114,887,6231,5269,1196,7552,6242,Mitchell
212,323,4216,19310,14882,5200,22513,16990,Richmond
918,1349,7143,30972,22911,8388,36805,27068,Haywood
850,1331,35887,99961,63224,40808,116904,74765,Gaston
7238,8422,13376,57022,36408,15725,64279,40132,Craven
397,526,12083,33877,21397,13710,37923,23687,Franklin
1175,1540,35630,86577,49772,40202,98294,56552,Iredell
119,170,4688,16631,11824,5257,19008,13581,Yadkin
299,402,4469,22697,17929,5314,26335,20619,Beaufort
928,1371,16566,48053,30559,19657,56552,35524,Harnett
108,146,1635,8436,6693,1813,9274,7315,Polk
17,23,5069,22888,17802,5717,27377,21637,Dare
1944,3220,65601,201264,133719,72730,243491,167541,Forsyth
47852,57597,24385,105078,32841,29167,125820,39056,Onslow
51,72,970,4477,3456,1199,5003,3732,Jones
563,775,16593,48080,30924,18797,55588,36016,Nash
2643,3842,3037,19997,14317,3561,24782,17379,Jackson
228,287,7104,23036,15704,8256,27014,18471,Duplin
26,34,1082,5234,4126,1345,6730,5351,Alleghany
35441,29831,86177,187015,65397,95594,217438,92013,Missing
1441,2140,41877,108050,64732,46291,122122,73691,Cabarrus
92,134,2336,14813,12385,2827,16688,13727,Alexander
963,887,715,4884,3206,842,5469,3740,Camden
351,511,2610,21180,18219,3301,24639,20827,Mcdowell
318,430,7287,28372,20767,8547,34120,25143,Sampson
288,425,8627,27484,18569,10120,31793,21248,Lenoir
426,648,5040,25605,20139,5696,29354,23010,Rutherford
144,186,2388,10890,8358,2924,12240,9130,Montgomery
162,251,6596,18853,12095,7604,22195,14340,Stokes
278,360,5745,21451,15428,6891,25214,17963,Columbus
355,505,10729,38146,27062,13139,43932,30288,Wilson
241,385,14138,38726,24347,16681,43976,26910,Lincoln
1257,1848,44727,129600,83616,50037,152031,100146,New hanover
252,355,6790,21350,14308,7727,24939,16857,Davie
83,123,1232,8259,6944,1468,9279,7688,Northampton
262,372,4187,24479,20030,5096,27769,22301,Halifax
671,906,12431,50387,37285,14933,58546,42707,Robeson
783,1171,5344,16737,10610,6569,20296,12556,Hoke
130,174,851,8267,7286,1034,9435,8227,Yancey
432,650,10045,30795,20318,11445,35218,23123,Lee
3831,5729,40592,151804,107381,44032,176730,126969,Buncombe
,,144,3002,2858,173,3373,3200,Hyde
295,405,5757,21381,15329,6927,25200,17868,Edgecombe
224,293,2834,14787,11729,3341,19296,15662,Transylvania
272,383,11948,38112,25892,13552,42217,28282,Chatham
4508,6201,52529,201822,144785,57411,233105,169493,Durham
,,131,1744,1613,171,2022,1851,Tyrrell
693,927,14170,51919,37056,16325,58176,40924,Moore
567,750,18883,56548,37098,21889,64385,41746,Randolph
2893,3534,18531,56965,35541,21333,64732,39865,Rowan
99,126,2839,12220,9282,3291,15127,11710,Ashe
981,1441,12211,58475,45283,14467,70395,54487,Henderson
302,405,6305,23347,16740,7346,26711,18960,Vance
574,917,47003,120393,72816,51588,135246,82741,Union
38,56,1511,5355,3806,1775,6249,4418,Washington
953,1282,21964,72363,49446,25405,84086,57399,Davidson
4371,4792,9100,34686,21215,10419,38870,23659,Granville
66,124,3941,25392,21385,4643,33163,28396,Watauga
317,520,12914,44705,31474,15148,50789,35121,Cleveland
305,402,711,3590,2574,877,4194,2915,Graham
,15,453,4131,3678,545,4700,4140,Gates
391,603,11099,36604,25114,12871,41355,27881,Carteret
1045,1442,23534,90730,66151,26665,102334,74227,Alamance
4678,7774,228293,626238,393267,252461,726750,466515,Mecklenburg
1505,1844,21598,80471,57368,24458,91587,65285,Brunswick
390,479,6134,25473,18949,7087,28503,20937,Stanly
11,17,911,5527,4605,1119,6501,5365,Perquimans
136,224,1195,10077,8746,1336,12572,11012,Madison
15,36,4503,18600,14082,5423,22235,16776,Pasquotank
195,259,9122,29407,20090,10386,33454,22809,Wilkes
401,737,27140,78241,50700,31335,87624,55552,Catawba
184,325,8865,34287,25238,11126,39956,28505,Caldwell
82,101,2333,9565,7150,2783,11513,8629,Greene
338,493,12243,41951,29370,14431,47427,32503,Rockingham
319,482,2448,17327,14560,3053,21800,18265,Macon
,,,88128,88128,,112146,112146,Out o
5875,8751,248131,728407,474401,269918,828137,549468,Wake
117,149,2196,10045,7732,2497,11173,8527,Warren
2249,3539,96691,297195,198255,107990,336246,224717,Guilford
166,220,3613,14859,11080,4419,17020,12381,Bladen
75788,94093,47624,192490,69078,56150,228805,78562,Cumberland
,,1553,6958,5405,1726,8300,6574,Chowan
78,93,960,6691,5653,1237,7446,6116,Pamlico
169,240,3948,15532,11415,4991,17818,12587,Scotland
937,1397,32924,99472,65611,37551,115278,76330,Johnston
56,93,925,4846,3865,1018,5358,4247,Clay
424,612,2187,12109,9498,2789,13709,10308,Cherokee
133,184,1981,9805,7691,2446,11684,9054,Martin
844,1208,23607,101082,76631,25016,115463,89239,Orange
340,499,9416,37882,28126,11146,43083,31438,Burke
227,307,10220,33795,23348,11644,37664,25713,Surry
8163,10801,16390,57955,33402,19350,67601,37450,Wayne
65,100,1339,8103,6699,1567,9708,8041,Avery
1019,1532,26236,82888,55633,30370,99072,67170,Pitt
28,42,1662,9234,7544,1955,10668,8671,Bertie
23,50,2776,10263,7464,3295,11738,8393,Hertford
292,390,4742,20244,15210,5803,22794,16601,Person
71,109,1326,9963,8566,1697,11142,9336,Caswell
