County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13759,11403,1087,657,2244,10428,1850,8896
Anson,12491,11199,228,137,3097,9166,2713,8349
Swain,9681,7886,4171,2941,1337,4173,1141,3804
Pender,35049,29992,1525,985,10897,22627,9240,19767
Mitchell,7859,6508,124,75,1295,6440,958,5475
Richmond,23871,20551,537,322,5662,17672,4679,15550
Haywood,38181,32199,1611,1015,8720,27850,7486,23698
Gaston,122429,105722,2025,1196,43403,77001,38919,65607
Craven,68756,60702,10121,7971,16776,41859,14470,38261
Franklin,40809,36263,1451,829,14570,24788,13018,22416
Iredell,102508,91013,2173,1453,42820,57515,38626,50934
Yadkin,19788,17424,193,131,5635,13960,5123,12170
Beaufort,27683,23948,714,460,5769,21200,4940,18548
Harnett,64605,54452,7451,5075,21239,35915,18417,30960
Polk,9162,8261,212,121,1880,7070,1708,6432
Dare,28396,23858,385,166,6060,21951,5505,18187
Forsyth,257745,214397,4290,2419,77569,175886,71194,140784
Onslow,133745,110950,61312,48547,31651,40782,27196,35207
Jones,5768,5074,581,398,1290,3897,1062,3614
Nash,58096,50702,1016,673,20329,36751,18281,31748
Jackson,25762,20963,4287,3075,3837,17638,3306,14582
Duplin,30070,25841,2265,1619,8774,19031,7772,16450
Alleghany,7008,5517,69,38,1419,5520,1151,4328
Missing,290324,231133,39902,43523,95777,154645,90049,97561
Cabarrus,130203,115681,4268,2512,49454,76481,45580,67589
Alexander,17931,15910,495,263,3056,14380,2584,13063
Camden,6839,5345,2069,1231,903,3867,781,3333
Mcdowell,25530,22089,625,380,3483,21422,2804,18905
Sampson,36104,30331,677,460,9187,26240,7977,21894
Lenoir,33428,29198,493,308,10908,22027,9517,19373
Rutherford,30440,26728,757,469,6051,23632,5427,20832
Montgomery,12816,11316,297,200,3138,9381,2581,8535
Stokes,23083,19778,358,212,7950,14775,7034,12532
Columbus,25826,22175,479,349,7422,17925,6398,15428
Wilson,46648,41014,654,417,14387,31607,12171,28426
Lincoln,45397,40338,416,249,17612,27369,15206,24883
New hanover,158480,136099,3429,2118,52722,102329,47790,86191
Davie,26040,22536,526,327,8101,17413,7284,14925
Northampton,9378,8355,194,97,1563,7621,1338,6920
Halifax,29060,25697,592,378,5518,22950,4610,20709
Robeson,62475,54183,1574,1024,16290,44611,13903,39256
Hoke,26975,21842,6440,4414,7176,13359,6004,11424
Yancey,9749,8614,180,134,1108,8461,919,7561
Lee,37346,32913,723,466,12379,24244,11128,21319
Buncombe,184328,157712,7385,4333,45516,131427,42298,111081
Hyde,3500,3186,12,,178,3310,155,3031
Edgecombe,27021,22904,943,555,7623,18455,6486,15863
Transylvania,19903,15435,392,256,3497,16014,2990,12189
Chatham,48370,42495,5076,3130,14047,29247,12613,26752
Durham,248174,215647,8219,5393,61292,178663,56984,153270
Tyrrell,2080,1815,,,183,1897,142,1673
Moore,63794,56400,5094,3249,17296,41404,15292,37859
Randolph,67536,59665,958,654,23484,43094,20757,38254
Rowan,67534,59417,4307,3247,22973,40254,20367,35803
Ashe,16224,12932,236,136,3465,12523,2934,9862
Henderson,73100,61139,1762,1050,15110,56228,12934,47155
Vance,28563,25063,497,344,7852,20214,6801,17918
Union,139320,125323,1423,775,55111,82786,51234,73314
Washington,6570,5691,66,41,1857,4647,1608,4042
Davidson,88747,76625,2236,1373,27032,59479,23827,51425
Granville,40860,36375,5543,4768,10966,24351,9776,21831
Watauga,33532,25995,223,108,4822,28487,4146,21741
Cleveland,53042,47000,727,404,16008,36307,13873,32723
Gates,4993,4416,148,69,588,4257,496,3851
Graham,4307,3684,457,337,907,2943,745,2602
Carteret,48878,42616,7156,5001,13539,28183,11916,25699
Alamance,107551,96011,2092,1323,28737,76722,25953,68735
Mecklenburg,758140,661446,9967,5618,269828,478345,248253,407575
Brunswick,94990,83670,3026,2019,25874,66090,23161,58490
Stanly,30106,27006,774,573,7611,21721,6670,19763
Perquimans,6702,5716,20,12,1206,5476,987,4717
Madison,12896,10403,236,138,1407,11253,1261,9004
Pasquotank,23259,19840,52,21,5823,17384,4969,14850
Catawba,91593,82240,1205,583,33317,57071,29397,52260
