Second Dose Administered,First Dose Administered,County
39155,44654,Rockingham
176765,213101,Cumberland
8853,10749,Greene
3927,4495,Gates
13958,16015,Bladen
99709,112421,Cabarrus
8145,9141,Northampton
72790,82316,""
23521,26702,Stanly
91163,106384,Johnston
17848,21039,Richmond
576095,666928,Mecklenburg
23882,31523,Watauga
21472,24382,Vance
36102,41394,Burke
32233,36021,Surry
9444,10668,Caswell
15620,18025,Yadkin
23854,27806,Rutherford
52520,62826,Wayne
26691,31388,Pender
16423,20768,Macon
28896,33030,Lee
40730,47133,Cleveland
9514,10849,Anson
72661,81497,Catawba
45732,54301,Robeson
110624,124244,Union
4945,6269,Alleghany
50059,55770,Moore
32019,37563,Caldwell
87701,114166,Onslow
80198,90808,Iredell
7761,9381,Avery
19855,23379,Mcdowell
13958,18079,Transylvania
84271,95134,Alamance
6493,7892,Chowan
20627,24218,Columbus
2836,3191,Hyde
14685,16881,Scotland
11398,13109,Cherokee
17454,20775,Stokes
18825,21330,Person
674552,761244,Wake
121964,142905,New hanover
21123,24782,Duplin
22935,25979,Halifax
27794,32306,Wilkes
15199,18482,Hoke
9616,11547,Martin
19880,23262,Davie
77092,92240,Pitt
4913,5922,Washington
34635,40437,Wilson
277607,313554,Guilford
187953,215975,Durham
11344,14165,Ashe
36000,41057,Lincoln
8566,9409,Polk
13744,15589,Alexander
91583,107608,Gaston
9438,11040,Hertford
66767,77763,Davidson
44852,53280,Harnett
45305,52591,Nash
37199,41282,Chatham
8633,10147,Bertie
21233,25050,Beaufort
4508,5083,Clay
16788,20421,Pasquotank
31727,35545,Franklin
6336,7088,Pamlico
3397,4034,Graham
26536,32274,Sampson
75138,94754,Out o
1633,1929,Tyrrell
29347,34370,Haywood
5184,6167,Perquimans
20036,23926,Edgecombe
93624,106981,Orange
50467,58406,Craven
4364,5067,Camden
9639,11936,Madison
9778,11559,Currituck
5867,7111,Mitchell
18774,23010,Jackson
53247,60676,Randolph
54259,64475,Henderson
60701,61063,Missing
9512,10575,Warren
77088,88006,Brunswick
186292,225916,Forsyth
53737,61256,Rowan
10314,11692,Montgomery
4158,4687,Jones
141575,163311,Buncombe
34467,39105,Carteret
25354,29697,Lenoir
21702,26119,Dare
6700,8065,Swain
7755,8910,Yancey
33160,36958,Granville
