Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
27552,72648,31023,8280,5793,Robeson
4044,9763,4602,650,467,Perquimans
56566,164909,64930,23979,19434,Johnston
33111,94233,36356,13775,10991,Randolph
2485,5515,2796,129,105,Hyde
3589,9974,4544,1020,821,Alleghany
12797,36220,14552,4988,3883,Duplin
3163,7448,3653,357,275,Gates
20140,55179,23658,6213,5168,Haywood
15994,41529,17597,4487,3451,Stanly
83688,301277,103931,62214,51444,Missing / Out of State
23275,63064,25908,8084,5797,Wilson
1308,2996,1495,112,81,Tyrrell
29213,80506,31892,11132,8269,Wayne
7424,18668,8071,1834,1339,Montgomery
16064,45310,18012,6276,4958,Lenoir
10272,26399,11059,3005,2063,Scotland
58435,154910,64867,17532,14076,Alamance
2741,6763,3192,494,336,Camden
6153,16361,7388,1614,1206,Greene
31753,91525,34821,13964,10987,Rowan
6455,15149,7102,918,674,Northampton
16890,47213,18959,6383,4981,Wilkes
22510,66520,24433,10911,8666,Lincoln
22478,59059,25486,6492,4603,Caldwell
6652,16415,7172,1414,1177,Polk
21237,58401,22875,7874,6415,Surry
12382,31512,15647,1988,1495,Macon
3043,7930,3296,838,753,Clay
10584,28014,11872,3133,2425,Yadkin
29525,90895,33839,15713,11818,Onslow
12565,31863,13989,3162,2147,Richmond
93181,269146,108383,35761,31821,Buncombe
65148,200909,72538,34058,29165,Union
56846,179006,63901,31486,26773,Cabarrus
3126,8991,3586,1281,998,Washington
27775,80072,31687,11767,8843,Harnett
25900,66255,28272,6895,5188,Burke
19485,53587,21376,7086,5640,Granville
55377,165822,62676,26479,21290,Gaston
13602,36871,15613,4394,3262,Edgecombe
19101,51072,25669,3427,2875,Watauga
8655,24963,9916,3785,2607,Hoke
6498,15998,7584,1083,833,Bertie
13275,34025,14390,3654,2706,Person
15892,40051,18327,3299,2533,Beaufort
46370,132268,50082,19909,15907,Catawba
12943,32437,15373,2318,1803,Jackson
425147,1286380,482375,200884,177974,Wake
26616,71767,29054,9176,6921,Cleveland
17160,46900,20448,5318,3974,Sampson
13802,35852,15683,3768,2599,Columbus
7613,17715,8272,1092,738,Caswell
6149,14322,6904,731,538,Yancey
18533,51463,20199,7203,5528,Lee
6465,17046,7436,1791,1354,Hertford
26600,70930,29184,8599,6547,Rockingham
344623,1078479,398656,180810,154390,Mecklenburg
23624,63966,25529,8265,6548,Carteret
3521,8937,3869,872,675,Swain
6076,15112,7210,1018,808,Avery
14193,38748,15665,4987,3903,Vance
16832,40835,18730,3085,2188,Halifax
16702,42141,18853,3680,2906,Rutherford
28397,83360,32653,12336,9974,Nash
7973,22196,10088,2272,1863,Ashe
10777,32246,12540,5024,3905,Stokes
2228,5533,2513,494,298,Graham
17390,48303,19888,6213,4812,Pender
32079,83700,34436,9643,7542,Craven
184844,519462,204016,71618,58984,Guilford
7646,18814,9481,924,763,Madison
25849,72382,27931,10209,8393,Chatham
50443,144811,60683,18577,15108,Pitt
35576,93749,37990,11044,9139,Moore
117498,354725,142916,51318,42993,Forsyth
45186,142353,48575,26246,22346,Iredell
10282,28785,13800,2561,2142,Transylvania
6900,17658,8217,1482,1059,Martin
7000,17548,7510,1677,1361,Warren
3020,7465,3235,700,510,Jones
12635,36916,14796,5253,4232,Davie
63320,191517,69321,33735,25141,Cumberland
14872,35214,16845,2029,1468,Mcdowell
8085,19747,8795,1662,1205,Cherokee
4612,12299,5660,1108,919,Chowan
68087,185838,78967,20159,18625,Orange
11119,26234,12278,1618,1219,Alexander
128301,354819,147165,42501,36852,Durham
38203,103945,45708,10945,9089,Henderson
11986,31657,14120,3223,2328,Pasquotank
5196,12074,5668,718,492,Pamlico
4464,10833,5230,699,440,Mitchell
7666,19088,8917,1438,1067,Currituck
53868,145741,60556,16909,14408,Brunswick
41918,118835,47207,16624,13086,Davidson
19358,56978,21162,9054,7404,Franklin
16577,43688,19967,3897,3247,Dare
9156,23825,10389,2576,1704,Bladen
77056,231882,90286,34710,29830,New Hanover
6859,17062,7510,1545,1148,Anson
