second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1612,10105,8465,2008,12074,10021,Currituck
99,128,2243,10030,7688,2662,11337,8547,Anson
2160,3223,998,6917,3759,1209,8560,4128,Swain
354,510,7986,27306,18966,9611,32121,22000,Pender
75,114,844,6042,5123,1120,7286,6052,Mitchell
211,320,3945,18548,14392,4855,21569,16394,Richmond
850,1314,33452,96000,61698,38422,112405,72669,Gaston
914,1319,6916,30201,22371,8086,35824,26419,Haywood
6964,8098,12458,54572,35150,14658,61383,38627,Craven
396,524,11336,32651,20919,12914,36529,23091,Franklin
1172,1521,33129,83011,48710,37377,93983,55085,Iredell
119,168,4344,16100,11637,4905,18452,13379,Yadkin
298,398,4153,22017,17566,4967,25631,20266,Beaufort
919,1308,15119,46664,30626,18093,54898,35497,Harnett
108,144,1559,8519,6852,1743,9400,7513,Polk
17,23,4650,22218,17551,5283,26645,21339,Dare
1933,3083,61325,191859,128601,68131,233146,161932,Forsyth
46549,56495,22150,100688,31989,26654,121222,38073,Onslow
51,71,903,4335,3381,1120,4836,3645,Jones
563,772,15380,46896,30953,17420,54017,35825,Nash
2375,3432,2862,19251,14014,3363,23811,17016,Jackson
228,284,6601,21948,15119,7637,25580,17659,Duplin
26,34,1040,5072,4006,1272,6499,5193,Alleghany
34479,25556,78547,154775,41749,88211,172379,58612,Missing
1439,2075,38599,103197,63159,42946,116937,71916,Cabarrus
92,132,2176,14407,12139,2648,16157,13377,Alexander
944,875,638,4703,3121,776,5302,3651,Camden
347,503,2440,20621,17834,3096,24036,20437,Mcdowell
317,420,6833,27586,20436,7928,32915,24567,Sampson
285,420,7989,26440,18166,9341,30517,20756,Lenoir
426,644,4720,24816,19670,5372,28462,22446,Rutherford
144,184,2229,10607,8234,2736,11935,9015,Montgomery
162,249,6189,18162,11811,7187,21427,13991,Stokes
354,499,9782,36458,26322,12110,42021,29412,Wilson
278,355,5312,21165,15575,6348,24686,17983,Columbus
1254,1816,41593,124765,81918,47150,147168,98202,New hanover
241,382,13163,37357,23953,15728,42501,26391,Lincoln
251,346,6342,20521,13928,7249,23941,16346,Davie
83,122,1139,8254,7032,1352,9239,7765,Northampton
262,371,3883,23734,19589,4699,26820,21750,Halifax
663,891,11513,48187,36011,13880,56166,41395,Robeson
777,1103,4872,15923,10274,5962,19193,12128,Hoke
130,173,805,7985,7050,990,9115,7952,Yancey
431,641,9359,29785,19995,10677,34070,22752,Lee
3812,5669,38587,144640,102241,42370,169991,121952,Buncombe
,,136,2883,2747,165,3242,3077,Hyde
295,403,5320,21028,15413,6386,24683,17894,Edgecombe
224,291,2712,14332,11396,3115,18481,15075,Transylvania
272,376,11162,37222,25788,12879,41574,28319,Chatham
4501,6003,49054,191922,138367,54512,224430,163915,Durham
,,129,1701,1572,165,1965,1800,Tyrrell
690,915,13191,50989,37108,15307,57100,40878,Moore
565,744,17582,54751,36604,20301,62184,41139,Randolph
2887,3448,17275,55445,35283,19948,62662,39266,Rowan
99,124,2716,11723,8908,3145,14598,11329,Ashe
979,1434,11619,55995,43397,13752,67234,52048,Henderson
302,403,5900,22263,16061,6888,25293,18002,Vance
574,913,42768,114256,70914,47787,129447,80747,Union
38,56,1456,5184,3690,1717,6058,4285,Washington
949,1264,20562,69378,47867,23866,80280,55150,Davidson
4259,4605,8553,33793,20981,9860,37692,23227,Granville
66,123,3836,24488,20586,4480,32516,27913,Watauga
316,518,12162,43037,30559,14342,48855,33995,Cleveland
292,374,688,3523,2543,857,4111,2880,Graham
,12,429,4051,3622,507,4593,4074,Gates
391,599,10331,35549,24827,12027,40134,27508,Carteret
1043,1412,21695,86943,64205,24736,98351,72203,Alamance
4585,7596,212355,595756,378816,237588,695609,450425,Mecklenburg
1503,1837,20380,78601,56718,23051,89460,64572,Brunswick
390,477,5719,24564,18455,6625,27474,20372,Stanly
11,15,852,5382,4519,1058,6333,5260,Perquimans
136,221,1143,9840,8561,1270,12235,10744,Madison
14,29,4152,17815,13649,5051,21376,16296,Pasquotank
195,259,8641,28769,19933,9812,32879,22808,Wilkes
401,724,25246,75190,49543,29340,84392,54328,Catawba
184,322,8210,33153,24759,10305,38611,27984,Caldwell
80,101,2161,9241,7000,2574,11051,8376,Greene
338,490,11338,40655,28979,13319,45736,31927,Rockingham
,,,80009,80009,,101995,101995,Out o
317,470,2327,16978,14334,2866,21176,17840,Macon
5865,8544,230230,688118,452023,253839,791945,529562,Wake
117,146,2073,9817,7627,2352,10832,8334,Warren
2238,3494,88065,284739,194436,99385,323016,220137,Guilford
166,216,3372,14388,10850,4124,16485,12145,Bladen
74609,92515,43534,185973,67830,51410,220255,76330,Cumberland
,,1464,6758,5294,1644,8080,6436,Chowan
78,92,884,6483,5521,1147,7235,5996,Pamlico
169,239,3732,15170,11269,4635,17230,12356,Scotland
933,1379,30344,94781,63504,34977,110488,74132,Johnston
56,92,913,4711,3742,1003,5211,4116,Clay
133,183,1849,9823,7841,2249,11616,9184,Martin
420,578,2110,11853,9323,2682,13383,10123,Cherokee
844,1163,22441,95255,71970,23986,112071,86922,Orange
338,494,8837,37103,27928,10479,42132,31159,Burke
227,301,9732,33352,23393,11075,37165,25789,Surry
7870,10482,14919,55585,32796,17693,64943,36768,Wayne
65,99,1284,7985,6636,1500,9543,7944,Avery
1016,1482,24044,79581,54521,27807,95319,66030,Pitt
28,42,1525,9004,7451,1781,10375,8552,Bertie
23,50,2556,9891,7312,3041,11328,8237,Hertford
292,384,4416,19571,14863,5354,21984,16246,Person
71,109,1232,9726,8423,1607,10873,9157,Caswell
