County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13766,11413,1090,665,2249,10427,1852,8896
Anson,12503,11211,228,145,3111,9164,2730,8336
Swain,9682,7885,4191,2973,1346,4145,1143,3769
Pender,35115,30053,1530,996,10919,22666,9260,19797
Mitchell,7880,6539,124,75,1302,6454,962,5502
Richmond,23946,20675,525,345,5673,17748,4700,15630
Haywood,38303,32345,1613,1021,8725,27965,7498,23826
Gaston,122231,105518,2004,1212,43488,76739,38989,65317
Craven,68776,60954,9999,8066,16817,41960,14517,38371
Franklin,41001,36466,1416,858,14609,24976,13056,22552
Iredell,102396,90967,2148,1479,42916,57332,38720,50768
Yadkin,19816,17446,193,132,5652,13971,5141,12173
Beaufort,27759,24031,715,464,5793,21251,4960,18607
Harnett,64590,54501,7425,5183,21299,35866,18475,30843
Polk,9070,8150,213,121,1882,6975,1705,6324
Dare,28436,23931,384,173,6069,21983,5515,18243
Forsyth,258124,214936,4235,2473,77803,176086,71417,141046
Onslow,133428,111699,60775,49093,31789,40864,27318,35288
Jones,5799,5101,582,406,1300,3917,1067,3628
Nash,58078,50673,1016,681,20398,36664,18350,31642
Jackson,25768,20984,4303,3095,3840,17625,3315,14574
Duplin,30112,25907,2242,1633,8795,19075,7792,16482
Alleghany,7005,5517,69,38,1421,5515,1154,4325
Missing,293703,235839,39841,43787,95784,158078,90034,102018
Cabarrus,129488,115026,4182,2581,49577,75729,45709,66736
Camden,6839,5369,2054,1246,911,3874,785,3338
Alexander,18103,16116,475,283,3067,14561,2590,13243
Mcdowell,25407,21966,625,383,3486,21296,2809,18774
Sampson,35987,30242,675,471,9204,26108,7993,21778
Lenoir,33532,29308,494,308,10964,22074,9570,19430
Rutherford,30428,26738,758,471,6058,23612,5441,20826
Montgomery,12794,11293,297,200,3139,9358,2584,8509
Stokes,23170,19893,357,213,7972,14841,7060,12620
Columbus,25856,22222,479,358,7450,17927,6420,15444
Wilson,46799,41165,654,418,14421,31724,12207,28540
Lincoln,44988,39918,416,249,17655,26917,15254,24415
New hanover,158777,136496,3388,2146,52841,102548,47905,86445
Davie,26093,22612,526,329,8119,17448,7298,14985
Northampton,9367,8328,194,98,1565,7608,1339,6891
Halifax,29055,25699,591,386,5530,22934,4618,20695
Robeson,62532,54301,1543,1045,16356,44633,13965,39291
Hoke,27006,22000,6375,4492,7197,13434,6018,11490
Yancey,9764,8629,180,134,1115,8469,925,7570
Lee,37673,33129,723,466,12424,24526,11159,21504
Buncombe,185015,158343,7326,4388,45560,132129,42345,111610
Hyde,3492,3177,12,,179,3301,154,3023
Edgecombe,26965,22851,928,571,7671,18366,6520,15760
Transylvania,19965,15522,393,258,3507,16065,3000,12264
Chatham,48952,43209,4959,3230,14100,29893,12662,27317
Durham,249333,216789,8117,5481,61465,179751,57183,154125
Tyrrell,2080,1819,,,183,1897,143,1676
Moore,64053,56684,5003,3305,17358,41692,15328,38051
Randolph,67722,59794,958,658,23549,43215,20827,38309
Rowan,67567,59368,4239,3290,23062,40266,20444,35634
Ashe,16391,13107,236,141,3468,12687,2935,10031
Henderson,73279,61345,1762,1055,15124,56393,12951,47339
Vance,28691,25159,497,344,7874,20320,6821,17994
Union,138905,124849,1427,784,55284,82194,51399,72666
Washington,6577,5702,66,41,1858,4653,1613,4048
Davidson,89021,76938,2235,1392,27091,59695,23896,51650
Granville,40888,36381,5571,4800,10981,24336,9791,21790
Watauga,33219,25800,223,116,4820,28176,4142,21542
Cleveland,52712,46712,727,405,16035,35950,13896,32411
Graham,4303,3682,457,339,909,2937,746,2597
Gates,4993,4417,149,70,588,4256,498,3849
Carteret,48917,42763,7109,5059,13569,28239,11946,25758
Alamance,107899,96334,2068,1352,28805,77026,26029,68953
Mecklenburg,754684,658217,9815,5755,270519,474350,248883,403579
Brunswick,95194,83891,3030,2021,25972,66192,23259,58611
Stanly,29896,26846,759,592,7645,21492,6706,19548
Perquimans,6723,5741,20,12,1209,5494,991,4738
Madison,12891,10406,247,138,1406,11238,1266,9002
Pasquotank,23270,19847,52,21,5840,17378,4991,14835
Catawba,91793,82403,1195,598,33389,57209,29462,52343
Caldwell,41616,35851,347,189,11999,29270,9711,25951
Wilkes,34812,30609,387,256,11071,23354,9838,20515
Greene,15554,12930,3388,2569,3028,9138,2635,7726
Rockingham,49450,44076,633,387,15576,33241,13570,30119
Macon,22265,17809,538,327,3213,18514,2611,14871
Out o,133653,109186,,,885,132768,1056,108130
Wake,871317,772316,12078,7895,286699,572540,267357,497064
Warren,11681,10546,167,122,2657,8857,2393,8031
Guilford,354452,316360,5571,3398,117747,231134,108096,204866
Bladen,24282,20320,6682,4775,4739,12861,3976,11569
Cumberland,234225,194314,89761,67149,61764,82700,54037,73128
Chowan,8860,7449,246,94,1842,6772,1686,5669
Pamlico,7390,6611,238,176,1326,5826,1050,5385
Scotland,18854,16400,302,197,5413,13139,4350,11853
Johnston,123555,107135,3713,2226,40695,79147,36508,68401
Clay,5663,5095,252,138,1054,4357,959,3998
Martin,11869,10009,247,178,2714,8908,2249,7582
Cherokee,14150,12526,719,472,2917,10514,2318,9736
Orange,120725,106621,1464,929,26609,92652,25409,80283
Burke,44774,39262,801,492,11892,32081,10212,28558
Surry,38610,34748,404,265,12179,26027,10912,23571
Wayne,66411,58440,6429,5246,21183,38799,18390,34804
Avery,10252,8606,193,95,1666,8393,1434,7077
Pitt,104936,88853,2285,1459,32972,69679,29407,57987
Bertie,11017,9656,135,70,2149,8733,1846,7740
Hertford,12345,10909,97,42,3601,8647,3098,7769
Person,23801,21270,441,302,6285,17075,5266,15702
Caswell,11602,10400,234,139,1790,9578,1443,8818
