Second Dose Administered,First Dose Administered,County
40069,45202,Rockingham
183058,217160,Cumberland
9077,10877,Greene
3997,4557,Gates
14246,16169,Bladen
102109,114588,Cabarrus
8222,9197,Northampton
76309,85258,""
24135,27131,Stanly
93437,108238,Johnston
18285,21336,Richmond
588788,678774,Mecklenburg
24307,31876,Watauga
21957,24775,Vance
36901,41760,Burke
33147,36765,Surry
9631,10786,Caswell
15955,18214,Yadkin
24470,28078,Rutherford
54595,63810,Wayne
27229,31901,Pender
16724,20929,Macon
29501,33480,Lee
42142,47956,Cleveland
9832,11129,Anson
74337,82994,Catawba
47357,55314,Robeson
113054,126482,Union
5031,6402,Alleghany
50666,56403,Moore
32722,38037,Caldwell
96976,119073,Onslow
82104,92544,Iredell
7884,9445,Avery
20343,23660,Mcdowell
14103,18208,Transylvania
85983,96560,Alamance
6643,7990,Chowan
21030,24461,Columbus
2862,3207,Hyde
15020,17081,Scotland
11721,13230,Cherokee
17886,21097,Stokes
19334,21642,Person
683389,770970,Wake
123771,144698,New hanover
21592,25089,Duplin
23383,26425,Halifax
28547,32565,Wilkes
15601,18789,Hoke
9860,11680,Martin
20247,23547,Davie
78536,93634,Pitt
5085,6006,Washington
35650,41155,Wilson
281991,317074,Guilford
190337,218298,Durham
11570,14362,Ashe
36895,41849,Lincoln
8616,9430,Polk
14173,15861,Alexander
94145,109957,Gaston
9718,11213,Hertford
68482,78900,Davidson
46035,54014,Harnett
46265,53381,Nash
37304,41113,Chatham
8872,10301,Bertie
21742,25370,Beaufort
4645,5123,Clay
17415,21053,Pasquotank
32333,35996,Franklin
6428,7175,Pamlico
3492,4060,Graham
27184,32613,Sampson
77833,98524,Out o
1679,1949,Tyrrell
29917,35107,Haywood
5317,6261,Perquimans
20679,24384,Edgecombe
94840,108115,Orange
53156,60329,Craven
4617,5221,Camden
9794,12063,Madison
9974,11922,Currituck
5983,7168,Mitchell
19073,23251,Jackson
54381,61458,Randolph
55390,65698,Henderson
67220,69467,Missing
9716,10709,Warren
78042,88695,Brunswick
189679,228600,Forsyth
54970,62045,Rowan
10512,11812,Montgomery
4276,4777,Jones
143352,165001,Buncombe
35003,39639,Carteret
26022,30107,Lenoir
21967,26242,Dare
6833,8198,Swain
7920,8994,Yancey
33582,37346,Granville
