Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
25490,64861,28677,6209,4485,Robeson
3880,9269,4455,533,401,Perquimans
54085,151020,62009,19275,15651,Johnston
32204,86962,34882,11205,8671,Randolph
2367,5261,2683,117,94,Hyde
3484,9453,4277,929,763,Alleghany
12237,33065,13708,3996,3124,Duplin
2998,6996,3462,305,231,Gates
19580,52362,22714,5476,4592,Haywood
15309,38613,16758,3694,2852,Stanly
81926,268732,97858,49944,39004,Missing / Out of State
22228,58158,24757,6494,4679,Wilson
1250,2812,1400,87,75,Tyrrell
28274,74447,30738,8868,6567,Wayne
7166,17722,7877,1570,1109,Montgomery
15459,42333,17386,5263,4225,Lenoir
10019,24845,10749,2428,1649,Scotland
56382,144839,62382,14497,11578,Alamance
2634,6384,3082,386,282,Camden
5928,15347,7127,1304,988,Greene
30439,83762,33146,11275,8902,Rowan
6256,14376,6870,725,525,Northampton
16339,43774,18194,5236,4005,Wilkes
22089,62405,23884,9205,7227,Lincoln
21852,55565,24621,5331,3761,Caldwell
6542,15873,7027,1255,1049,Polk
20629,54976,22085,6736,5526,Surry
12113,30195,15126,1692,1264,Macon
2981,7682,3184,801,716,Clay
10296,26026,11414,2405,1911,Yadkin
28451,81884,32021,12243,9169,Onslow
12187,29754,13390,2468,1709,Richmond
90015,254213,103995,32069,28134,Buncombe
62647,182827,69954,27467,22759,Union
54658,163734,60875,26149,22052,Cabarrus
2998,8395,3450,1098,849,Washington
26544,72880,30374,9223,6739,Harnett
25269,62408,27151,5747,4241,Burke
18868,49962,20664,5801,4629,Granville
53728,152628,60329,21576,16995,Gaston
12600,33528,14882,3504,2542,Edgecombe
18184,48974,25105,3104,2581,Watauga
8053,22003,9280,2837,1833,Hoke
6236,15029,7263,878,652,Bertie
12864,31844,13860,2955,2165,Person
15388,37805,17597,2735,2085,Beaufort
45003,123020,48682,16454,12881,Catawba
12740,31150,15017,1919,1474,Jackson
407375,1195738,466637,170425,151301,Wake
25897,67065,28089,7469,5610,Cleveland
16274,42550,19029,4086,3161,Sampson
13378,33336,14945,2898,2115,Columbus
7255,16612,7852,920,585,Caswell
5959,13553,6622,576,396,Yancey
17916,47486,19540,5620,4410,Lee
6235,15937,7259,1378,1065,Hertford
25806,66336,28311,7024,5195,Rockingham
326789,980309,378912,150586,124022,Mecklenburg
23143,60895,25023,7051,5678,Carteret
3470,8497,3737,730,560,Swain
5851,14333,6908,880,694,Avery
13344,35484,14792,4160,3188,Vance
16102,38041,17749,2453,1737,Halifax
16155,39604,17998,3029,2422,Rutherford
26850,76027,31376,9880,7921,Nash
7757,21077,9770,1979,1571,Ashe
10487,30149,12161,4218,3283,Stokes
2161,5092,2366,333,232,Graham
16890,45247,19173,5149,4035,Pender
30905,78544,33052,8183,6404,Craven
179758,483784,198236,58349,47441,Guilford
7460,18070,9118,815,677,Madison
25091,68966,27293,9045,7537,Chatham
48920,134981,58871,14819,12371,Pitt
35241,90577,37799,9438,8099,Moore
113412,329407,137415,42748,35832,Forsyth
44169,131312,47397,21784,17962,Iredell
9916,27505,13339,2300,1950,Transylvania
6656,16452,7704,1213,879,Martin
6752,16598,7277,1415,1154,Warren
2874,6961,3098,573,416,Jones
12237,34606,14322,4391,3656,Davie
61066,171654,66402,25757,18429,Cumberland
14461,33513,16094,1745,1213,Mcdowell
7879,18969,8500,1479,1111,Cherokee
4415,11570,5413,918,824,Chowan
65989,177816,76943,18118,16766,Orange
10711,24799,11764,1336,988,Alexander
123533,332639,141896,36221,30989,Durham
36786,98251,43668,9722,8075,Henderson
11411,29471,13505,2615,1940,Pasquotank
5049,11473,5406,613,405,Pamlico
4318,10259,5011,596,334,Mitchell
7426,18174,8569,1261,918,Currituck
52910,139562,59150,14759,12743,Brunswick
40377,109802,45123,13540,10762,Davidson
18634,52642,20417,7467,6124,Franklin
16299,41605,19281,3282,2743,Dare
8786,21749,9696,1974,1293,Bladen
75439,218861,88081,29815,25526,New Hanover
6626,15856,7201,1161,868,Anson
