second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1705,10386,8653,2118,12315,10151,Currituck
99,129,2440,10531,7992,2809,11786,8848,Anson
354,518,8536,27931,19041,10223,32819,22078,Pender
2408,3618,1042,7273,3823,1247,9050,4185,Swain
75,114,878,6200,5247,1194,7539,6231,Mitchell
211,321,4184,19234,14839,5156,22410,16933,Richmond
917,1346,7121,30879,22841,8350,36737,27041,Haywood
850,1329,35650,99584,63084,40487,116437,74621,Gaston
7204,8379,13290,56774,36280,15627,63968,39962,Craven
397,525,11999,33734,21338,13594,37743,23624,Franklin
1175,1538,35314,86150,49661,39843,97856,56475,Iredell
119,170,4645,16563,11799,5195,18939,13574,Yadkin
298,401,4440,22619,17881,5282,26279,20596,Beaufort
926,1353,16437,48130,30767,19451,56557,35753,Harnett
108,145,1632,8442,6702,1805,9303,7353,Polk
17,23,5012,22813,17784,5667,27309,21619,Dare
1937,3206,65151,200467,133379,72050,242432,167176,Forsyth
47755,57487,24143,104652,32754,28883,125295,38925,Onslow
51,72,964,4463,3448,1190,4985,3723,Jones
563,774,16447,47900,30890,18594,55307,35939,Nash
2628,3828,3022,19918,14268,3543,24729,17358,Jackson
228,287,7037,22811,15546,8202,26768,18279,Duplin
26,34,1077,5213,4110,1341,6715,5340,Alleghany
35439,29824,85332,183578,62807,94758,213188,88606,Missing
1440,2131,41538,107553,64575,45869,121583,73583,Cabarrus
963,887,709,4869,3197,831,5443,3725,Camden
92,134,2332,14774,12350,2810,16633,13689,Alexander
351,508,2593,21101,18157,3275,24595,20812,Mcdowell
317,429,7230,28273,20726,8460,33989,25100,Sampson
286,420,8549,27353,18518,10031,31636,21185,Lenoir
426,647,5017,25496,20053,5659,29259,22953,Rutherford
144,186,2374,10871,8353,2907,12220,9127,Montgomery
162,249,6549,18790,12079,7544,22113,14320,Stokes
278,359,5684,21378,15416,6817,25121,17945,Columbus
355,501,10616,37921,26950,13002,43655,30152,Wilson
241,383,14040,38582,24301,16584,43830,26863,Lincoln
1257,1846,44376,129037,83404,49657,151408,99905,New hanover
251,355,6740,21240,14249,7681,24832,16796,Davie
83,123,1219,8252,6950,1452,9278,7703,Northampton
262,371,4154,24393,19977,5019,27604,22214,Halifax
666,899,12331,50134,37137,14792,58249,42558,Robeson
782,1156,5286,16649,10581,6488,20152,12508,Hoke
130,173,843,8228,7255,1029,9403,8201,Yancey
431,647,9962,30709,20316,11339,35081,23095,Lee
3823,5714,40419,151192,106950,43844,176398,126840,Buncombe
,,143,2989,2846,172,3361,3189,Hyde
295,404,5708,21331,15328,6842,25111,17865,Edgecombe
224,293,2819,14733,11690,3325,19270,15652,Transylvania
272,383,11883,38124,25969,13481,42209,28345,Chatham
4504,6169,52258,201157,144395,57004,232227,169054,Durham
,,131,1738,1607,171,2014,1843,Tyrrell
692,925,14090,51862,37080,16183,58041,40933,Moore
566,747,18739,56345,37040,21660,64055,41648,Randolph
2892,3524,18388,56803,35523,21129,64482,39829,Rowan
99,125,2826,12164,9239,3277,15088,11686,Ashe
980,1437,12150,58206,45076,14387,70244,54420,Henderson
302,404,6248,23194,16644,7275,26509,18830,Vance
574,915,46555,119842,72713,51061,134569,82593,Union
38,56,1506,5336,3792,1769,6224,4399,Washington
949,1278,21796,71999,49254,25161,83556,57117,Davidson
4368,4786,9042,34598,21188,10329,38724,23609,Granville
66,123,3927,25333,21340,4627,33105,28355,Watauga
316,519,12831,44539,31392,15041,50640,35080,Cleveland
305,401,708,3581,2568,875,4188,2912,Graham
,15,453,4130,3677,537,4686,4134,Gates
391,603,11045,36489,25053,12765,41203,27835,Carteret
1045,1432,23342,90378,65991,26388,101879,74059,Alamance
4665,7745,226674,623448,392109,250562,723536,465229,Mecklenburg
1505,1844,21449,80250,57296,24276,91324,65204,Brunswick
390,477,6090,25374,18894,7034,28401,20890,Stanly
11,17,905,5513,4597,1112,6478,5349,Perquimans
136,223,1189,10049,8724,1336,12585,11026,Madison
14,33,4484,18539,14041,5381,22156,16742,Pasquotank
195,259,9062,29340,20083,10307,33389,22823,Wilkes
401,734,26906,77906,50599,31049,87218,55435,Catawba
184,325,8809,34163,25170,11017,39773,28431,Caldwell
80,101,2322,9534,7132,2748,11428,8579,Greene
338,491,12144,41788,29306,14275,47211,32445,Rockingham
,,,87383,87383,,111271,111271,Out o
319,479,2430,17258,14509,3038,21795,18278,Macon
5870,8709,246685,725257,472702,268120,824706,547877,Wake
117,148,2181,10010,7712,2479,11118,8491,Warren
2242,3525,95776,295960,197942,106854,334708,224329,Guilford
166,218,3590,14800,11044,4383,16948,12347,Bladen
75650,93927,47188,191743,68905,55453,227746,78366,Cumberland
,,1545,6943,5398,1706,8270,6564,Chowan
78,93,958,6671,5635,1228,7425,6104,Pamlico
169,240,3924,15488,11395,4918,17688,12530,Scotland
933,1394,32657,98930,65340,37151,114589,76044,Johnston
56,93,923,4825,3846,1017,5351,4241,Clay
424,611,2177,12075,9474,2774,13680,10295,Cherokee
133,184,1966,9795,7696,2420,11671,9067,Martin
844,1205,23498,100815,76473,24874,115215,89136,Orange
340,499,9362,37797,28095,11033,42977,31445,Burke
227,301,10162,33761,23372,11573,37617,25743,Surry
8124,10781,16243,57696,33329,19174,67294,37339,Wayne
65,100,1334,8080,6681,1560,9690,8030,Avery
1018,1515,25988,82535,55529,30033,98608,67060,Pitt
28,42,1644,9206,7534,1915,10614,8657,Bertie
23,50,2750,10205,7432,3251,11678,8377,Hertford
292,390,4704,20151,15155,5737,22691,16564,Person
71,109,1310,9927,8546,1686,11111,9316,Caswell
