Second Dose Administered,First Dose Administered,County
37624,43497,Rockingham
173283,208134,Cumberland
8456,10481,Greene
3801,4435,Gates
13407,15672,Bladen
95971,109090,Cabarrus
7928,8929,Northampton
68374,79661,""
22350,25699,Stanly
87774,103484,Johnston
17090,20450,Richmond
570932,662336,Mecklenburg
23524,31254,Watauga
20664,23563,Vance
34886,40507,Burke
30903,34710,Surry
9166,10453,Caswell
14953,17544,Yadkin
22475,26692,Rutherford
50543,61364,Wayne
25556,30435,Pender
15890,20680,Macon
28582,32793,Lee
38937,45494,Cleveland
9080,10446,Anson
70258,80401,Catawba
43112,52618,Robeson
107314,121373,Union
4794,6175,Alleghany
48746,54236,Moore
30908,36757,Caldwell
84663,112236,Onslow
76773,87846,Iredell
7500,9147,Avery
18658,22526,Mcdowell
13541,17675,Transylvania
81252,92239,Alamance
6289,7790,Chowan
19635,23570,Columbus
2777,3176,Hyde
14235,16752,Scotland
10473,12428,Cherokee
16690,20213,Stokes
18094,20585,Person
661890,749282,Wake
123718,145378,New hanover
20093,24097,Duplin
21972,25193,Halifax
26120,31396,Wilkes
24687,28747,Hoke
9231,11246,Martin
19174,22617,Davie
79203,95008,Pitt
4707,5759,Washington
33235,39117,Wilson
277117,313909,Guilford
184785,212265,Durham
10929,13902,Ashe
34934,40109,Lincoln
8322,9164,Polk
13374,15340,Alexander
88033,103921,Gaston
9064,10765,Hertford
63595,74844,Davidson
42601,51211,Harnett
43587,50931,Nash
36921,41020,Chatham
8351,9956,Bertie
20456,24347,Beaufort
4227,4929,Clay
16250,19991,Pasquotank
30510,34595,Franklin
6152,6897,Pamlico
2992,3647,Graham
25155,31313,Sampson
71888,89415,Out o
1595,1909,Tyrrell
27958,32839,Haywood
5036,6027,Perquimans
19104,22917,Edgecombe
108377,122479,Orange
48614,56527,Craven
4264,4967,Camden
9253,11625,Madison
9493,11307,Currituck
5559,6910,Mitchell
21226,26680,Jackson
50761,58857,Randolph
52233,62442,Henderson
23623,33740,Missing
9166,10245,Warren
74594,85527,Brunswick
180618,220307,Forsyth
63509,72020,Rowan
9907,11361,Montgomery
3987,4541,Jones
147917,170598,Buncombe
33430,38611,Carteret
24270,28846,Lenoir
21289,25834,Dare
4911,5701,Swain
7425,8629,Yancey
32017,35978,Granville
