second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1694,10358,8636,2090,12287,10151,Currituck
99,129,2411,10473,7963,2789,11734,8816,Anson
2390,3600,1033,7239,3816,1239,9016,4177,Swain
354,518,8454,27832,19024,10132,32713,22063,Pender
75,114,868,6176,5233,1181,7516,6221,Mitchell
211,320,4145,19140,14784,5120,22296,16856,Richmond
917,1343,7092,30776,22767,8312,36638,26983,Haywood
850,1326,35342,99146,62954,40178,115957,74453,Gaston
7177,8330,13172,56503,36154,15486,63668,39852,Craven
397,524,11900,33593,21296,13469,37553,23560,Franklin
1173,1537,35015,85732,49544,39430,97333,56366,Iredell
119,169,4588,16484,11777,5147,18859,13543,Yadkin
298,400,4403,22525,17824,5221,26202,20581,Beaufort
925,1348,16252,47899,30722,19225,56284,35711,Harnett
108,145,1630,8445,6707,1791,9301,7365,Polk
17,23,4968,22710,17725,5612,27194,21559,Dare
1937,3172,64648,199351,132766,71411,241137,166554,Forsyth
47630,57335,23875,104118,32613,28529,124659,38795,Onslow
51,71,959,4441,3431,1178,4963,3714,Jones
563,773,16274,47750,30913,18387,55096,35936,Nash
2605,3815,2991,19843,14247,3513,24673,17345,Jackson
228,284,6968,22723,15527,8115,26653,18254,Duplin
26,34,1077,5194,4091,1334,6691,5323,Alleghany
35388,29499,84444,179443,59611,93591,207318,84228,Missing
1439,2121,41170,106946,64337,45437,120907,73349,Cabarrus
962,886,697,4856,3197,825,5431,3720,Camden
92,133,2307,14717,12318,2774,16555,13648,Alexander
351,507,2574,21067,18142,3245,24528,20776,Mcdowell
317,427,7158,28141,20666,8371,33824,25026,Sampson
285,420,8461,27208,18462,9919,31480,21141,Lenoir
426,645,4969,25374,19979,5607,29151,22899,Rutherford
144,184,2355,10836,8337,2876,12179,9119,Montgomery
162,249,6491,18678,12025,7484,21997,14264,Stokes
278,356,5623,21344,15443,6755,25092,17981,Columbus
355,501,10461,37684,26868,12866,43442,30075,Wilson
1255,1840,44066,128579,83258,49313,150899,99746,New hanover
241,382,13917,38414,24256,16444,43653,26827,Lincoln
251,352,6677,21130,14202,7608,24701,16741,Davie
83,123,1209,8251,6959,1436,9268,7709,Northampton
262,371,4118,24302,19922,4974,27512,22167,Halifax
664,898,12168,49828,36996,14615,57886,42373,Robeson
780,1155,5221,16545,10544,6380,19985,12450,Hoke
130,173,837,8181,7214,1019,9347,8155,Yancey
431,644,9878,30635,20326,11207,34933,23082,Lee
3823,5711,40218,150610,106569,43659,175815,126445,Buncombe
,,143,2977,2834,168,3351,3183,Hyde
295,404,5648,21300,15357,6762,25059,17893,Edgecombe
224,292,2794,14664,11646,3299,19192,15601,Transylvania
272,383,11817,38095,26006,13396,42158,28379,Chatham
4503,6143,51941,200360,143916,56605,231400,168652,Durham
,,130,1731,1601,171,2008,1837,Tyrrell
692,924,13973,51737,37072,16051,57910,40935,Moore
565,746,18576,56123,36982,21409,63733,41578,Randolph
2891,3514,18210,56617,35516,20905,64131,39712,Rowan
99,124,2805,12081,9177,3260,15042,11658,Ashe
979,1436,12083,57910,44848,14299,69924,54189,Henderson
302,404,6190,23054,16562,7217,26354,18733,Vance
574,915,46100,118940,72266,50588,133757,82254,Union
38,56,1501,5300,3761,1764,6194,4374,Washington
949,1273,21600,71633,49084,24934,83029,56822,Davidson
4368,4785,8978,34473,21127,10252,38557,23520,Granville
66,123,3916,25263,21281,4606,33031,28302,Watauga
316,519,12703,44297,31278,14935,50427,34973,Cleveland
305,389,706,3575,2564,872,4176,2915,Graham
,13,450,4123,3673,529,4669,4127,Gates
391,603,10937,36305,24977,12641,41038,27794,Carteret
1043,1428,23110,89937,65784,26083,101355,73844,Alamance
4660,7729,224899,619439,389880,248553,718814,462532,Mecklenburg
1505,1844,21280,80001,57216,24098,91061,65119,Brunswick
390,477,6034,25236,18812,6965,28206,20764,Stanly
11,16,894,5490,4585,1108,6468,5344,Perquimans
136,222,1182,10023,8705,1326,12555,11007,Madison
14,30,4429,18459,14016,5318,22074,16726,Pasquotank
401,733,26634,77448,50413,30806,86803,55264,Catawba
195,259,8988,29232,20049,10242,33329,22828,Wilkes
184,324,8708,34003,25111,10906,39625,28395,Caldwell
80,101,2303,9499,7116,2717,11367,8549,Greene
338,491,12009,41593,29246,14067,46924,32366,Rockingham
,,,86197,86197,,109779,109779,Out o
319,479,2413,17212,14480,3019,21743,18245,Macon
5869,8674,244931,721757,470957,266125,820993,546194,Wake
117,146,2161,10003,7725,2460,11099,8493,Warren
2239,3513,94809,294698,197650,105652,333115,223950,Guilford
166,218,3558,14737,11013,4333,16864,12313,Bladen
75560,93727,46628,190953,68765,54750,226709,78232,Cumberland
