second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1715,10421,8678,2134,12386,10206,Currituck
99,129,2457,10559,8003,2840,11859,8890,Anson
2431,3640,1049,7312,3832,1253,9081,4188,Swain
355,518,8594,28009,19060,10283,32934,22133,Pender
75,114,885,6224,5264,1196,7546,6236,Mitchell
212,323,4210,19297,14875,5193,22493,16977,Richmond
917,1349,7140,30953,22896,8387,36789,27053,Haywood
850,1331,35851,99924,63223,40761,116818,74726,Gaston
7232,8413,13370,56964,36362,15717,64217,40087,Craven
397,526,12070,33846,21379,13694,37906,23686,Franklin
1175,1540,35587,86526,49764,40141,98217,56536,Iredell
119,170,4678,16618,11821,5247,18997,13580,Yadkin
299,402,4464,22672,17909,5315,26330,20613,Beaufort
928,1371,16550,48042,30564,19635,56526,35520,Harnett
108,146,1635,8433,6690,1811,9273,7316,Polk
17,23,5060,22872,17795,5708,27363,21632,Dare
1944,3220,65538,201042,133560,72617,243145,167308,Forsyth
47828,57572,24362,105011,32821,29136,125722,39014,Onslow
51,72,969,4474,3454,1199,4999,3728,Jones
563,775,16573,48050,30914,18764,55545,36006,Nash
2643,3841,3035,19992,14314,3561,24780,17378,Jackson
228,287,7094,23000,15678,8250,26924,18387,Duplin
26,34,1082,5230,4122,1345,6728,5349,Alleghany
35441,29831,86070,186480,64969,95458,216761,91472,Missing
1441,2140,41830,107968,64697,46215,122027,73672,Cabarrus
92,134,2338,14807,12377,2823,16673,13716,Alexander
963,887,714,4882,3205,842,5467,3738,Camden
351,511,2611,21171,18209,3295,24618,20812,Mcdowell
318,430,7281,28351,20752,8542,34104,25132,Sampson
288,425,8616,27466,18562,10111,31755,21219,Lenoir
426,648,5037,25587,20124,5691,29337,22998,Rutherford
144,186,2388,10889,8357,2922,12234,9126,Montgomery
162,251,6593,18843,12088,7596,22170,14323,Stokes
278,360,5736,21436,15422,6882,25189,17947,Columbus
355,505,10708,38095,27032,13116,43884,30263,Wilson
1257,1848,44674,129511,83580,49953,151915,100114,New hanover
241,385,14123,38700,24336,16664,43940,26891,Lincoln
252,355,6787,21332,14293,7722,24921,16844,Davie
83,123,1229,8256,6944,1466,9280,7691,Northampton
262,372,4184,24460,20014,5090,27738,22276,Halifax
671,906,12421,50348,37256,14921,58500,42673,Robeson
783,1171,5334,16721,10604,6566,20284,12547,Hoke
130,174,851,8261,7280,1033,9431,8224,Yancey
432,650,10029,30771,20310,11429,35190,23111,Lee
3831,5729,40560,151698,107307,44006,176630,126895,Buncombe
,,144,3002,2858,172,3370,3198,Hyde
295,405,5752,21375,15328,6914,25181,17862,Edgecombe
224,293,2830,14778,11724,3338,19289,15658,Transylvania
272,383,11924,38106,25910,13537,42218,28298,Chatham
4508,6201,52463,201668,144697,57338,232922,169383,Durham
,,131,1742,1611,171,2022,1851,Tyrrell
693,927,14156,51913,37064,16307,58167,40933,Moore
567,750,18870,56498,37061,21866,64318,41702,Randolph
2893,3534,18512,56943,35538,21308,64704,39862,Rowan
99,126,2839,12211,9273,3290,15114,11698,Ashe
981,1441,12204,58436,45251,14466,70360,54453,Henderson
302,405,6296,23318,16720,7330,26662,18927,Vance
574,917,46950,120331,72807,51481,135131,82733,Union
38,56,1509,5345,3798,1775,6241,4410,Washington
953,1282,21931,72256,49372,25363,83963,57318,Davidson
4371,4792,9092,34660,21197,10407,38838,23639,Granville
66,124,3939,25391,21386,4640,33159,28395,Watauga
317,520,12906,44688,31465,15136,50761,35105,Cleveland
,15,453,4131,3678,545,4699,4139,Gates
305,402,711,3590,2574,877,4194,2915,Graham
391,603,11093,36578,25094,12862,41332,27867,Carteret
1045,1442,23497,90645,66103,26628,102259,74189,Alamance
4678,7774,228003,625760,393079,252151,726258,466333,Mecklenburg
1505,1844,21583,80435,57347,24441,91549,65264,Brunswick
390,479,6122,25451,18939,7081,28482,20922,Stanly
11,17,910,5519,4598,1117,6488,5354,Perquimans
136,224,1196,10068,8736,1333,12567,11010,Madison
15,36,4500,18586,14071,5420,22221,16765,Pasquotank
401,737,27106,78189,50682,31313,87579,55529,Catawba
195,259,9114,29395,20086,10378,33446,22809,Wilkes
184,325,8860,34267,25223,11115,39917,28477,Caldwell
82,101,2333,9556,7141,2777,11484,8606,Greene
338,493,12236,41930,29356,14418,47406,32495,Rockingham
319,482,2448,17319,14552,3055,21800,18263,Macon
,,,88003,88003,,111985,111985,Out o
5875,8751,247898,727755,473982,269646,827431,549034,Wake
117,149,2191,10031,7723,2494,11168,8525,Warren
2249,3539,96577,296989,198163,107830,335950,224581,Guilford
166,220,3612,14859,11081,4415,17012,12377,Bladen
75781,94089,47560,192371,69030,56035,228615,78491,Cumberland
,,1551,6955,5404,1722,8294,6572,Chowan
78,93,960,6687,5649,1236,7442,6113,Pamlico
169,240,3947,15526,11410,4989,17788,12559,Scotland
937,1397,32885,99380,65558,37500,115165,76268,Johnston
56,93,925,4845,3864,1018,5355,4244,Clay
133,184,1977,9788,7678,2449,11682,9049,Martin
424,612,2186,12104,9494,2788,13706,10306,Cherokee
844,1208,23589,101029,76596,24994,115414,89212,Orange
340,499,9413,37865,28112,11133,43062,31430,Burke
227,307,10216,33801,23358,11629,37670,25734,Surry
8143,10801,16370,57915,33402,19333,67570,37436,Wayne
65,100,1340,8102,6697,1566,9706,8040,Avery
1019,1532,26205,82818,55594,30305,98969,67132,Pitt
28,42,1660,9233,7545,1948,10662,8672,Bertie
23,50,2775,10245,7447,3288,11724,8386,Hertford
292,390,4737,20233,15204,5801,22787,16596,Person
71,109,1324,9953,8558,1695,11137,9333,Caswell
