Second Dose Administered,First Dose Administered,County
39222,44708,Rockingham
176761,213022,Cumberland
8886,10764,Greene
3955,4508,Gates
14014,16031,Bladen
99949,112606,Cabarrus
8157,9149,Northampton
73041,82478,""
23584,26764,Stanly
91419,106533,Johnston
17917,21063,Richmond
577751,667969,Mecklenburg
23909,31531,Watauga
21539,24444,Vance
36231,41427,Burke
32279,36043,Surry
9481,10694,Caswell
15656,18048,Yadkin
23923,27839,Rutherford
52641,62869,Wayne
26743,31418,Pender
16454,20768,Macon
28954,33061,Lee
40869,47244,Cleveland
9549,10887,Anson
72772,81563,Catawba
45926,54477,Robeson
110879,124415,Union
4958,6282,Alleghany
50173,55877,Moore
32105,37601,Caldwell
87883,114342,Onslow
80356,90895,Iredell
7767,9382,Avery
19926,23430,Mcdowell
13977,18094,Transylvania
84436,95283,Alamance
6526,7907,Chowan
20718,24266,Columbus
2844,3191,Hyde
14726,16912,Scotland
11446,13127,Cherokee
17481,20800,Stokes
18884,21377,Person
675240,762167,Wake
122205,143038,New hanover
21185,24816,Duplin
22980,26028,Halifax
27913,32347,Wilkes
15223,18487,Hoke
9689,11574,Martin
19915,23297,Davie
77345,92418,Pitt
4957,5936,Washington
34773,40552,Wilson
278038,313820,Guilford
188291,216266,Durham
11386,14182,Ashe
36080,41086,Lincoln
8576,9411,Polk
13776,15582,Alexander
91799,107815,Gaston
9472,11066,Hertford
66965,77862,Davidson
44996,53379,Harnett
45492,52745,Nash
37232,41205,Chatham
8673,10177,Bertie
21355,25098,Beaufort
4532,5091,Clay
16879,20518,Pasquotank
31819,35600,Franklin
6350,7101,Pamlico
3403,4033,Graham
26612,32323,Sampson
75531,95478,Out o
1635,1930,Tyrrell
29398,34409,Haywood
5206,6184,Perquimans
20192,24018,Edgecombe
93627,106997,Orange
50611,58543,Craven
4377,5075,Camden
9646,11936,Madison
9811,11643,Currituck
5884,7117,Mitchell
18797,23030,Jackson
53350,60764,Randolph
54352,64551,Henderson
61752,62261,Missing
9540,10593,Warren
77204,88095,Brunswick
186584,226208,Forsyth
53873,61352,Rowan
10326,11698,Montgomery
4187,4688,Jones
141784,163445,Buncombe
34527,39166,Carteret
25466,29734,Lenoir
21735,26136,Dare
6715,8071,Swain
7777,8922,Yancey
33229,37002,Granville
