second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1597,10042,8417,1974,11999,9980,Currituck
99,128,2196,9953,7658,2625,11229,8476,Anson
2138,3115,986,6883,3759,1200,8379,4064,Swain
354,510,7898,27230,18978,9441,31897,21946,Pender
75,113,836,6008,5097,1109,7209,5987,Mitchell
211,318,3900,18448,14337,4789,21414,16307,Richmond
910,1301,6877,30069,22282,8027,35350,26022,Haywood
850,1307,33109,95259,61300,37797,110912,71808,Gaston
6711,8059,12156,53865,34998,14436,60781,38286,Craven
396,524,11236,32525,20893,12718,36160,22918,Franklin
1171,1512,32834,82633,48628,36726,93010,54772,Iredell
119,168,4312,16067,11636,4835,18309,13306,Yadkin
298,397,4103,21873,17472,4913,25489,20179,Beaufort
916,1300,14865,46404,30623,17721,54400,35379,Harnett
108,144,1553,8539,6878,1718,9348,7486,Polk
17,23,4606,22063,17440,5189,26307,21095,Dare
1932,3042,60839,191006,128235,67022,229920,159856,Forsyth
45576,56328,21639,99095,31880,26063,120080,37689,Onslow
51,71,887,4309,3371,1099,4795,3625,Jones
563,771,15184,46614,30867,17131,53585,35683,Nash
2342,3304,2841,19173,13990,3317,23479,16858,Jackson
228,284,6529,21815,15058,7561,25325,17480,Duplin
26,34,1031,5040,3983,1260,6414,5120,Alleghany
34225,24754,77719,150299,38355,86315,164154,53085,Missing
1439,2062,38260,102768,63069,42033,115145,71050,Cabarrus
92,132,2147,14344,12105,2604,16046,13310,Alexander
935,870,613,4660,3112,763,5255,3622,Camden
345,485,2396,20522,17781,3054,23867,20328,Mcdowell
317,420,6753,27421,20351,7853,32756,24483,Sampson
285,420,7902,26297,18110,9243,30304,20641,Lenoir
425,640,4669,24686,19592,5306,28183,22237,Rutherford
144,184,2204,10566,8218,2698,11865,8983,Montgomery
162,249,6130,18051,11759,7113,21241,13879,Stokes
278,355,5245,21106,15583,6252,24595,17988,Columbus
354,497,9617,36145,26174,11888,41544,29159,Wilson
1254,1816,41291,124297,81752,46049,145310,97445,New hanover
241,382,13034,37175,23900,15447,42081,26252,Lincoln
251,344,6275,20406,13880,7132,23677,16201,Davie
83,122,1120,8224,7021,1337,9203,7744,Northampton
262,371,3814,23563,19487,4634,26614,21609,Halifax
663,889,11371,47855,35821,13711,55733,41133,Robeson
775,1100,4781,15782,10226,5850,18949,11999,Hoke
130,168,799,7960,7031,983,9039,7888,Yancey
431,640,9247,29670,19992,10532,33631,22459,Lee
3808,5401,38437,144096,101851,41664,166518,119453,Buncombe
,,136,2876,2740,163,3215,3052,Hyde
295,403,5217,20863,15351,6256,24508,17849,Edgecombe
224,290,2705,14205,11276,3060,18298,14948,Transylvania
272,376,11096,37300,25932,12595,41202,28231,Chatham
4500,5957,48679,191184,138005,53285,220197,160955,Durham
,,124,1691,1567,163,1955,1792,Tyrrell
689,912,13061,50833,37083,14972,56576,40692,Moore
565,744,17404,54575,36606,19997,61660,40919,Randolph
2884,3423,17088,55265,35293,19648,62209,39138,Rowan
99,124,2683,11642,8860,3089,14425,11212,Ashe
979,1411,11543,55695,43173,13533,66219,51275,Henderson
301,402,5852,22151,15998,6810,24965,17753,Vance
574,910,42419,113810,70817,46456,127226,79860,Union
38,56,1439,5136,3659,1703,6019,4260,Washington
948,1262,20347,68984,47689,23526,79360,54572,Davidson
4251,4574,8486,33789,21052,9713,37481,23194,Granville
66,123,3817,24369,20486,4448,31935,27364,Watauga
316,517,11981,42682,30385,14199,48375,33659,Cleveland
,12,422,4028,3606,503,4577,4062,Gates
291,368,684,3511,2536,850,4072,2854,Graham
391,596,10150,35300,24759,11844,39819,27379,Carteret
1041,1408,21505,86575,64029,24287,97113,71418,Alamance
4430,7463,210769,592801,377602,232946,683265,442856,Mecklenburg
1502,1836,20193,78345,56650,22713,88947,64398,Brunswick
390,477,5653,24385,18342,6567,27250,20206,Stanly
11,15,833,5346,4502,1047,6287,5225,Perquimans
136,212,1143,9797,8518,1265,12108,10631,Madison
14,29,4034,17623,13575,4992,21201,16180,Pasquotank
401,723,25004,74833,49428,28884,83556,53949,Catawba
195,259,8553,28659,19911,9733,32624,22632,Wilkes
184,321,8105,32970,24681,10142,38303,27840,Caldwell
80,101,2138,9177,6959,2542,10931,8288,Greene
338,490,11196,40432,28898,13128,45459,31841,Rockingham
315,466,2329,16875,14231,2843,21026,17717,Macon
,,,79155,79155,,100388,100388,Out o
5862,8511,228851,685940,451227,247591,776003,519901,Wake
117,146,2053,9788,7618,2327,10761,8288,Warren
2237,3491,87182,283568,194149,97079,318847,218277,Guilford
