Second Dose Administered,First Dose Administered,County
39535,44878,Rockingham
179989,214976,Cumberland
8943,10806,Greene
3968,4516,Gates
14138,16144,Bladen
102189,115780,Cabarrus
8202,9167,Northampton
74628,84195,""
23779,26888,Stanly
92409,107656,Johnston
18046,21194,Richmond
582725,674147,Mecklenburg
23994,31596,Watauga
21706,24540,Vance
36548,41632,Burke
32467,36162,Surry
9522,10716,Caswell
15775,18101,Yadkin
24150,27921,Rutherford
53832,63398,Wayne
27036,31734,Pender
16533,20846,Macon
29170,33158,Lee
41381,47492,Cleveland
9636,10951,Anson
73634,82610,Catawba
46389,54754,Robeson
111760,125343,Union
4982,6336,Alleghany
50410,56122,Moore
32338,37718,Caldwell
94348,117517,Onslow
81168,91901,Iredell
7859,9464,Avery
20077,23507,Mcdowell
14014,18129,Transylvania
84867,95637,Alamance
6572,7942,Chowan
20860,24359,Columbus
2852,3197,Hyde
14842,16965,Scotland
11585,13163,Cherokee
17644,20908,Stokes
18975,21458,Person
677913,765189,Wake
122961,144113,New hanover
21357,24962,Duplin
23110,26146,Halifax
28217,32451,Wilkes
15364,18617,Hoke
9722,11602,Martin
20034,23433,Davie
77827,92965,Pitt
4995,5964,Washington
35162,40750,Wilson
279537,315029,Guilford
189136,217383,Durham
11595,14404,Ashe
36312,41205,Lincoln
8604,9434,Polk
14167,16173,Alexander
92848,108955,Gaston
9575,11122,Hertford
67799,78837,Davidson
45387,53649,Harnett
45854,52997,Nash
37820,41989,Chatham
8725,10210,Bertie
21516,25269,Beaufort
4586,5105,Clay
17068,20725,Pasquotank
32130,36034,Franklin
6384,7135,Pamlico
3454,4049,Graham
26879,32434,Sampson
76286,96704,Out o
1655,1938,Tyrrell
29675,34809,Haywood
5230,6200,Perquimans
20413,24180,Edgecombe
93841,107255,Orange
52194,59682,Craven
4537,5150,Camden
9711,11970,Madison
9847,11704,Currituck
5926,7142,Mitchell
18911,23110,Jackson
53724,60975,Randolph
54814,65083,Henderson
63435,64578,Missing
9592,10625,Warren
77584,88395,Brunswick
187673,227108,Forsyth
54335,61654,Rowan
10401,11744,Montgomery
4228,4733,Jones
142667,164670,Buncombe
34744,39418,Carteret
25700,29871,Lenoir
21800,26164,Dare
6767,8132,Swain
7834,8945,Yancey
33357,37127,Granville
