Second Dose Administered,First Dose Administered,County
36429,42658,Rockingham
167595,201794,Cumberland
8141,10263,Greene
3720,4400,Gates
12870,15396,Bladen
93462,106932,Cabarrus
7739,8790,Northampton
65267,77483,""
21741,25188,Stanly
85130,101393,Johnston
16413,20076,Richmond
558734,651055,Mecklenburg
23126,30913,Watauga
20058,23130,Vance
33838,39637,Burke
30166,34184,Surry
8968,10298,Caswell
14460,17123,Yadkin
21595,26081,Rutherford
48594,59470,Wayne
24839,29963,Pender
15445,20379,Macon
27763,32218,Lee
37364,44249,Cleveland
8843,10182,Anson
68389,78701,Catawba
40207,50824,Robeson
104725,119286,Union
4646,6110,Alleghany
47847,53530,Moore
29976,36094,Caldwell
80184,106703,Onslow
74611,85089,Iredell
7340,8974,Avery
17824,21896,Mcdowell
13318,17537,Transylvania
79322,90898,Alamance
6109,7591,Chowan
18863,23122,Columbus
2743,3144,Hyde
13762,16424,Scotland
10092,12101,Cherokee
16261,19825,Stokes
17577,20208,Person
651625,741678,Wake
121211,143621,New hanover
19223,23623,Duplin
21372,24625,Halifax
24881,30568,Wilkes
23835,28232,Hoke
8911,11002,Martin
18653,22253,Davie
77299,93534,Pitt
4535,5621,Washington
32297,38224,Wilson
271835,309424,Guilford
181779,209993,Durham
10620,13705,Ashe
34059,39365,Lincoln
8201,9080,Polk
13061,15094,Alexander
85358,101869,Gaston
8762,10541,Hertford
61467,73076,Davidson
41212,50231,Harnett
42514,50024,Nash
36404,40780,Chatham
8094,9718,Bertie
19925,23910,Beaufort
4084,4781,Clay
15769,19501,Pasquotank
29644,34041,Franklin
6046,6835,Pamlico
2875,3560,Graham
24111,30564,Sampson
70281,87259,Out o
1526,1855,Tyrrell
27400,32416,Haywood
4891,5914,Perquimans
18634,22528,Edgecombe
107285,121604,Orange
47274,54979,Craven
4103,4727,Camden
9072,11421,Madison
9292,11179,Currituck
5322,6738,Mitchell
20750,26344,Jackson
49046,57648,Randolph
51041,61661,Henderson
21171,30978,Missing
8974,10074,Warren
73207,84675,Brunswick
176411,216741,Forsyth
61818,70613,Rowan
9596,11152,Montgomery
3907,4447,Jones
145355,168461,Buncombe
32718,38032,Carteret
23340,28177,Lenoir
21012,25549,Dare
4796,5625,Swain
7206,8488,Yancey
31160,35475,Granville
