Second Dose Administered,First Dose Administered,County
38772,44438,Rockingham
175674,212372,Cumberland
8772,10692,Greene
3883,4474,Gates
13846,15984,Bladen
98995,111983,Cabarrus
8115,9114,Northampton
71595,81664,""
23266,26514,Stanly
90332,105867,Johnston
17674,20961,Richmond
572957,664204,Mecklenburg
23785,31490,Watauga
21311,24245,Vance
35885,41344,Burke
31844,35661,Surry
9386,10633,Caswell
15494,17962,Yadkin
23511,27622,Rutherford
51938,62558,Wayne
26443,31272,Pender
16301,20710,Macon
28680,32830,Lee
40238,46804,Cleveland
9392,10763,Anson
71908,81174,Catawba
45115,54005,Robeson
109810,123631,Union
4924,6256,Alleghany
49834,55535,Moore
31725,37403,Caldwell
87068,113785,Onslow
79552,90385,Iredell
7694,9338,Avery
19630,23286,Mcdowell
13906,18045,Transylvania
83673,94686,Alamance
6420,7858,Chowan
20398,24142,Columbus
2812,3187,Hyde
14551,16790,Scotland
11197,13046,Cherokee
17271,20686,Stokes
18693,21250,Person
671412,758810,Wake
121365,142533,New hanover
20837,24628,Duplin
22746,25835,Halifax
27375,32119,Wilkes
15032,18368,Hoke
9563,11520,Martin
19717,23163,Davie
76493,91872,Pitt
4871,5899,Washington
34304,40113,Wilson
276042,312300,Guilford
187215,215107,Durham
11251,14123,Ashe
35713,40870,Lincoln
8521,9390,Polk
13654,15571,Alexander
90695,106937,Gaston
9355,10971,Hertford
66079,77276,Davidson
44382,53029,Harnett
44864,52304,Nash
37199,41201,Chatham
8549,10101,Bertie
21103,24967,Beaufort
4421,5067,Clay
16628,20295,Pasquotank
31460,35409,Franklin
6308,7054,Pamlico
3324,3996,Graham
26201,32095,Sampson
74193,93222,Out o
1624,1925,Tyrrell
29191,34292,Haywood
5154,6146,Perquimans
19808,23750,Edgecombe
93369,106511,Orange
50097,58106,Craven
4342,5048,Camden
9569,11905,Madison
9725,11514,Currituck
5804,7086,Mitchell
18564,22810,Jackson
52631,60357,Randolph
54005,64299,Henderson
59063,58933,Missing
9430,10518,Warren
76705,87767,Brunswick
185101,225020,Forsyth
53229,60873,Rowan
10223,11642,Montgomery
4127,4659,Jones
140974,162876,Buncombe
34180,38879,Carteret
25079,29570,Lenoir
21597,26059,Dare
6568,7891,Swain
7700,8875,Yancey
32920,36774,Granville
