Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
23551,58355,26864,4791,3149,Robeson
3699,8703,4277,409,318,Perquimans
49100,133693,58689,14952,10952,Johnston
30130,78515,33220,8847,6318,Randolph
2194,4865,2480,108,83,Hyde
3353,8730,3951,810,616,Alleghany
11369,30095,13187,3165,2374,Duplin
2766,6514,3310,253,185,Gates
18064,48153,21505,4847,3737,Haywood
14194,35345,16128,2999,2024,Stanly
73872,234121,92662,40165,27422,Missing / Out of State
20002,51894,23295,5230,3367,Wilson
1140,2613,1327,82,64,Tyrrell
26034,66767,29448,6699,4586,Wayne
6756,16426,7615,1260,795,Montgomery
14420,38412,16409,4324,3259,Lenoir
9381,22932,10373,1928,1250,Scotland
51759,131783,59147,11773,9104,Alamance
2492,5940,2951,289,208,Camden
5511,13982,6597,1072,802,Greene
27753,74503,31145,9035,6570,Rowan
5959,13634,6688,590,397,Northampton
15531,39773,17380,4137,2725,Wilkes
20669,56317,23057,7354,5237,Lincoln
20510,51070,23611,4224,2725,Caldwell
6273,15131,6777,1143,938,Polk
19670,51138,21318,5726,4424,Surry
11558,28634,14552,1440,1084,Macon
2817,7325,3091,758,659,Clay
9681,24066,11005,1900,1480,Yadkin
26965,72449,30778,8830,5876,Onslow
11461,27459,12813,1972,1213,Richmond
82777,234338,98984,28680,23897,Buncombe
56845,161291,65976,21979,16491,Union
48833,143310,57432,21135,15910,Cabarrus
2799,7709,3288,925,697,Washington
24581,64469,28766,6828,4294,Harnett
24075,57788,26035,4584,3094,Burke
17743,45657,19753,4755,3406,Granville
50729,136858,58371,16341,11417,Gaston
11338,29721,13863,2721,1799,Edgecombe
15806,42580,21851,2704,2219,Watauga
7311,19264,8792,2005,1156,Hoke
5853,13999,6951,682,513,Bertie
11755,28872,13212,2321,1584,Person
14641,35376,17027,2158,1550,Beaufort
42064,110919,46312,13213,9330,Catawba
11978,29295,14536,1581,1200,Jackson
370533,1069255,441603,142929,114190,Wake
24366,61115,26902,5852,3995,Cleveland
15259,38483,17786,3215,2223,Sampson
12732,31168,14400,2398,1638,Columbus
6704,15416,7506,757,449,Caswell
5475,12427,6274,426,252,Yancey
16745,42621,18631,4264,2981,Lee
5871,14733,6965,1091,806,Hertford
23986,60095,26973,5441,3695,Rockingham
288287,853309,352151,122561,90310,Mecklenburg
22445,57142,24535,5791,4371,Carteret
3327,8029,3665,597,440,Swain
5478,13181,6419,730,554,Avery
12372,31776,13950,3263,2191,Vance
14958,35114,17000,1893,1263,Halifax
14935,36350,17108,2427,1880,Rutherford
24452,67593,29888,7698,5555,Nash
7308,19401,9140,1657,1296,Ashe
9781,27340,11653,3395,2511,Stokes
2066,4810,2282,273,189,Graham
15916,41579,18428,4162,3073,Pender
29316,72677,31857,6554,4950,Craven
165519,437528,189473,46984,35552,Guilford
6979,17015,8804,681,551,Madison
23765,65278,27049,8147,6317,Chatham
46273,124188,56665,11818,9432,Pitt
33485,84663,36723,7974,6481,Moore
103193,298072,131322,35394,28163,Forsyth
40753,116773,45740,17478,12802,Iredell
9371,25821,12752,2051,1647,Transylvania
6169,15203,7312,1009,713,Martin
6298,15402,7047,1166,891,Warren
2680,6397,2946,454,317,Jones
11251,31495,13760,3645,2839,Davie
57004,151145,63684,18790,11667,Cumberland
13522,31285,15337,1476,950,Mcdowell
7462,17956,8192,1348,954,Cherokee
4204,10894,5274,759,657,Chowan
60537,164430,73029,16437,14427,Orange
10111,22867,10992,1036,728,Alexander
112590,303999,135106,31397,24906,Durham
34374,91051,41414,8533,6730,Henderson
10813,27196,12994,1973,1416,Pasquotank
4839,10868,5278,460,291,Pamlico
3963,9431,4767,470,231,Mitchell
7001,16815,8164,964,686,Currituck
51141,132679,57990,12791,10757,Brunswick
37117,98777,42699,10885,8076,Davidson
17136,46687,19276,5944,4331,Franklin
15535,39066,18511,2780,2240,Dare
8323,20062,9286,1547,906,Bladen
72045,203320,84877,25654,20744,New Hanover
6197,14563,6877,873,616,Anson
