Second Dose Administered,First Dose Administered,County
37827,43628,Rockingham
173876,208481,Cumberland
8496,10511,Greene
3836,4447,Gates
13491,15711,Bladen
96399,109463,Cabarrus
7970,8959,Northampton
69647,80542,""
22508,25818,Stanly
88224,103856,Johnston
17204,20510,Richmond
573418,664664,Mecklenburg
23574,31290,Watauga
20760,23658,Vance
35042,40597,Burke
31071,34840,Surry
9231,10487,Caswell
15121,17657,Yadkin
22717,26834,Rutherford
50743,61581,Wayne
25746,30548,Pender
15979,20727,Macon
28717,32967,Lee
39254,45830,Cleveland
9172,10539,Anson
70750,80698,Catawba
43496,52815,Robeson
108021,121879,Union
4816,6191,Alleghany
48853,54365,Moore
31096,36863,Caldwell
85075,112552,Onslow
77347,88298,Iredell
7550,9167,Avery
18915,22652,Mcdowell
13585,17699,Transylvania
81678,92582,Alamance
6321,7804,Chowan
19792,23697,Columbus
2797,3182,Hyde
14304,16808,Scotland
10555,12446,Cherokee
16821,20284,Stokes
18167,20659,Person
663778,750797,Wake
124206,145711,New hanover
20299,24168,Duplin
22145,25272,Halifax
26460,31583,Wilkes
24775,28813,Hoke
9268,11273,Martin
19257,22677,Davie
79596,95294,Pitt
4750,5778,Washington
33473,39320,Wilson
278512,315100,Guilford
185367,212734,Durham
10999,13933,Ashe
35056,40197,Lincoln
8359,9191,Polk
13443,15387,Alexander
88664,104695,Gaston
9142,10812,Hertford
64026,75198,Davidson
42885,51395,Harnett
43773,51103,Nash
36926,40972,Chatham
8392,9996,Bertie
20568,24404,Beaufort
4280,4944,Clay
16328,20107,Pasquotank
30675,34709,Franklin
6169,6917,Pamlico
3005,3651,Graham
25338,31446,Sampson
72591,90619,Out o
1603,1912,Tyrrell
28058,32889,Haywood
5085,6053,Perquimans
19173,23004,Edgecombe
108468,122617,Orange
48869,56702,Craven
4293,4989,Camden
9312,11666,Madison
9575,11368,Currituck
5618,6942,Mitchell
21295,26726,Jackson
51148,59092,Randolph
52471,62586,Henderson
24470,34845,Missing
9203,10293,Warren
74825,85703,Brunswick
181715,221209,Forsyth
63848,72246,Rowan
9961,11375,Montgomery
4012,4556,Jones
148433,170862,Buncombe
33604,38722,Carteret
24441,28922,Lenoir
21422,25933,Dare
4933,5706,Swain
7471,8652,Yancey
32242,36066,Granville
