Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
24920,63005,28267,5829,3989,Robeson
3836,9105,4406,510,353,Perquimans
52717,146234,61305,18329,13883,Johnston
31705,84556,34440,10632,7779,Randolph
2343,5196,2649,115,89,Hyde
3468,9318,4242,895,713,Alleghany
12082,32219,13545,3761,2831,Duplin
2932,6875,3433,292,218,Gates
19078,51150,22446,5323,4303,Haywood
15028,37797,16635,3552,2582,Stanly
78690,257434,96547,47534,34663,Missing / Out of State
21522,56320,24409,6180,4209,Wilson
1180,2706,1369,86,71,Tyrrell
27708,72374,30403,8367,5896,Wayne
7076,17380,7796,1509,999,Montgomery
15158,41233,17152,5049,3874,Lenoir
9861,24314,10641,2294,1518,Scotland
54793,140729,61620,13825,10491,Alamance
2585,6247,3039,371,252,Camden
5822,14944,6956,1240,926,Greene
29883,81291,32571,10771,8066,Rowan
6185,14156,6805,694,472,Northampton
16145,42558,17955,4971,3487,Wilkes
21719,60803,23632,8849,6603,Lincoln
21440,54428,24412,5122,3454,Caldwell
6424,15650,6999,1224,1003,Polk
20226,53669,21845,6512,5086,Surry
11907,29760,15033,1643,1177,Macon
2926,7575,3162,795,692,Clay
10214,25502,11319,2254,1715,Yadkin
28223,79457,31755,11521,7958,Onslow
11997,29094,13227,2328,1542,Richmond
88278,249253,102917,31296,26762,Buncombe
61517,177237,69145,26277,20298,Union
53292,158331,60068,25126,19845,Cabarrus
2914,8139,3393,1049,783,Washington
25955,70470,30014,8646,5855,Harnett
24812,61094,26909,5512,3861,Burke
18554,48722,20417,5523,4228,Granville
53514,149081,60055,20448,15064,Gaston
12091,32246,14566,3312,2277,Edgecombe
17540,47608,24605,3023,2440,Watauga
7830,21126,9097,2641,1558,Hoke
6155,14767,7179,832,601,Bertie
12467,30980,13724,2800,1989,Person
15180,37105,17450,2601,1874,Beaufort
44337,119964,48301,15701,11625,Catawba
12545,30665,14902,1845,1373,Jackson
397558,1162286,461847,164501,138380,Wake
25576,65489,27807,7067,5039,Cleveland
15845,41204,18675,3859,2825,Sampson
13243,32763,14829,2778,1913,Columbus
7109,16314,7792,885,528,Caswell
5856,13293,6557,543,337,Yancey
17649,46109,19312,5250,3898,Lee
6177,15601,7172,1297,955,Hertford
25270,64549,28010,6656,4613,Rockingham
319867,949702,373444,144332,112059,Mecklenburg
23021,59919,24867,6811,5220,Carteret
3436,8367,3720,695,516,Swain
5753,14057,6820,842,642,Avery
13063,34492,14604,3941,2884,Vance
15816,37238,17556,2301,1565,Halifax
15864,38591,17653,2885,2189,Rutherford
26061,73375,30901,9311,7102,Nash
7599,20451,9494,1900,1458,Ashe
10351,29366,11959,4032,3024,Stokes
2130,4994,2335,313,216,Graham
16687,44259,19022,4937,3613,Pender
30525,77131,32796,7859,5951,Craven
176252,471008,196537,55485,42734,Guilford
7367,17814,9055,771,621,Madison
24780,67869,27097,8858,7134,Chatham
48182,132048,58458,14095,11313,Pitt
34673,88938,37566,9141,7558,Moore
111012,321001,136048,40967,32974,Forsyth
43410,127216,46980,20811,16015,Iredell
9769,27109,13239,2242,1859,Transylvania
6508,16120,7600,1176,836,Martin
6674,16265,7201,1339,1051,Warren
2805,6779,3060,537,377,Jones
11994,33812,14202,4243,3373,Davie
60123,165767,65833,23961,15850,Cumberland
14219,33017,15945,1707,1146,Mcdowell
7754,18673,8423,1452,1044,Cherokee
4358,11362,5370,879,755,Chowan
64479,174568,76237,17772,16080,Orange
10627,24435,11627,1281,900,Alexander
120725,325248,140456,35053,29014,Durham
36098,96328,43167,9457,7606,Henderson
11248,28833,13377,2489,1719,Pasquotank
4988,11312,5364,589,371,Pamlico
4250,10079,4972,560,297,Mitchell
7279,17813,8505,1207,822,Currituck
52389,137513,58827,14332,11965,Brunswick
39673,106999,44626,12951,9749,Davidson
18201,51010,20144,7137,5528,Franklin
15947,40757,19130,3148,2532,Dare
8630,21287,9634,1856,1167,Bladen
74311,214344,87304,28985,23744,New Hanover
6536,15464,7102,1068,758,Anson
