Second Dose Administered,First Dose Administered,County
40258,45348,Rockingham
183989,217703,Cumberland
9128,10893,Greene
4015,4567,Gates
14277,16219,Bladen
102428,114779,Cabarrus
8235,9203,Northampton
77134,85971,""
24295,27193,Stanly
93827,108533,Johnston
18379,21376,Richmond
591134,680429,Mecklenburg
24370,31903,Watauga
22068,24847,Vance
36966,41814,Burke
33253,36817,Surry
9655,10798,Caswell
16011,18244,Yadkin
24603,28140,Rutherford
54858,64030,Wayne
27276,31907,Pender
16806,20981,Macon
29626,33579,Lee
42457,48150,Cleveland
9901,11174,Anson
74671,83207,Catawba
47646,55508,Robeson
113506,126825,Union
5041,6414,Alleghany
50777,56489,Moore
32866,38174,Caldwell
97991,119593,Onslow
82446,92784,Iredell
7914,9465,Avery
20440,23722,Mcdowell
14185,18250,Transylvania
86381,96854,Alamance
6677,8002,Chowan
21110,24561,Columbus
2870,3211,Hyde
15100,17119,Scotland
11767,13274,Cherokee
17969,21161,Stokes
19433,21715,Person
685261,772566,Wake
124107,144909,New hanover
21713,25201,Duplin
23497,26510,Halifax
28646,32607,Wilkes
15705,18849,Hoke
9829,11648,Martin
20343,23593,Davie
78780,93840,Pitt
5109,6008,Washington
35965,41338,Wilson
282889,317789,Guilford
190886,218855,Durham
11623,14397,Ashe
37083,41959,Lincoln
8535,9334,Polk
14281,15960,Alexander
94741,110374,Gaston
9764,11237,Hertford
68777,79087,Davidson
46234,54160,Harnett
46473,53499,Nash
37245,41025,Chatham
8916,10326,Bertie
21814,25439,Beaufort
4661,5139,Clay
17500,21112,Pasquotank
32441,36077,Franklin
6448,7189,Pamlico
3501,4070,Graham
27313,32695,Sampson
78523,99471,Out o
1685,1950,Tyrrell
30022,35226,Haywood
5339,6273,Perquimans
20771,24460,Edgecombe
94989,108207,Orange
53503,60549,Craven
4634,5231,Camden
9852,12089,Madison
10012,11958,Currituck
5999,7188,Mitchell
19144,23382,Jackson
54537,61587,Randolph
55597,65930,Henderson
69820,73062,Missing
9775,10744,Warren
78267,88830,Brunswick
190586,229166,Forsyth
55148,62120,Rowan
10557,11853,Montgomery
4299,4792,Jones
143784,165457,Buncombe
35128,39736,Carteret
26179,30213,Lenoir
22025,26266,Dare
6866,8314,Swain
7948,9002,Yancey
33728,37436,Granville
