second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
99,128,2195,9959,7665,2626,11251,8497,Anson
28,45,1596,10050,8426,1974,12004,9985,Currituck
354,510,7904,27248,18990,9449,31930,21971,Pender
2150,3162,987,6896,3759,1201,8427,4064,Swain
75,113,836,6014,5103,1109,7220,5998,Mitchell
211,319,3902,18454,14341,4792,21431,16320,Richmond
911,1311,6882,30084,22291,8029,35382,26042,Haywood
850,1309,33127,95361,61384,37839,111094,71946,Gaston
6737,8068,12168,53951,35046,14455,60854,38331,Craven
396,524,11243,32536,20897,12727,36190,22939,Franklin
1171,1516,32855,82679,48653,36771,93112,54825,Iredell
119,168,4312,16067,11636,4840,18318,13310,Yadkin
918,1302,14884,46447,30645,17747,54448,35399,Harnett
298,397,4108,21891,17485,4913,25500,20190,Beaufort
108,144,1553,8537,6876,1718,9345,7483,Polk
17,23,4606,22075,17452,5196,26318,21099,Dare
1932,3070,60850,191072,128290,67079,230246,160097,Forsyth
45989,56392,21665,99551,31897,26087,120255,37776,Onslow
51,71,885,4308,3372,1096,4794,3627,Jones
563,771,15191,46631,30877,17165,53646,35710,Nash
2359,3365,2841,19194,13994,3318,23554,16871,Jackson
228,284,6533,21828,15067,7563,25335,17488,Duplin
26,34,1033,5048,3989,1262,6431,5135,Alleghany
34331,25057,77704,150422,38387,86261,164624,53306,Missing
1439,2068,38281,102801,63081,42085,115323,71170,Cabarrus
92,132,2147,14362,12123,2596,16053,13325,Alexander
939,872,614,4669,3116,763,5259,3624,Camden
347,498,2403,20540,17790,3057,23891,20336,Mcdowell
317,420,6755,27437,20365,7858,32765,24487,Sampson
285,420,7899,26306,18122,9253,30329,20656,Lenoir
425,642,4673,24699,19601,5306,28198,22250,Rutherford
144,184,2206,10568,8218,2700,11870,8986,Montgomery
162,249,6129,18053,11762,7116,21249,13884,Stokes
354,497,9629,36167,26184,11911,41592,29184,Wilson
278,355,5249,21118,15591,6253,24605,17997,Columbus
1254,1816,41303,124334,81777,46116,145488,97556,New hanover
241,382,13046,37196,23909,15458,42117,26277,Lincoln
251,344,6280,20425,13894,7140,23720,16236,Davie
83,122,1121,8231,7027,1337,9211,7752,Northampton
262,371,3821,23599,19516,4642,26652,21639,Halifax
775,1102,4787,15796,10234,5850,18965,12013,Hoke
663,889,11374,47881,35844,13720,55756,41147,Robeson
130,169,799,7957,7028,983,9050,7898,Yancey
431,641,9242,29669,19996,10535,33665,22489,Lee
3810,5558,38439,144145,101896,41695,167096,119843,Buncombe
,,136,2875,2739,163,3214,3051,Hyde
295,403,5232,20894,15367,6269,24530,17858,Edgecombe
