Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
27073,69819,30050,7354,5342,Robeson
4016,9633,4567,600,450,Perquimans
56039,159899,63776,21913,18171,Johnston
32879,91387,35890,12472,10146,Randolph
2474,5461,2758,127,102,Hyde
3564,9770,4410,991,805,Alleghany
12599,35002,14206,4550,3647,Duplin
3138,7317,3573,338,268,Gates
20002,54109,23202,5897,5008,Haywood
15855,40457,17267,4128,3207,Stanly
83046,287284,101618,55996,46624,Missing / Out of State
23037,61304,25481,7357,5429,Wilson
1286,2918,1452,103,77,Tyrrell
28986,78535,31432,10314,7803,Wayne
7357,18310,7965,1721,1267,Montgomery
15954,44451,17806,5911,4780,Lenoir
10226,25937,10940,2816,1955,Scotland
57951,151033,63974,16014,13094,Alamance
2713,6626,3150,444,319,Camden
6110,16014,7296,1468,1140,Greene
31406,88392,34122,12683,10181,Rowan
6392,14856,7003,833,628,Northampton
16755,45872,18642,5831,4644,Wilkes
22407,65120,24209,10188,8316,Lincoln
22307,57753,25129,5944,4373,Caldwell
6625,16174,7130,1310,1109,Polk
21141,57156,22547,7304,6164,Surry
12320,31068,15428,1879,1441,Macon
3024,7835,3246,817,748,Clay
10504,27161,11682,2730,2245,Yadkin
29341,87979,33420,14217,11001,Onslow
12505,31101,13740,2843,2013,Richmond
92509,263816,106882,33910,30515,Buncombe
64671,194217,71742,30984,26820,Union
56172,173136,62826,29027,25111,Cabarrus
3087,8801,3534,1221,959,Washington
27520,77578,31242,10672,8144,Harnett
25746,64806,27838,6336,4886,Burke
19367,52203,21098,6473,5265,Granville
54996,161118,61976,24234,19912,Gaston
13457,35923,15349,4049,3068,Edgecombe
18998,50516,25453,3285,2780,Watauga
8493,23861,9701,3331,2336,Hoke
6445,15750,7501,1014,790,Bertie
13163,33218,14160,3394,2501,Person
15761,39262,18038,3068,2395,Beaufort
46049,128797,49634,18262,14852,Catawba
12897,31899,15211,2109,1682,Jackson
421151,1255099,477149,188014,168785,Wake
26432,70051,28680,8372,6567,Cleveland
16924,45384,19996,4784,3680,Sampson
13718,34951,15459,3350,2424,Columbus
7461,17318,8155,1016,686,Caswell
6099,14006,6777,647,483,Yancey
18397,50072,19952,6502,5221,Lee
6414,16637,7338,1621,1264,Hertford
26410,69354,28855,7927,6162,Rockingham
340771,1045734,393203,167595,144165,Mecklenburg
23535,62773,25383,7614,6241,Carteret
3511,8743,3773,817,642,Swain
6017,14838,7110,948,763,Avery
13983,37713,15349,4673,3708,Vance
16626,39723,18200,2822,2075,Halifax
16539,41133,18573,3316,2705,Rutherford
28161,80812,32117,11215,9319,Nash
7914,21869,10002,2167,1786,Ashe
10701,31402,12399,4588,3714,Stokes
2194,5383,2471,457,261,Graham
17299,47119,19621,5692,4507,Pender
31833,82035,33907,9067,7228,Craven
183830,506029,201951,65251,54997,Guilford
7598,18446,9333,805,710,Madison
25730,71164,27723,9657,8054,Chatham
50125,141335,60025,16954,14231,Pitt
35611,92751,37893,10375,8872,Moore
116339,344721,140593,47244,40545,Forsyth
44944,137969,48087,24154,20784,Iredell
10240,28319,13589,2423,2067,Transylvania
6836,17295,8007,1413,1039,Martin
6952,17285,7442,1580,1311,Warren
2994,7335,3194,663,484,Jones
12563,36064,14580,4855,4066,Davie
62785,183987,68217,30174,22811,Cumberland
14749,34463,16488,1878,1348,Mcdowell
8054,19497,8668,1594,1181,Cherokee
4553,12023,5585,1009,876,Chowan
67737,183476,78346,19380,18013,Orange
11020,25738,12080,1491,1147,Alexander
127321,346859,145019,39726,34793,Durham
37885,101778,44895,10299,8699,Henderson
11834,30914,13903,2950,2227,Pasquotank
5153,11882,5601,670,458,Pamlico
4412,10602,5152,633,405,Mitchell
7612,18791,8811,1344,1024,Currituck
53665,143536,60048,15935,13888,Brunswick
41541,115457,46319,15264,12333,Davidson
19244,55570,20934,8377,7015,Franklin
16497,42823,19737,3545,3044,Dare
9014,23031,10126,2347,1544,Bladen
76769,227099,89437,32432,28461,New Hanover
6821,16619,7444,1344,1010,Anson
