Facility_Type,Category,County,Outbreak Count
K-12 School,,Scotland,2
Correctional Facility,Ongoing Outbreaks,Scotland,1
,,Hyde,0
,,Nash,0
Nursing Home,Ongoing Outbreaks,Wayne,2
Nursing Home,Ongoing Outbreaks,Madison,1
,,Tyrrell,0
Nursing Home,Ongoing Outbreaks,Forsyth,3
Child Care,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
K-12 School,,Rockingham,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Residential Care Facility,Ongoing Outbreaks,Rockingham,1
Child Care,,Wake,3
Correctional Facility,Ongoing Outbreaks,Wake,5
K-12 School,,Wake,3
Residential Care Facility,Ongoing Outbreaks,Wake,4
Nursing Home,Ongoing Outbreaks,Wake,3
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Cumberland,2
Nursing Home,Ongoing Outbreaks,Cumberland,6
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Child Care,,Cumberland,2
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,1
Residential Care Facility,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Pitt,3
K-12 School,,Union,1
Nursing Home,Ongoing Outbreaks,Union,2
,,Jones,0
Residential Care Facility,Ongoing Outbreaks,Yancey,1
K-12 School,,Richmond,1
Child Care,,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Residential Care Facility,Ongoing Outbreaks,Richmond,1
,,Warren,0
Residential Care Facility,Ongoing Outbreaks,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,1
K-12 School,,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,7
Nursing Home,Ongoing Outbreaks,Currituck,1
Correctional Facility,Ongoing Outbreaks,Vance,1
Nursing Home,Ongoing Outbreaks,Vance,1
,,Avery,0
,,Graham,0
K-12 School,,Surry,1
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,2
Other,Ongoing Outbreaks,Alleghany,1
K-12 School,,Alleghany,1
Nursing Home,Ongoing Outbreaks,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,4
Child Care,,Person,2
Nursing Home,Ongoing Outbreaks,Person,1
K-12 School,,Person,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,2
