Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,5192,"5,192",,Female,,Deaths
Gender,,28,28,,Missing,,Deaths
Gender,,5706,"5,706",,Male,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,,,,Missing,,Percent of Cases
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,,,,Missing,,Percent of Deaths
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,446234,"446,234",,Female,,Cases
Gender,,4528,"4,528",,Missing,,Cases
Gender,,391875,"391,875",,Male,,Cases
Ethnicity,,79%,79%,,,Non-Hispanic,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,21%,21%,,,Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,8489,"8,489",,,Non-Hispanic,Deaths
Ethnicity,,1671,"1,671",,,Missing,Deaths
Ethnicity,,766,766,,,Hispanic,Deaths
Ethnicity,,422261,"422,261",,,Non-Hispanic,Cases
Ethnicity,,304789,"304,789",,,Missing,Cases
Ethnicity,,115587,"115,587",,,Hispanic,Cases
Age Group,,1458,"1,458",50-64,,,Deaths
Age Group,,0,0,Missing,,,Deaths
Age Group,,370,370,25-49,,,Deaths
Age Group,,6522,"6,522",75+,,,Deaths
Age Group,,12,12,18-24,,,Deaths
Age Group,,3,3,0-17,,,Deaths
Age Group,,2561,"2,561",65-74,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Cases
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,7%,7%,75+,,,Percent of Cases
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,13%,13%,50-64,,,Percent of Deaths
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,3%,3%,25-49,,,Percent of Deaths
Age Group,,60%,60%,75+,,,Percent of Deaths
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,23%,23%,65-74,,,Percent of Deaths
Age Group,,172424,"172,424",50-64,,,Cases
Age Group,,202,202,Missing,,,Cases
Age Group,,330403,"330,403",25-49,,,Cases
Age Group,,57130,"57,130",75+,,,Cases
Age Group,,114321,"114,321",18-24,,,Cases
Age Group,,98355,"98,355",0-17,,,Cases
Age Group,,69802,"69,802",65-74,,,Cases
Race,Missing,674,674,,,,Deaths
Race,White,6800,"6,800",,,,Deaths
Race,Other,673,673,,,,Deaths
Race,Black or African American,2550,"2,550",,,,Deaths
Race,American Indian Alaskan Native,114,114,,,,Deaths
Race,Asian or Pacific Islander,115,115,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,White,62%,62%,,,,Percent of Cases
Race,Other,14%,14%,,,,Percent of Cases
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,White,66%,66%,,,,Percent of Deaths
Race,Other,7%,7%,,,,Percent of Deaths
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,Missing,156829,"156,829",,,,Cases
Race,White,425667,"425,667",,,,Cases
Race,Other,95051,"95,051",,,,Cases
Race,Black or African American,141166,"141,166",,,,Cases
Race,American Indian Alaskan Native,10830,"10,830",,,,Cases
Race,Asian or Pacific Islander,13094,"13,094",,,,Cases
