Facility_Type,Category,County,Outbreak Count
,,Martin,0
Residential Care Facility,Ongoing Outbreaks,Orange,1
Nursing Home,Ongoing Outbreaks,Orange,2
Child Care,,Orange,2
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Cleveland,1
Correctional Facility,Ongoing Outbreaks,Cleveland,1
,,Mitchell,0
Nursing Home,Ongoing Outbreaks,Caldwell,4
Residential Care Facility,Ongoing Outbreaks,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Robeson,1
Child Care,,Robeson,1
Nursing Home,Ongoing Outbreaks,Robeson,3
Correctional Facility,Ongoing Outbreaks,Robeson,3
K-12 School,,Robeson,3
Nursing Home,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,1
Nursing Home,Ongoing Outbreaks,Greene,1
Nursing Home,Ongoing Outbreaks,Perquimans,1
K-12 School,,Transylvania,1
Nursing Home,Ongoing Outbreaks,Harnett,1
Child Care,,Harnett,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Correctional Facility,Ongoing Outbreaks,McDowell,1
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,2
K-12 School,,Alamance,1
Residential Care Facility,Ongoing Outbreaks,Alamance,1
Correctional Facility,Ongoing Outbreaks,Alamance,1
Nursing Home,Ongoing Outbreaks,Alamance,3
Child Care,,Alamance,2
Correctional Facility,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Nursing Home,Ongoing Outbreaks,Haywood,2
Residential Care Facility,Ongoing Outbreaks,Haywood,1
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Correctional Facility,Ongoing Outbreaks,Pamlico,1
K-12 School,,Avery,1
,,Graham,0
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,2
Other,Ongoing Outbreaks,Alleghany,1
K-12 School,,Alleghany,1
Other,Ongoing Outbreaks,Durham,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,4
Nursing Home,Ongoing Outbreaks,Person,1
Child Care,,Person,2
K-12 School,,Person,1
Nursing Home,Ongoing Outbreaks,Cumberland,6
K-12 School,,Cumberland,1
Residential Care Facility,Ongoing Outbreaks,Cumberland,3
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Child Care,,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,1
Residential Care Facility,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Pitt,3
K-12 School,,Pitt,1
Nursing Home,Ongoing Outbreaks,Union,2
K-12 School,,Union,2
,,Jones,0
,,Yancey,0
K-12 School,,Richmond,1
Other,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Child Care,,Richmond,1
,,Warren,0
Correctional Facility,Ongoing Outbreaks,Buncombe,1
Child Care,,Buncombe,1
K-12 School,,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,9
Nursing Home,Ongoing Outbreaks,Currituck,1
Correctional Facility,Ongoing Outbreaks,Vance,1
Nursing Home,Ongoing Outbreaks,Vance,1
Residential Care Facility,Ongoing Outbreaks,Forsyth,1
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,3
Child Care,,Forsyth,1
K-12 School,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Nursing Home,Ongoing Outbreaks,Duplin,1
Child Care,,Duplin,1
