County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,15634,11266
Cumberland,56808,47713
Pitt,46325,41869
Beaufort,14976,13047
Durham,107615,88803
Jones,2697,2043
Pender,15988,11973
Carteret,22733,18234
Swain,3366,2951
Halifax,15392,11978
Lenoir,14365,11642
Perquimans,3977,3304
Henderson,33188,26647
Scotland,9439,6972
Alamance,50852,37805
Haywood,16995,13548
Tyrrell,1170,930
Pasquotank,11871,9950
McDowell,13255,9715
Washington,3012,2441
Polk,6168,4882
Caldwell,20149,17170
Graham,2143,1816
Warren,6306,4436
Cleveland,23897,19568
Wake,348495,257787
Rockingham,24074,17453
Lee,16854,12705
Rowan,26274,19749
Wilkes,15702,12644
Harnett,24467,19622
Wilson,20066,14641
Pamlico,4950,3985
Rutherford,15310,10671
Surry,19906,15081
Alleghany,3535,2976
Orange,58832,48928
Bladen,8330,6728
Granville,16759,12677
Out of State,63730,52474
Davidson,35758,29404
Stokes,9645,7782
Onslow,26987,21488
Stanly,14202,10709
Craven,29443,23400
Franklin,16272,12356
Anson,6031,4404
Gaston,47856,40074
Yadkin,9674,7725
Hyde,2254,1621
Randolph,29665,22736
Hertford,6209,4314
Union,50303,42614
Moore,33451,28026
Martin,6271,5347
Johnston,48902,36225
Columbus,12375,9972
Robeson,24024,18458
Macon,11718,11345
Davie,11077,9851
Yancey,5431,4043
Missing,8231,5347
New Hanover,71177,60836
Brunswick,51236,43204
Currituck,7464,5250
Camden,2749,2129
Person,11425,7979
Greene,5583,4352
Guilford,163197,124907
Madison,6636,5730
Chatham,24306,18498
Wayne,26171,19204
Ashe,7591,6662
Hoke,7576,5821
Dare,15630,13549
Montgomery,6856,5156
Forsyth,102573,89243
Chowan,4908,3832
Transylvania,9376,9797
Iredell,38183,29845
Clay,2829,2163
Vance,12119,9126
Mecklenburg,250927,196464
Edgecombe,12110,8580
Cherokee,7434,5442
Bertie,6234,4622
Lincoln,19244,15441
Alexander,10054,7561
Nash,26187,18987
Richmond,11491,9129
Mitchell,3882,2765
Cabarrus,43613,33646
Duplin,11608,8709
Buncombe,79705,62096
Avery,5640,4298
Catawba,40189,31636
Jackson,11893,10857
Gates,2977,2084
Burke,23132,18545
Caswell,6679,4930
Northampton,6096,4791
Watauga,16419,16280
