Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
23208,57454,26636,4567,3043,Robeson
3624,8553,4234,388,307,Perquimans
47842,130644,58088,14367,10347,Johnston
29821,77321,32937,8517,6046,Randolph
2168,4795,2436,108,83,Hyde
3351,8676,3939,793,593,Alleghany
11250,29704,13092,3070,2292,Duplin
2718,6413,3270,245,180,Gates
16942,46644,21247,4761,3694,Haywood
14001,34828,16000,2865,1962,Stanly
71656,228563,91820,38778,26309,Missing / Out of State
19778,50962,22909,5044,3231,Wilson
1133,2594,1320,79,62,Tyrrell
25699,65462,29017,6354,4392,Wayne
6665,16189,7543,1205,776,Montgomery
14200,37778,16205,4189,3184,Lenoir
9207,22589,10295,1869,1218,Scotland
50910,129557,58409,11369,8869,Alamance
2439,5837,2926,276,196,Camden
5468,13820,6522,1043,787,Greene
27198,73109,30814,8731,6366,Rowan
5892,13508,6670,561,385,Northampton
15379,39195,17212,3983,2621,Wilkes
19918,54860,22931,7052,4959,Lincoln
20203,50329,23472,4051,2603,Caldwell
6214,15014,6737,1126,937,Polk
19550,50723,21266,5606,4301,Surry
11402,28381,14507,1414,1058,Macon
2790,7239,3052,749,648,Clay
9636,23860,10929,1853,1442,Yadkin
26768,71251,30559,8371,5553,Onslow
11235,27003,12717,1883,1168,Richmond
80656,229316,96895,28187,23578,Buncombe
55075,157448,65338,21227,15808,Union
46715,139007,56704,20312,15276,Cabarrus
2772,7614,3271,904,667,Washington
24058,63132,28499,6507,4068,Harnett
23551,56758,25848,4372,2987,Burke
17472,44874,19522,4587,3293,Granville
49065,133539,58114,15539,10821,Gaston
11077,29129,13717,2589,1746,Edgecombe
15671,42273,21782,2656,2164,Watauga
7164,18843,8673,1897,1109,Hoke
5776,13872,6931,667,498,Bertie
11276,28101,13081,2214,1530,Person
14546,35127,16957,2097,1527,Beaufort
41360,109060,46033,12683,8984,Catawba
11888,28933,14343,1536,1166,Jackson
360889,1043274,433541,138754,110090,Wake
24063,60207,26706,5587,3851,Cleveland
14857,37684,17630,3092,2105,Sampson
12557,30828,14348,2326,1597,Columbus
6659,15305,7470,741,435,Caswell
5333,12190,6214,401,242,Yancey
16661,42091,18534,4022,2874,Lee
5781,14543,6932,1038,792,Hertford
23741,59196,26763,5204,3488,Rockingham
277514,831275,348189,118654,86918,Mecklenburg
22223,56442,24422,5604,4193,Carteret
3326,7978,3635,589,428,Swain
5446,13094,6405,706,537,Avery
12049,31026,13785,3121,2071,Vance
14843,34829,16939,1814,1233,Halifax
14752,35712,16810,2339,1811,Rutherford
24164,66509,29668,7348,5329,Nash
7235,19199,9094,1609,1261,Ashe
9680,26948,11555,3276,2437,Stokes
2050,4776,2273,269,184,Graham
15591,40881,18291,4046,2953,Pender
29257,71940,31599,6275,4809,Craven
162795,429395,186554,45469,34577,Guilford
6755,16574,8623,652,544,Madison
23365,64291,26752,7973,6201,Chatham
45686,122554,56345,11349,9174,Pitt
33036,83522,36449,7702,6335,Moore
101162,292232,129291,34249,27530,Forsyth
40148,114835,45535,16850,12302,Iredell
9231,25501,12633,2011,1626,Transylvania
6069,15019,7257,989,704,Martin
6120,15124,7011,1120,873,Warren
2651,6318,2920,433,314,Jones
11054,31022,13669,3529,2770,Davie
56362,148529,63155,17977,11035,Cumberland
13330,30866,15158,1439,939,Mcdowell
7347,17712,8132,1314,919,Cherokee
4150,10781,5249,735,647,Chowan
59080,160127,70828,16086,14133,Orange
9927,22592,10953,1001,711,Alexander
110322,297667,132429,30689,24227,Durham
33622,89441,40825,8352,6642,Henderson
10673,26770,12867,1885,1345,Pasquotank
4823,10809,5259,442,285,Pamlico
3841,9231,4720,444,226,Mitchell
6805,16492,8097,932,658,Currituck
50528,131220,57722,12455,10515,Brunswick
36225,96695,42149,10539,7782,Davidson
16756,45608,19052,5694,4106,Franklin
15324,38704,18473,2719,2188,Dare
8252,19829,9228,1482,867,Bladen
70561,199397,83802,25028,20006,New Hanover
6036,14307,6841,836,594,Anson
