First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.1176916783607037,0.02537613857927736,Missing or Undisclosed,0.06862277655268818,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.025147174156912967
,0.00845209292979798,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0011932771440767986
0.11457236791841545,0.16205004433406037,Missing or Undisclosed,0.05683314756225534,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.13661931282326195
0.07255219592592384,0.007508168798868226,Missing or Undisclosed,0.0404585452308248,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.007115982170334852
0.17285862797197254,0.7593192064027963,Missing or Undisclosed,0.10601326375848333,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.791470351728862
,0.03729434895519982,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03845390197655141
,0.018256403906070202,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0016916341543318342
0.050871002017878204,0.030481856913718557,Missing or Undisclosed,0.023129563377947613,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.02355481430741281
0.1721114229231217,0.9512617391802113,Missing or Undisclosed,0.10376798170922066,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9747535515382554
,0.0019176379466846417,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0016956051265251016
,0.0003586444408359336,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0005142408990281046
0.18960525778515244,0.5967043262799927,Female,0.11152859598130599,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.5965353267613743
0.13240059730241416,0.3944376233205335,Male,0.07818340383948752,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.3958622469746156
,0.005698591473608091,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004539813959952745
,0.0008831765383451655,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008527662785041348
0.6122602492811381,0.25197984581793714,Missing or Undisclosed,0.46859858129454746,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3277719867766626
0.003006509901052531,0.0006962608688541251,Missing or Undisclosed,0.0006002930842705556,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00023627284549939938
0.14372399198466032,0.17105762726912702,Missing or Undisclosed,0.06169190805033194,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12479077940256723
0.10201241456004013,0.20307686556440938,Missing or Undisclosed,0.049751253999668434,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.16832653304345235
1.890348958417724e-05,4.088780270116507e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,6.949201338217629e-06
,5.84111467159501e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,3.970972193267217e-05
0.0024596188217214827,0.00034404165415694607,Missing or Undisclosed,0.0020169709522775484,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.0004794948923370164
0.038621544599313336,0.022346936510588188,Missing or Undisclosed,0.016414509780564454,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.016142001965631234
1.113114717602796e-05,4.088780270116507e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,9.927430483168042e-07
0.5732607873040626,0.35042131960126216,Missing or Undisclosed,0.34863469748917353,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.36220130843533765
2.7043025453496514e-05,1.0514006408871018e-05,Missing or Undisclosed,6.009561211888114e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,3.970972193267217e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.6122602492811381,0.25197984581793714,Missing or Undisclosed,0.46859858129454746,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.3277719867766626
0.14372399198466032,0.17105762726912702,Missing or Undisclosed,0.06169190805033194,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.12479077940256723
0.10201241456004013,0.20307686556440938,Missing or Undisclosed,0.049751253999668434,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.16832653304345235
,0.0011174052366761254,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0007673903763488896
