Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
23733,59118,27140,5022,3223,Robeson
3736,8783,4296,429,322,Perquimans
49664,135668,59048,15614,11342,Johnston
30260,79219,33300,9177,6482,Randolph
2214,4894,2487,110,83,Hyde
3357,8771,3955,832,627,Alleghany
11574,30518,13246,3270,2428,Duplin
2793,6586,3339,266,188,Gates
18305,48691,21609,4977,3800,Haywood
14395,35761,16178,3121,2067,Stanly
75054,238052,93179,41511,28308,Missing / Out of State
20372,52688,23435,5414,3467,Wilson
1145,2629,1338,82,64,Tyrrell
26373,67790,29577,7099,4741,Wayne
6786,16562,7633,1330,813,Montgomery
14541,38856,16511,4488,3316,Lenoir
9461,23151,10423,1995,1272,Scotland
52320,133324,59580,12192,9232,Alamance
2504,5995,2968,310,213,Camden
5567,14088,6620,1089,812,Greene
28070,75568,31349,9399,6750,Rowan
5999,13734,6717,615,403,Northampton
15601,40124,17424,4294,2805,Wilkes
20907,57199,23118,7735,5439,Lincoln
20649,51660,23785,4418,2808,Caldwell
6279,15184,6801,1161,943,Polk
19727,51523,21394,5893,4509,Surry
11581,28789,14629,1484,1095,Macon
2841,7378,3103,769,665,Clay
9764,24294,11055,1972,1503,Yadkin
27049,73506,30879,9522,6056,Onslow
11493,27673,12872,2058,1250,Richmond
83493,236619,99531,29335,24260,Buncombe
57795,164116,66526,22841,16954,Union
49603,145813,57750,22115,16345,Cabarrus
2817,7779,3307,948,707,Washington
24767,65473,28993,7252,4461,Harnett
24145,58277,26135,4814,3183,Burke
17895,46185,19821,4945,3524,Granville
51134,138813,58579,17287,11813,Gaston
11451,30079,13959,2839,1830,Edgecombe
15873,42855,21949,2788,2245,Watauga
7372,19550,8858,2129,1191,Hoke
5964,14195,7001,711,519,Bertie
11798,29113,13259,2438,1618,Person
14783,35730,17106,2263,1578,Beaufort
42412,112563,46748,13804,9599,Catawba
12053,29535,14620,1640,1222,Jackson
374176,1085134,445700,147788,117470,Wake
24637,61884,27026,6126,4095,Cleveland
15338,38850,17863,3360,2289,Sampson
12784,31379,14458,2471,1666,Columbus
6746,15527,7542,786,453,Caswell
5483,12480,6294,448,255,Yancey
16915,43256,18801,4476,3064,Lee
5899,14904,7047,1141,817,Hertford
24233,60891,27137,5721,3800,Rockingham
294164,869835,355847,126972,92852,Mecklenburg
22457,57519,24553,6050,4459,Carteret
3363,8098,3667,620,448,Swain
5483,13251,6446,756,566,Avery
12471,32162,13996,3432,2263,Vance
15173,35580,17129,1988,1290,Halifax
15105,36745,17216,2523,1901,Rutherford
24888,68734,30064,8057,5725,Nash
7342,19546,9176,1717,1311,Ashe
9881,27694,11692,3543,2578,Stokes
2083,4839,2283,284,189,Graham
16076,42061,18512,4327,3146,Pender
29529,73476,31995,6898,5054,Craven
167459,443156,190782,48588,36327,Guilford
7006,17102,8825,708,563,Madison
23957,66026,27322,8345,6402,Chatham
46599,125507,56952,12354,9602,Pitt
33674,85403,36864,8274,6591,Moore
104553,301932,132090,36634,28655,Forsyth
41630,118874,45873,18181,13190,Iredell
9424,26012,12811,2098,1679,Transylvania
6240,15383,7367,1056,720,Martin
6416,15600,7070,1209,905,Warren
2698,6452,2959,475,320,Jones
11485,32022,13825,3811,2901,Davie
57873,153819,64128,19703,12115,Cumberland
13542,31474,15441,1525,966,Mcdowell
7491,18047,8204,1380,972,Cherokee
4213,10960,5278,790,679,Chowan
60855,166198,73955,16768,14620,Orange
10142,23007,11013,1109,743,Alexander
113461,307325,136210,32194,25460,Durham
34539,91746,41633,8726,6848,Henderson
10904,27446,13029,2071,1442,Pasquotank
4867,10942,5282,496,297,Pamlico
4006,9538,4803,494,235,Mitchell
7061,17015,8207,1040,707,Currituck
51328,133505,58126,13166,10885,Brunswick
37446,100064,42954,11380,8284,Davidson
17265,47341,19369,6234,4473,Franklin
15630,39350,18585,2861,2274,Dare
8392,20261,9321,1628,920,Bladen
72509,205311,85327,26372,21103,New Hanover
6280,14758,6940,911,627,Anson
