Facility_Type,Category,County,Outbreak Count
Residential Care Facility,Ongoing Outbreaks,Caldwell,1
Nursing Home,Ongoing Outbreaks,Caldwell,3
K-12 School,,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Nursing Home,Ongoing Outbreaks,Montgomery,1
K-12 School,,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Nursing Home,Ongoing Outbreaks,Robeson,4
Correctional Facility,Ongoing Outbreaks,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Washington,1
Correctional Facility,Ongoing Outbreaks,Washington,1
Nursing Home,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Nursing Home,Ongoing Outbreaks,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,3
Nursing Home,Ongoing Outbreaks,Perquimans,1
Nursing Home,Ongoing Outbreaks,Transylvania,1
Nursing Home,Ongoing Outbreaks,Harnett,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Child Care,,Harnett,1
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,3
Residential Care Facility,Ongoing Outbreaks,Alamance,6
Correctional Facility,Ongoing Outbreaks,Alamance,1
Child Care,,Alamance,2
Nursing Home,Ongoing Outbreaks,Alamance,7
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Avery,1
K-12 School,,Avery,1
,,Graham,0
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,3
Child Care,,Surry,1
K-12 School,,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Other,Ongoing Outbreaks,Durham,3
Correctional Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,6
Child Care,,Person,2
Nursing Home,Ongoing Outbreaks,Person,1
K-12 School,,Person,2
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,5
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Residential Care Facility,Ongoing Outbreaks,Haywood,1
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,4
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Nursing Home,Ongoing Outbreaks,Pamlico,1
K-12 School,,Pamlico,2
K-12 School,,Martin,1
Residential Care Facility,Ongoing Outbreaks,Martin,1
Nursing Home,Ongoing Outbreaks,Martin,1
Child Care,,Orange,2
Nursing Home,Ongoing Outbreaks,Orange,1
Residential Care Facility,Ongoing Outbreaks,Orange,1
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Residential Care Facility,Ongoing Outbreaks,Beaufort,1
K-12 School,,Cleveland,1
Correctional Facility,Ongoing Outbreaks,Cleveland,1
Nursing Home,Ongoing Outbreaks,Cleveland,2
Residential Care Facility,Ongoing Outbreaks,Mitchell,1
Nursing Home,Ongoing Outbreaks,Bertie,1
Correctional Facility,Ongoing Outbreaks,Bertie,1
K-12 School,,Bertie,1
K-12 School,,Iredell,2
Nursing Home,Ongoing Outbreaks,Iredell,3
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Nursing Home,Ongoing Outbreaks,New Hanover,5
K-12 School,,New Hanover,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,1
,,Clay,0
Nursing Home,Ongoing Outbreaks,Lenoir,2
Residential Care Facility,Ongoing Outbreaks,Lenoir,2
K-12 School,,Lenoir,1
K-12 School,,Onslow,1
Residential Care Facility,Ongoing Outbreaks,Onslow,3
Correctional Facility,Ongoing Outbreaks,Onslow,1
Nursing Home,Ongoing Outbreaks,Yadkin,2
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Carteret,3
Residential Care Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Craven,2
Residential Care Facility,Ongoing Outbreaks,Craven,2
Nursing Home,Ongoing Outbreaks,Craven,1
Residential Care Facility,Ongoing Outbreaks,Northampton,2
Nursing Home,Ongoing Outbreaks,Northampton,2
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Correctional Facility,Ongoing Outbreaks,Sampson,1
Other,Ongoing Outbreaks,Sampson,1
Nursing Home,Ongoing Outbreaks,Moore,4
Residential Care Facility,Ongoing Outbreaks,Moore,2
Correctional Facility,Ongoing Outbreaks,Moore,1
Nursing Home,Ongoing Outbreaks,Dare,1
Correctional Facility,Ongoing Outbreaks,Dare,1
Child Care,,Mecklenburg,3
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,7
Nursing Home,Ongoing Outbreaks,Mecklenburg,7
Residential Care Facility,Ongoing Outbreaks,Randolph,3
Correctional Facility,Ongoing Outbreaks,Randolph,1
Nursing Home,Ongoing Outbreaks,Randolph,3
Residential Care Facility,Ongoing Outbreaks,Brunswick,2
Nursing Home,Ongoing Outbreaks,Brunswick,1
K-12 School,,Brunswick,5
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,3
Nursing Home,Ongoing Outbreaks,Granville,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Columbus,1
Correctional Facility,Ongoing Outbreaks,Columbus,2
K-12 School,,Columbus,1
Residential Care Facility,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Rutherford,2
Residential Care Facility,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Wilkes,1
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Residential Care Facility,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Pasquotank,2
K-12 School,,Pasquotank,1
Nursing Home,Ongoing Outbreaks,Chatham,1
Correctional Facility,Ongoing Outbreaks,Franklin,1
Child Care,,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,2
Correctional Facility,Ongoing Outbreaks,Johnston,1
Child Care,,Johnston,1
Residential Care Facility,Ongoing Outbreaks,Johnston,3
Nursing Home,Ongoing Outbreaks,Johnston,1
K-12 School,,Johnston,1
Nursing Home,Ongoing Outbreaks,Rowan,1
Correctional Facility,Ongoing Outbreaks,Rowan,2
K-12 School,,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,2
Nursing Home,Ongoing Outbreaks,Bladen,1
Correctional Facility,Ongoing Outbreaks,Bladen,1
Residential Care Facility,Ongoing Outbreaks,Guilford,10
Nursing Home,Ongoing Outbreaks,Guilford,13
K-12 School,,Guilford,4
,,Jackson,0
,,Camden,0
Nursing Home,Ongoing Outbreaks,Watauga,1
Child Care,,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Burke,2
Correctional Facility,Ongoing Outbreaks,Burke,1
Residential Care Facility,Ongoing Outbreaks,Burke,2
Nursing Home,Ongoing Outbreaks,Stokes,2
Child Care,,Anson,1
