Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
24003,60160,27458,5319,3380,Robeson
3749,8850,4310,462,329,Perquimans
50574,138985,59889,16513,12009,Johnston
30774,80996,33714,9713,6795,Randolph
2252,5001,2552,113,84,Hyde
3415,8967,4048,858,646,Alleghany
11706,30981,13343,3427,2505,Duplin
2840,6654,3352,270,192,Gates
18531,49606,22074,5087,3914,Haywood
14554,36323,16321,3266,2182,Stanly
76135,243884,94198,43502,30049,Missing / Out of State
20610,53741,23811,5654,3666,Wilson
1154,2649,1344,85,66,Tyrrell
26565,68950,29878,7539,4968,Wayne
6891,16876,7714,1392,879,Montgomery
14656,39401,16647,4671,3427,Lenoir
9579,23524,10532,2079,1334,Scotland
52917,135552,60375,12730,9530,Alamance
2522,6051,2975,332,222,Camden
5634,14284,6693,1128,829,Greene
28513,77081,31695,9824,7049,Rowan
6033,13827,6742,639,413,Northampton
15742,40695,17507,4512,2934,Wilkes
21243,58469,23331,8171,5724,Lincoln
20845,52511,24025,4677,2964,Caldwell
6339,15360,6888,1179,954,Polk
19826,52135,21540,6110,4659,Surry
11692,29151,14735,1568,1156,Macon
2859,7438,3124,779,676,Clay
9915,24645,11114,2063,1553,Yadkin
27412,75106,31086,10174,6434,Onslow
11639,28051,12950,2138,1324,Richmond
84817,240583,100866,30049,24851,Buncombe
58762,167811,67218,24024,17807,Union
50937,150002,58566,23285,17214,Cabarrus
2831,7862,3333,971,727,Washington
25157,66813,29203,7672,4781,Harnett
24292,59068,26401,5064,3311,Burke
18048,46905,20049,5132,3676,Granville
52044,142086,59008,18500,12534,Gaston
11600,30614,14090,2998,1926,Edgecombe
16201,43727,22372,2876,2278,Watauga
7468,19973,8979,2272,1254,Hoke
5986,14287,7027,739,535,Bertie
12078,29674,13361,2550,1685,Person
14808,36010,17193,2371,1638,Beaufort
42698,114499,47191,14520,10090,Catawba
12146,29865,14771,1698,1250,Jackson
379774,1109313,452470,153788,123281,Wake
24952,63045,27353,6441,4299,Cleveland
15510,39486,18060,3519,2397,Sampson
12910,31713,14521,2573,1709,Columbus
6800,15671,7586,815,470,Caswell
5605,12794,6437,485,267,Yancey
16987,43912,18906,4752,3267,Lee
5995,15082,7053,1190,844,Hertford
24499,61914,27447,5978,3990,Rockingham
302340,895955,362315,133248,98052,Mecklenburg
22680,58246,24640,6324,4602,Carteret
3373,8175,3698,645,459,Swain
5612,13530,6537,802,579,Avery
12628,32778,14171,3584,2395,Vance
15342,36026,17272,2074,1338,Halifax
15247,37213,17366,2655,1945,Rutherford
25155,69957,30287,8475,6040,Nash
7428,19810,9252,1792,1338,Ashe
10021,28121,11769,3690,2641,Stokes
2096,4888,2312,287,193,Graham
16240,42754,18654,4584,3276,Pender
29658,74299,32161,7229,5251,Craven
169897,451674,193252,50745,37780,Guilford
7095,17318,8894,749,580,Madison
24212,66829,27528,8531,6558,Chatham
46917,127076,57409,12866,9884,Pitt
34011,86536,37193,8559,6773,Moore
106054,307151,133649,38012,29436,Forsyth
42149,121318,46184,19092,13893,Iredell
9563,26386,12928,2161,1734,Transylvania
6276,15517,7427,1079,735,Martin
6473,15756,7111,1245,927,Warren
2719,6544,2989,497,339,Jones
11675,32601,13962,3975,2989,Davie
58346,157018,64634,21093,12945,Cumberland
13700,31879,15608,1582,989,Mcdowell
7605,18313,8314,1403,991,Cherokee
4268,11103,5332,814,689,Chowan
61440,168423,74951,17092,14940,Orange
10256,23332,11136,1161,779,Alexander
115177,312956,138219,33091,26469,Durham
34905,93202,42220,9025,7052,Henderson
11017,27877,13124,2233,1503,Pasquotank
4895,11050,5315,526,314,Pamlico
4052,9688,4865,519,252,Mitchell
7125,17217,8273,1094,725,Currituck
51546,134635,58348,13589,11152,Brunswick
38045,101907,43394,11863,8605,Davidson
17563,48471,19608,6565,4735,Franklin
15766,39921,18899,2949,2307,Dare
8428,20513,9418,1708,959,Bladen
72975,208108,86073,27310,21750,New Hanover
6350,14910,6950,959,651,Anson
