Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
22858,56853,26488,4523,2984,Robeson
3595,8472,4188,384,305,Perquimans
47124,129111,57784,14186,10017,Johnston
29442,76610,32852,8410,5906,Randolph
2146,4759,2424,107,82,Hyde
3344,8644,3933,783,584,Alleghany
11099,29433,13072,3038,2224,Duplin
2659,6323,3247,243,174,Gates
16780,46284,21175,4744,3585,Haywood
13275,33933,15924,2831,1903,Stanly
70452,225618,91180,38275,25711,Missing / Out of State
19185,50136,22786,5002,3163,Wilson
1124,2554,1290,79,61,Tyrrell
25134,64688,28944,6272,4338,Wayne
6549,16031,7521,1196,765,Montgomery
14073,37497,16129,4151,3144,Lenoir
9147,22466,10255,1853,1211,Scotland
50248,128450,58185,11288,8729,Alamance
2423,5799,2912,277,187,Camden
5416,13679,6461,1035,767,Greene
26587,72028,30614,8627,6200,Rowan
5854,13438,6648,554,382,Northampton
15336,39005,17163,3932,2574,Wilkes
19587,54224,22857,6981,4799,Lincoln
20049,49993,23397,4009,2538,Caldwell
6201,14988,6731,1120,936,Polk
19438,50465,21233,5570,4224,Surry
11358,28245,14456,1419,1012,Macon
2749,7184,3046,746,643,Clay
9590,23719,10874,1831,1424,Yadkin
26664,70746,30437,8276,5369,Onslow
11219,26902,12683,1858,1142,Richmond
79876,227744,96578,28003,23287,Buncombe
53667,155124,65026,20980,15451,Union
45258,136694,56460,20080,14896,Cabarrus
2741,7549,3254,896,658,Washington
23847,62524,28334,6377,3966,Harnett
23409,56426,25765,4321,2931,Burke
17214,44441,19487,4530,3210,Granville
48728,132592,57955,15331,10578,Gaston
10938,28880,13664,2564,1714,Edgecombe
15455,41988,21751,2633,2149,Watauga
7084,18643,8606,1868,1085,Hoke
5701,13756,6897,662,496,Bertie
11226,27960,13037,2198,1499,Person
14404,34861,16866,2083,1508,Beaufort
40429,107644,45852,12578,8785,Catawba
11797,28757,14295,1521,1144,Jackson
353511,1030256,432275,137572,106898,Wake
23877,59791,26622,5530,3762,Cleveland
14788,37379,17482,3060,2049,Sampson
12461,30590,14245,2308,1576,Columbus
6475,15081,7436,733,437,Caswell
5322,12152,6196,393,241,Yancey
16273,41422,18358,3992,2799,Lee
5694,14418,6915,1022,787,Hertford
23438,58624,26708,5150,3328,Rockingham
269415,817878,346355,117430,84678,Mecklenburg
22176,56194,24382,5543,4093,Carteret
3289,7924,3634,579,422,Swain
5405,13013,6384,700,524,Avery
11867,30704,13728,3087,2022,Vance
14688,34562,16866,1794,1214,Halifax
14545,35395,16752,2314,1784,Rutherford
23902,65950,29571,7262,5215,Nash
7199,19100,9063,1595,1243,Ashe
9493,26664,11503,3255,2413,Stokes
2032,4747,2270,265,180,Graham
15352,40532,18235,4019,2926,Pender
28725,71217,31526,6219,4747,Craven
160147,425122,185942,45026,34007,Guilford
6704,16533,8581,660,588,Madison
23057,63806,26698,7914,6137,Chatham
45339,121780,56141,11237,9063,Pitt
32940,83200,36374,7631,6255,Moore
99602,289673,128889,33996,27186,Forsyth
39570,113586,45436,16659,11921,Iredell
9208,25370,12573,1994,1595,Transylvania
5978,14842,7234,968,662,Martin
5931,14851,6966,1104,850,Warren
2555,6196,2906,428,307,Jones
10934,30763,13590,3506,2733,Davie
55224,146576,62924,17741,10687,Cumberland
13273,30779,15127,1430,949,Mcdowell
7292,17624,8124,1309,899,Cherokee
4138,10723,5238,723,624,Chowan
58377,158950,70661,15996,13916,Orange
9804,22404,10902,994,704,Alexander
108148,294354,131978,30445,23783,Durham
33527,89094,40709,8301,6557,Henderson
10634,26599,12810,1865,1290,Pasquotank
4786,10762,5259,435,282,Pamlico
3811,9166,4688,443,224,Mitchell
6720,16306,8031,928,627,Currituck
50147,130503,57597,12381,10378,Brunswick
35880,95848,41973,10416,7579,Davidson
16602,45212,19004,5650,3956,Franklin
15300,38582,18433,2693,2156,Dare
8150,19592,9128,1463,851,Bladen
70147,198215,83568,24835,19665,New Hanover
5816,14026,6801,827,582,Anson
