County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,15566,10774
Cumberland,56639,46240
Pitt,46102,39975
Beaufort,14924,12196
Durham,105599,84243
Jones,2688,2004
Pender,15638,11307
Carteret,22711,17671
Swain,3365,2611
Halifax,15247,11107
Lenoir,14291,11219
Perquimans,3975,3254
Henderson,32697,26020
Scotland,9409,6928
Alamance,50319,35687
Haywood,16856,13294
Tyrrell,1167,916
Pasquotank,11811,9572
McDowell,13233,9671
Washington,2990,2379
Polk,6112,4340
Caldwell,19926,16881
Graham,2140,1802
Warren,6273,4334
Cleveland,23790,18812
Wake,343618,245444
Rockingham,23926,16546
Lee,16067,12498
Rowan,26103,19196
Wilkes,15669,12069
Harnett,24220,19031
Wilson,19753,13971
Pamlico,4929,3807
Rutherford,15177,10202
Surry,19834,14966
Alleghany,3521,2915
Orange,58048,46800
Bladen,8304,6342
Granville,16657,12499
Out of State,62990,50022
Davidson,35217,27898
Stokes,9561,7197
Onslow,26930,20435
Stanly,14134,9761
Craven,29229,22650
Franklin,16101,12153
Anson,5938,4275
Gaston,47024,39110
Yadkin,9652,7627
Hyde,2229,1580
Randolph,29477,21572
Hertford,6120,3989
Union,49621,40839
Moore,33336,27234
Martin,6223,5153
Johnston,48310,34965
Columbus,12316,9447
Robeson,23701,17724
Macon,11690,10682
Davie,10934,9437
Yancey,5350,3923
Missing,7778,4968
New Hanover,68763,58784
Brunswick,50884,41865
Currituck,7363,4832
Camden,2726,1929
Person,11290,7852
Greene,5534,4171
Guilford,161049,115981
Madison,6521,5637
Chatham,24169,18048
Wayne,25600,18376
Ashe,7461,6421
Hoke,7517,5626
Dare,15530,12284
Montgomery,6847,5066
Forsyth,101297,82837
Chowan,4906,3690
Transylvania,9341,9522
Iredell,37516,29285
Clay,2812,2100
Vance,12070,9024
Mecklenburg,245643,186051
Edgecombe,11938,7839
Cherokee,7354,5303
Bertie,6176,4448
Lincoln,19031,14874
Alexander,9981,7278
Nash,25955,17202
Richmond,11389,9063
Mitchell,3848,2675
Cabarrus,42890,32410
Duplin,11516,8305
Buncombe,78494,57916
Avery,5624,4263
Catawba,38847,30826
Jackson,11879,10172
Gates,2961,1937
Burke,22987,18306
Caswell,6627,4798
Northampton,6007,4510
Watauga,16127,15503
