County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,11509,6724
Cumberland,44569,30178
Pitt,32727,26607
Beaufort,11486,7585
Durham,67811,46137
Jones,2029,1032
Pender,10452,6783
Carteret,16472,9582
Swain,2752,1462
Halifax,10939,5611
Lenoir,10863,7103
Perquimans,3453,1531
Henderson,22207,14903
Scotland,6668,4276
Alamance,30842,18720
Haywood,12365,8979
Tyrrell,917,575
Pasquotank,10132,6875
McDowell,9105,6305
Washington,2445,1557
Polk,4327,2450
Caldwell,14969,10361
Graham,1859,1163
Warren,4477,2037
Cleveland,18485,9167
Wake,205095,121314
Rockingham,16213,7919
Lee,11127,6469
Rowan,18559,12919
Wilkes,12100,6724
Harnett,17771,10885
Wilson,14293,7966
Pamlico,3745,2221
Rutherford,10520,5520
Surry,14778,9104
Alleghany,2738,1891
Orange,36723,26842
Bladen,6612,4080
Granville,12334,7574
Out of State,46851,28118
Davidson,23919,14886
Stokes,6785,4543
Onslow,20411,12151
Stanly,9834,5583
Craven,21116,11715
Franklin,10875,6768
Anson,4174,2673
Gaston,34511,20803
Yadkin,7170,4338
Hyde,1627,972
Randolph,20293,11147
Hertford,4909,2278
Union,35710,20090
Moore,26083,15642
Martin,4928,3051
Johnston,32827,19395
Columbus,8728,5006
Robeson,18112,11153
Macon,8564,4737
Davie,7999,6915
Yancey,4009,2314
Missing,3444,1107
New Hanover,48206,34416
Brunswick,37587,24274
Currituck,5265,3414
Camden,2218,1154
Person,7722,4828
Greene,3670,2665
Guilford,93718,51594
Madison,4494,3676
Chatham,18220,12985
Wayne,18340,8625
Ashe,5697,3111
Hoke,5622,3486
Dare,10709,7703
Montgomery,5135,3031
Forsyth,67163,43433
Chowan,4043,2479
Transylvania,6747,4794
Iredell,27106,17119
Clay,2111,1181
Vance,9144,5208
Mecklenburg,154885,90713
Edgecombe,7880,4688
Cherokee,5348,3046
Bertie,4701,2557
Lincoln,13828,8027
Alexander,6888,3640
Nash,18436,9202
Richmond,8942,5597
Mitchell,2641,1399
Cabarrus,29226,16977
Duplin,8197,4675
Buncombe,48375,29722
Avery,4053,2667
Catawba,28300,17364
Jackson,8941,3314
Gates,2398,1251
Burke,17226,11213
Caswell,4834,2690
Northampton,4735,2411
Watauga,11812,8212
