People Fully Vaccinated,County,People Vaccinated with at Least One Dose
19786,Robeson,24866
3425,Perquimans,4061
39469,Johnston,53819
24642,Randolph,31243
1713,Hyde,2313
3134,Alleghany,3736
9055,Duplin,12329
2354,Gates,3070
15071,Haywood,19940
10854,Stanly,15102
6298,Missing County,11209
15710,Wilson,21215
1050,Tyrrell,1224
21055,Wayne,27265
5392,Montgomery,7209
12427,Lenoir,15260
7687,Scotland,9739
41876,Alamance,54837
2221,Camden,2831
4911,Greene,6090
21984,Rowan,28037
5135,Northampton,6318
14188,Wilkes,16558
16243,Lincoln,21119
18717,Caldwell,22223
5239,Polk,6436
17007,Surry,20593
11440,Macon,13956
2331,Clay,2894
8979,Yadkin,10420
23281,Onslow,28479
9826,Richmond,12021
67750,Buncombe,89252
44737,Union,58774
36166,Cabarrus,49994
2580,Washington,3153
21476,Harnett,26431
20408,Burke,24912
55144,Out of State,72605
13521,Granville,17978
42796,Gaston,53849
9408,Edgecombe,12997
17076,Watauga,21108
6190,Hoke,8082
5142,Bertie,6462
8850,Person,12228
13567,Beaufort,16379
11187,Jackson,13588
33040,Catawba,43168
289843,Wake,400113
20570,Cleveland,25150
12233,Sampson,16482
10984,Columbus,13396
5367,Caswell,7029
4482,Yancey,5679
13448,Lee,17407
5251,Hertford,6528
19541,Rockingham,25342
20019,Carteret,23661
212151,Mecklenburg,301067
2983,Swain,3521
4949,Avery,6110
9637,Vance,12792
12702,Halifax,16110
20218,Nash,28004
11957,Rutherford,15790
7067,Ashe,8654
8351,Stokes,10684
1885,Graham,2204
13265,Pender,17286
25271,Craven,30578
137453,Guilford,175462
6105,Madison,7957
20215,Chatham,25718
45898,Pitt,53979
30037,Moore,35024
94502,Forsyth,121283
33828,Iredell,43836
10315,Transylvania,11836
5704,Martin,6861
4646,Warren,6629
2230,Jones,2770
10479,Davie,12781
49686,Cumberland,60184
10598,McDowell,14171
5886,Cherokee,7620
4020,Chowan,5088
53651,Orange,67775
8192,Alexander,10500
96484,Durham,123994
28755,Henderson,38142
10186,Pasquotank,12382
4204,Pamlico,5104
3024,Mitchell,4245
5406,Currituck,7732
46729,Brunswick,55555
31681,Davidson,39099
13541,Franklin,17635
14176,Dare,17979
65451,New hanover,79535
7042,Bladen,8724
4909,Anson,6375
