county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,11775,24606,25191,25087,25243,16651,16556,16271,8132,8328,8319,8123,3544,8328,16651,62188,56283,Robeson,212,212,212,99,264,1481,982,122048,16275,52037,55099,56371,17084,57319,60758,62350,1481,982,1559,1481,601,1045,982,407,98425,20565,130625,109195,14583,2327,16258,15983,16256,44533,44451,43294,14156,41255,13548,15066,15065,14846,2191,39271,40236,40260,13677,37507
PERQUIMANS COUNTY,2318,3635,3680,3672,3680,2590,2583,2556,1661,1090,1089,1079,657,1090,2590,6660,6154,Perquimans,,,,,,0,0,12861,2938,5902,6072,6169,3134,6368,6556,6692,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1139,251,1203,1190,1201,5469,5459,5366,2883,5229,1036,1096,1096,1088,231,4984,5058,5061,2707,4866
JOHNSTON COUNTY,21732,58298,60743,60241,60805,26337,26030,25176,10758,33919,33724,32635,10836,33921,26347,122401,114605,Johnston,487,487,487,138,537,3671,2385,196283,25919,103176,110884,114730,26968,109715,118135,122901,3622,2367,3746,3436,1042,2410,2249,689,156585,28558,209339,175612,34652,4164,40475,38766,40421,78680,78309,75747,21762,71627,32857,38386,38377,36797,4052,71720,73843,73934,21178,68070
RANDOLPH COUNTY,15587,32450,33052,32964,33065,14721,14661,14422,7424,18211,18183,17908,8082,18211,14725,67277,63819,Randolph,120,120,120,81,129,888,574,135556,20472,59607,62528,63950,20903,62630,65786,67439,888,574,954,888,558,663,574,443,111702,26060,143667,123257,21309,4167,23442,22881,23435,43043,42954,42017,16178,40433,20409,22405,22402,21891,4193,40063,40843,40882,15836,38624
HYDE COUNTY,780,1886,1955,1944,1955,1872,1863,1808,751,83,81,78,29,83,1872,3477,3368,Hyde,,,,,,0,,4753,1067,3133,3279,3369,1082,3240,3388,3495,0,,11,0,0,,,,4098,1114,4937,4410,164,49,178,175,178,3306,3299,3213,1033,3076,154,168,168,164,43,3115,3200,3201,1024,2979
ALLEGHANY COUNTY,2144,4015,4066,4049,4067,2215,2200,2169,1100,1851,1849,1846,1044,1851,2216,6948,6516,Alleghany,,,,,,34,0,10626,2718,6253,6424,6562,2804,6644,6823,7001,34,0,68,34,24,36,0,0,9249,3116,11137,9915,1370,375,1420,1414,1420,5513,5494,5375,2405,5240,1273,1317,1317,1310,360,5114,5199,5209,2358,4980
DUPLIN COUNTY,5963,12127,12395,12338,12438,6151,6111,6010,3015,5907,5890,5790,2856,5908,6154,29884,27415,Duplin,337,337,327,92,376,2183,1633,55126,8121,25225,26773,27473,8427,27358,29132,29993,2148,1616,2254,1931,470,1670,1444,331,44760,11405,58741,49644,7848,1610,8758,8619,8755,18981,18946,18365,6347,17579,7571,8416,8416,8286,1626,16871,17366,17387,6164,16210
GATES COUNTY,1264,2306,2344,2336,2357,2001,1993,1976,1135,343,343,330,129,343,2002,4921,4609,Gates,0,0,0,0,12,88,42,11027,1833,4392,4548,4637,1927,4677,4851,4990,88,42,147,88,10,68,42,0,9230,2418,11562,10120,534,130,587,579,587,4256,4246,4184,1787,4055,504,545,545,541,132,3965,4022,4024,1701,3846
HAYWOOD COUNTY,11815,22272,22854,22726,22900,12949,12831,12515,6570,9806,9796,9658,5232,9806,12950,37892,35897,Haywood,99,99,99,13,144,1526,930,59266,14045,33763,35084,36008,14505,35650,37034,38074,1526,930,1605,1526,696,1022,930,510,50968,15572,62317,54941,8227,2114,8709,8645,8699,27760,27667,26863,11695,25897,7604,8075,8073,8017,1984,26137,26894,26911,11551,25229
STANLY COUNTY,8149,15753,16054,15998,16064,8665,8616,8452,4475,7294,7287,7206,3601,7294,8665,29973,28264,Stanly,95,95,95,73,105,715,517,59178,9932,26682,27778,28347,10318,28239,29415,30081,715,517,773,715,356,592,517,288,49282,12123,62806,54008,7118,1422,7595,7458,7592,21713,21666,21242,8540,20406,6740,7174,7172,7063,1401,20198,20575,20581,8243,19425
