People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4439,3487,23033,26392,Robeson
372,317,3619,4181,Perquimans
13847,10468,48865,57428,Johnston
8214,6398,29716,32683,Randolph
107,90,2165,2424,Hyde
769,650,3586,3925,Alleghany
2980,2440,11376,12965,Duplin
236,191,2692,3208,Gates
4696,3702,18126,21041,Haywood
2761,2074,13670,15885,Stanly
37364,28629,10617,12906,Missing County
4908,3981,19574,22511,Wilson
79,69,1158,1260,Tyrrell
6141,4892,25242,28792,Wayne
1190,952,6602,7494,Montgomery
4082,3417,14507,16046,Lenoir
1826,1466,9179,10225,Scotland
11085,8998,52293,57706,Alamance
268,186,2433,2902,Camden
1019,878,5798,6425,Greene
8454,6308,26597,30314,Rowan
552,428,5924,6609,Northampton
3809,2810,15451,17102,Wilkes
6859,5101,19756,22759,Lincoln
3937,2934,21628,23283,Caldwell
1109,987,6180,6672,Polk
5499,4388,19766,21174,Surry
1403,1226,13405,14425,Macon
743,660,2770,3036,Clay
1787,1483,10004,10849,Yadkin
8030,5790,27771,30197,Onslow
1829,1436,11560,12621,Richmond
27704,24250,85261,95910,Buncombe
20511,15768,55315,64553,Union
19667,15119,45742,55899,Cabarrus
888,681,2831,3235,Washington
6222,4402,25124,28205,Harnett
4238,3232,23232,25664,Burke
0,0,64916,77497,Out of State
4439,3507,17425,19332,Granville
14936,11266,50135,57659,Gaston
2502,1998,11413,13550,Edgecombe
2607,2264,19611,21730,Watauga
1817,1374,7325,8560,Hoke
649,555,5838,6850,Bertie
2142,1688,11051,12968,Person
2041,1646,15456,16837,Beaufort
12257,9133,41519,45765,Catawba
1506,1205,13044,14246,Jackson
135054,107705,373406,429959,Wake
5395,4034,24069,26523,Cleveland
2985,2291,15126,17339,Sampson
2270,1877,13235,14182,Columbus
726,449,6552,7394,Caswell
383,306,5466,6155,Yancey
3875,3043,16504,18311,Lee
1005,890,5883,6828,Hertford
5050,3723,23705,26510,Rockingham
114641,87045,280007,343349,Mecklenburg
5457,4501,22545,24284,Carteret
572,444,3409,3629,Swain
682,564,5770,6356,Avery
3016,2352,11788,13641,Vance
1748,1390,15017,16777,Halifax
2274,1934,14508,16642,Rutherford
7111,5518,24500,29438,Nash
1577,1412,8081,9033,Ashe
3172,2527,10177,11430,Stokes
261,209,2088,2269,Graham
3970,3271,16228,18157,Pender
6132,5188,29270,31471,Craven
44163,35621,165462,184370,Guilford
657,593,7810,8545,Madison
7819,6505,23452,26642,Chatham
11057,9321,52064,56002,Pitt
7513,6461,33519,36100,Moore
33413,28109,113106,128074,Forsyth
16214,12001,41749,45255,Iredell
1972,1707,11726,12476,Transylvania
950,786,6392,7214,Martin
1090,924,5720,6934,Warren
418,344,2591,2893,Jones
3459,2886,12160,13466,Davie
17199,12275,56459,62600,Cumberland
1409,1096,13516,14995,McDowell
1299,1074,7316,8073,Cherokee
715,633,4278,5222,Chowan
15808,13920,64413,70428,Orange
984,800,9910,10861,Alexander
29961,24471,116813,131248,Durham
8207,7036,36794,40407,Henderson
1821,1335,10853,12743,Pasquotank
425,360,4822,5247,Pamlico
436,342,3965,4654,Mitchell
906,698,6637,7993,Currituck
12252,10866,53046,57396,Brunswick
10217,7927,37427,41648,Davidson
5493,4152,16668,18890,Franklin
2661,2249,16748,18346,Dare
1436,1126,8272,9106,Bladen
24505,20130,76339,83254,New Hanover
806,630,5844,6759,Anson
