At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8889,17860,18008,18008,18023,12343,12343,12261,6489,5603,5603,5537,2369,5603,12343,59377,53182,Robeson,62,62,62,31,77,910,654,122048,15593,49686,52597,53216,16259,54981,58319,59406,910,654,920,910,421,674,654,361,98425,20565,130625,109195,13679,2133,15254,15069,43232,42340,13705,40392,2000,12479,13729,13815,38214,13232,38727,36553,15253,43214,13814,38714,ROBESON COUNTY
1934,2983,2992,2992,2992,2290,2290,2286,1531,702,702,697,403,702,2290,6538,5994,Perquimans,,,,,,0,0,12861,2857,5794,5955,6008,3047,6276,6456,6560,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1081,230,1137,1127,5404,5329,2817,5195,212,979,1030,1032,4925,2645,4964,4815,1137,5401,1032,4962,PERQUIMANS COUNTY
16527,44002,44782,44782,44822,20637,20637,20343,9018,24128,24128,23642,7509,24130,20643,116469,108369,Johnston,17,17,17,0,49,1401,1116,196283,24768,98537,105886,108416,25559,104794,112961,116524,1401,1116,1413,1401,557,1127,1116,505,156585,28558,209339,175612,32714,3830,38130,36724,76981,74836,21172,70679,3708,30553,34313,35405,70457,20555,71884,66868,38129,76939,35401,71852,JOHNSTON COUNTY
12076,25046,25257,25257,25293,12013,12013,11942,6282,13244,13244,13104,5794,13244,12015,65151,61122,Randolph,0,0,0,0,34,759,554,135556,19707,57485,60307,61161,20040,60784,63917,65187,759,554,759,759,501,571,554,427,111702,26060,143667,123257,20240,3795,22294,21811,42134,41347,15744,39785,3861,19026,20462,20780,39291,15419,39810,37905,22293,42099,20778,39790,RANDOLPH COUNTY
666,1549,1578,1578,1578,1527,1527,1498,653,51,51,51,13,51,1527,3398,3227,Hyde,,,,,,,,4753,1031,3021,3151,3227,1051,3166,3304,3401,,,,,,,,,4098,1114,4937,4410,162,52,174,171,3227,3133,999,3004,44,145,154,158,2997,987,3069,2876,174,3224,158,3069,HYDE COUNTY
1660,2934,2950,2950,2951,1641,1641,1627,986,1309,1309,1307,674,1309,1642,6753,6276,Alleghany,,,,,,10,0,10626,2577,6058,6211,6309,2689,6479,6650,6787,10,0,35,10,10,26,0,0,9249,3116,11137,9915,1311,350,1364,1358,5388,5282,2329,5158,330,1214,1251,1259,4960,2247,5024,4844,1364,5379,1259,5017,ALLEGHANY COUNTY
4527,8999,9042,9042,9058,4889,4889,4878,2550,4153,4153,4121,1977,4153,4891,27222,24887,Duplin,0,0,0,0,14,270,216,55126,7592,23173,24481,24911,7781,25058,26578,27258,270,216,290,270,184,228,216,161,44760,11405,58741,49644,7462,1496,8379,8248,18589,18060,6101,17326,1502,7060,7785,7845,16480,5929,16838,15897,8379,18573,7845,16826,DUPLIN COUNTY
1026,1790,1795,1795,1795,1581,1581,1578,945,214,214,212,81,214,1581,4715,4391,Gates,,,,,,0,,11027,1748,4240,4371,4392,1850,4507,4668,4738,0,,15,0,0,,,,9230,2418,11562,10120,501,122,553,549,4170,4119,1728,4006,122,469,507,508,3864,1626,3884,3771,553,4162,508,3883,GATES COUNTY
9323,17921,18124,18124,18169,11235,11235,11120,5958,6841,6841,6753,3354,6841,11235,36978,34927,Haywood,48,48,48,11,93,1317,876,59266,13613,33031,34333,34987,14005,34873,36243,37021,1317,876,1350,1317,613,923,876,509,50968,15572,62317,54941,7969,1975,8461,8415,27210,26511,11417,25587,1840,7318,7754,7789,25703,11264,26275,24837,8461,27200,7789,26262,HAYWOOD COUNTY
6050,11750,11859,11859,11879,6516,6516,6447,3493,5343,5343,5303,2557,5343,6516,28754,26908,Stanly,0,0,0,0,20,468,358,59178,9506,25572,26638,26944,9880,27187,28344,28773,468,358,481,468,329,390,358,284,49282,12123,62806,54008,6773,1332,7226,7109,21066,20767,8219,19946,1303,6318,6634,6696,19646,7919,19858,18896,7226,21060,6696,19854,STANLY COUNTY
