Facility_Type,Category,County,Outbreak Count
Correctional Facility,Ongoing Outbreaks,Buncombe,2
Child Care,,Buncombe,1
K-12 School,,Buncombe,1
Residential Care Facility,Ongoing Outbreaks,Buncombe,5
Nursing Home,Ongoing Outbreaks,Buncombe,10
Nursing Home,Ongoing Outbreaks,Currituck,1
Nursing Home,Ongoing Outbreaks,Vance,1
Residential Care Facility,Ongoing Outbreaks,Forsyth,6
Child Care,,Forsyth,4
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,9
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Nursing Home,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Rockingham,2
Nursing Home,Ongoing Outbreaks,Rockingham,3
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,13
Residential Care Facility,Ongoing Outbreaks,Wake,18
Nursing Home,Ongoing Outbreaks,Wake,9
K-12 School,,Wake,10
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Nursing Home,Ongoing Outbreaks,Chowan,1
Nursing Home,Ongoing Outbreaks,Cumberland,6
K-12 School,,Cumberland,2
Residential Care Facility,Ongoing Outbreaks,Cumberland,5
Child Care,,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Halifax,2
Nursing Home,Ongoing Outbreaks,Halifax,1
Residential Care Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Pitt,4
Residential Care Facility,Ongoing Outbreaks,Pitt,7
K-12 School,,Pitt,1
Nursing Home,Ongoing Outbreaks,Union,5
Residential Care Facility,Ongoing Outbreaks,Union,3
K-12 School,,Union,3
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
K-12 School,,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
Other,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Nursing Home,Ongoing Outbreaks,Richmond,1
Nursing Home,Ongoing Outbreaks,Warren,1
Correctional Facility,Ongoing Outbreaks,Warren,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Nursing Home,Ongoing Outbreaks,Nash,3
Correctional Facility,Ongoing Outbreaks,Nash,2
Residential Care Facility,Ongoing Outbreaks,Wayne,1
Nursing Home,Ongoing Outbreaks,Wayne,3
Correctional Facility,Ongoing Outbreaks,Wayne,2
K-12 School,,Madison,1
Nursing Home,Ongoing Outbreaks,Madison,1
Residential Care Facility,Ongoing Outbreaks,Tyrrell,1
Nursing Home,Ongoing Outbreaks,Caldwell,3
K-12 School,,Caldwell,1
Residential Care Facility,Ongoing Outbreaks,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Nursing Home,Ongoing Outbreaks,Montgomery,1
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Correctional Facility,Ongoing Outbreaks,Robeson,3
Nursing Home,Ongoing Outbreaks,Robeson,4
K-12 School,,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Washington,1
Correctional Facility,Ongoing Outbreaks,Washington,1
Nursing Home,Ongoing Outbreaks,Washington,1
Correctional Facility,Ongoing Outbreaks,Greene,3
K-12 School,,Greene,1
Nursing Home,Ongoing Outbreaks,Greene,1
Nursing Home,Ongoing Outbreaks,Perquimans,1
Nursing Home,Ongoing Outbreaks,Transylvania,2
Nursing Home,Ongoing Outbreaks,Harnett,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Nursing Home,Ongoing Outbreaks,McDowell,1
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,Polk,3
Residential Care Facility,Ongoing Outbreaks,Polk,1
Residential Care Facility,Ongoing Outbreaks,Alamance,18
Child Care,,Alamance,3
Nursing Home,Ongoing Outbreaks,Alamance,8
Correctional Facility,Ongoing Outbreaks,Alamance,1
Correctional Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,2
Correctional Facility,Ongoing Outbreaks,Edgecombe,2
Nursing Home,Ongoing Outbreaks,Edgecombe,1
Nursing Home,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Alexander,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,6
K-12 School,,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Nursing Home,Ongoing Outbreaks,Haywood,4
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Correctional Facility,Ongoing Outbreaks,Lee,1
Nursing Home,Ongoing Outbreaks,Lee,2
Nursing Home,Ongoing Outbreaks,Pamlico,1
K-12 School,,Pamlico,2
Nursing Home,Ongoing Outbreaks,Martin,1
Residential Care Facility,Ongoing Outbreaks,Martin,1
K-12 School,,Martin,1
Nursing Home,Ongoing Outbreaks,Orange,1
Residential Care Facility,Ongoing Outbreaks,Orange,1
Child Care,,Orange,2
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Residential Care Facility,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Cleveland,3
Correctional Facility,Ongoing Outbreaks,Cleveland,1
K-12 School,,Cleveland,1
Residential Care Facility,Ongoing Outbreaks,Mitchell,1
Correctional Facility,Ongoing Outbreaks,Avery,2
K-12 School,,Avery,1
,,Graham,0
Child Care,,Surry,2
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,3
K-12 School,,Alleghany,1
Other,Ongoing Outbreaks,Durham,2
Residential Care Facility,Ongoing Outbreaks,Durham,2
Correctional Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,2
Nursing Home,Ongoing Outbreaks,Durham,6
Nursing Home,Ongoing Outbreaks,Person,1
Residential Care Facility,Ongoing Outbreaks,Person,1
K-12 School,,Person,2
Child Care,,Person,2
Nursing Home,Ongoing Outbreaks,Northampton,2
Residential Care Facility,Ongoing Outbreaks,Northampton,3
Other,Ongoing Outbreaks,Sampson,1
Correctional Facility,Ongoing Outbreaks,Sampson,1
Correctional Facility,Ongoing Outbreaks,Moore,1
Residential Care Facility,Ongoing Outbreaks,Moore,2
Nursing Home,Ongoing Outbreaks,Moore,2
Correctional Facility,Ongoing Outbreaks,Dare,1
Nursing Home,Ongoing Outbreaks,Dare,1
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,8
Correctional Facility,Ongoing Outbreaks,Mecklenburg,2
Nursing Home,Ongoing Outbreaks,Mecklenburg,14
Child Care,,Mecklenburg,5
Correctional Facility,Ongoing Outbreaks,Randolph,1
Nursing Home,Ongoing Outbreaks,Randolph,3
Residential Care Facility,Ongoing Outbreaks,Randolph,3
,,Clay,0
Residential Care Facility,Ongoing Outbreaks,Lenoir,3
K-12 School,,Lenoir,2
Nursing Home,Ongoing Outbreaks,Lenoir,3
Residential Care Facility,Ongoing Outbreaks,Onslow,3
Correctional Facility,Ongoing Outbreaks,Onslow,1
Nursing Home,Ongoing Outbreaks,Onslow,1
