At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8817,17585,17723,17723,17747,12153,12153,12078,6438,5522,5522,5459,2359,5522,12153,59250,53076,Robeson,48,48,48,20,72,909,654,122048,15585,49631,52529,53110,16249,54907,58235,59279,909,654,919,909,421,674,654,361,98425,20565,130625,109195,13652,2128,15219,15039,43141,42287,13700,40346,1996,12455,13703,13782,38172,13228,38654,36522,15218,43123,13781,38641,ROBESON COUNTY
1914,2945,2951,2951,2951,2253,2253,2252,1514,698,698,693,400,698,2253,6529,5987,Perquimans,,,,,,0,0,12861,2855,5789,5949,6001,3046,6271,6451,6551,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1080,230,1136,1126,5396,5325,2816,5191,212,978,1029,1031,4920,2643,4958,4811,1136,5393,1031,4956,PERQUIMANS COUNTY
16422,43503,44234,44234,44271,20320,20320,20048,8942,23897,23897,23438,7480,23899,20326,116339,108214,Johnston,17,17,17,0,46,1398,1116,196283,24756,98476,105803,108260,25549,104715,112874,116394,1398,1116,1410,1398,555,1127,1116,505,156585,28558,209339,175612,32673,3830,38076,36682,76908,74794,21164,70644,3706,30524,34282,35351,70405,20545,71782,66836,38075,76866,35347,71751,JOHNSTON COUNTY
12006,24773,24965,24965,24997,11813,11813,11753,6230,13152,13152,13020,5776,13152,11815,65042,61040,Randolph,0,0,0,0,30,758,554,135556,19700,57424,60241,61079,20029,60695,63820,65078,758,554,758,758,501,571,554,427,111702,26060,143667,123257,20220,3790,22267,21789,42053,41273,15738,39717,3858,18992,20427,20737,39260,15415,39771,37878,22266,42018,20735,39751,RANDOLPH COUNTY
656,1430,1459,1459,1459,1412,1412,1383,644,47,47,47,12,47,1412,3394,3225,Hyde,,,,,,,,4753,1031,3020,3150,3225,1051,3163,3301,3397,,,,,,,,,4098,1114,4937,4410,162,52,174,171,3223,3130,999,3001,44,145,154,158,2996,987,3067,2875,174,3220,158,3067,HYDE COUNTY
1659,2926,2940,2940,2941,1634,1634,1622,986,1306,1306,1304,673,1306,1635,6754,6274,Alleghany,,,,,,10,0,10626,2576,6056,6210,6307,2690,6480,6652,6788,10,0,35,10,10,26,0,0,9249,3116,11137,9915,1311,350,1364,1358,5389,5284,2330,5159,328,1211,1248,1256,4962,2248,5025,4845,1364,5380,1256,5018,ALLEGHANY COUNTY
4501,8907,8944,8944,8958,4831,4831,4824,2537,4113,4113,4083,1964,4113,4833,27166,24802,Duplin,0,0,0,0,12,270,216,55126,7590,23141,24436,24826,7778,25035,26552,27202,270,216,290,270,184,228,216,161,44760,11405,58741,49644,7451,1494,8368,8238,18544,18044,6100,17314,1501,7047,7770,7827,16450,5928,16771,15878,8368,18528,7827,16759,DUPLIN COUNTY
1015,1761,1765,1765,1765,1556,1556,1554,935,209,209,207,80,209,1556,4715,4387,Gates,,,,,,0,,11027,1748,4238,4368,4388,1850,4508,4669,4738,0,,15,0,0,,,,9230,2418,11562,10120,501,122,553,549,4170,4120,1728,4007,122,469,507,508,3861,1626,3880,3769,553,4162,508,3879,GATES COUNTY
9304,17862,18057,18057,18102,11185,11185,11078,5949,6824,6824,6736,3344,6824,11185,36968,34903,Haywood,48,48,48,11,93,1317,876,59266,13608,33015,34314,34963,14002,34865,36234,37011,1317,876,1350,1317,613,923,876,509,50968,15572,62317,54941,7963,1974,8455,8409,27206,26508,11415,25585,1839,7310,7746,7781,25692,11260,26259,24829,8455,27196,7781,26246,HAYWOOD COUNTY
6019,11553,11640,11640,11658,6338,6338,6289,3469,5302,5302,5264,2550,5302,6338,28719,26861,Stanly,0,0,0,0,18,468,358,59178,9502,25543,26607,26897,9874,27163,28316,28738,468,358,481,468,329,390,358,284,49282,12123,62806,54008,6761,1331,7215,7098,21042,20750,8214,19934,1301,6302,6619,6675,19630,7917,19832,18883,7215,21036,6675,19828,STANLY COUNTY
