Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,5022,"5,022",,Female,,Deaths
Gender,,32,32,,Missing,,Deaths
Gender,,5508,"5,508",,Male,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,,,,Missing,,Percent of Cases
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,,,,Missing,,Percent of Deaths
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,437682,"437,682",,Female,,Cases
Gender,,4605,"4,605",,Missing,,Cases
Gender,,384053,"384,053",,Male,,Cases
Ethnicity,,78%,78%,,,Non-Hispanic,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,22%,22%,,,Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,8187,"8,187",,,Non-Hispanic,Deaths
Ethnicity,,1630,"1,630",,,Missing,Deaths
Ethnicity,,745,745,,,Hispanic,Deaths
Ethnicity,,411570,"411,570",,,Non-Hispanic,Cases
Ethnicity,,300793,"300,793",,,Missing,Cases
Ethnicity,,113977,"113,977",,,Hispanic,Cases
Age Group,,1411,"1,411",50-64,,,Deaths
Age Group,,0,0,Missing,,,Deaths
Age Group,,6306,"6,306",75+,,,Deaths
Age Group,,360,360,25-49,,,Deaths
Age Group,,12,12,18-24,,,Deaths
Age Group,,2470,"2,470",65-74,,,Deaths
Age Group,,3,3,0-17,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Cases
Age Group,,7%,7%,75+,,,Percent of Cases
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,13%,13%,50-64,,,Percent of Deaths
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,60%,60%,75+,,,Percent of Deaths
Age Group,,3%,3%,25-49,,,Percent of Deaths
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,23%,23%,65-74,,,Percent of Deaths
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,168987,"168,987",50-64,,,Cases
Age Group,,195,195,Missing,,,Cases
Age Group,,56325,"56,325",75+,,,Cases
Age Group,,324027,"324,027",25-49,,,Cases
Age Group,,112094,"112,094",18-24,,,Cases
Age Group,,68609,"68,609",65-74,,,Cases
Age Group,,96103,"96,103",0-17,,,Cases
Race,White,6571,"6,571",,,,Deaths
Race,Other,658,658,,,,Deaths
Race,Missing,662,662,,,,Deaths
Race,Black or African American,2452,"2,452",,,,Deaths
Race,Asian or Pacific Islander,111,111,,,,Deaths
Race,American Indian Alaskan Native,108,108,,,,Deaths
Race,White,62%,62%,,,,Percent of Cases
Race,Other,14%,14%,,,,Percent of Cases
Race,Missing,,,,,,Percent of Cases
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,White,66%,66%,,,,Percent of Deaths
Race,Other,7%,7%,,,,Percent of Deaths
Race,Missing,,,,,,Percent of Deaths
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,White,416595,"416,595",,,,Cases
Race,Other,93267,"93,267",,,,Cases
Race,Missing,155101,"155,101",,,,Cases
Race,Black or African American,138114,"138,114",,,,Cases
Race,Asian or Pacific Islander,12800,"12,800",,,,Cases
Race,American Indian Alaskan Native,10463,"10,463",,,,Cases
